"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2023","4.1363","4.0821","4.1446","4.0597","","1.33%"
"10/12/2023","4.0821","3.9443","4.0945","3.9443","","3.79%"
"10/11/2023","3.9330","3.9630","4.0575","3.9150","","-0.51%"
"10/10/2023","3.9530","4.0620","4.1300","3.9605","","-2.68%"
"10/09/2023","4.0620","4.0610","4.1445","3.9370","","0.27%"
"10/08/2023","4.0847","4.0847","4.0847","4.0847","","0.83%"
"10/06/2023","4.0510","4.1805","4.2990","4.0330","","-3.10%"
"10/05/2023","4.1805","4.3090","4.3615","4.1805","","-2.79%"
"10/04/2023","4.3005","4.1310","4.3480","4.0945","","2.11%"
"10/03/2023","4.2115","4.1190","4.2615","4.0165","","2.25%"
"10/02/2023","4.1190","4.0150","4.1320","3.9055","","1.84%"
"09/29/2023","4.0445","4.0480","4.1475","3.9770","","-0.16%"
"09/28/2023","4.0510","4.0035","4.0845","3.9660","","1.19%"
"09/27/2023","4.0035","4.0135","4.1120","3.9695","","-0.27%"
"09/26/2023","4.0145","4.0830","4.0860","3.9425","","-1.41%"
"09/25/2023","4.0720","4.0220","4.0970","3.9760","","1.24%"
"09/22/2023","4.0220","4.0590","4.0845","3.9640","","-0.91%"
"09/21/2023","4.0590","4.0235","4.0925","3.9730","","1.15%"
"09/20/2023","4.0130","4.0230","4.0605","3.9425","","-0.25%"
"09/19/2023","4.0230","4.0210","4.0685","3.9250","","0.32%"
"09/18/2023","4.0100","3.9915","4.0635","3.9120","","0.46%"
"09/15/2023","3.9915","4.0155","4.0595","3.9295","","-0.62%"
"09/14/2023","4.0165","4.0140","4.0620","3.9580","","0.31%"
"09/13/2023","4.0040","4.0195","4.1580","3.9170","","-0.12%"
"09/12/2023","4.0090","4.0625","4.1950","3.9545","","-1.32%"
"09/11/2023","4.0625","3.9455","4.0775","3.9315","","2.97%"
"09/08/2023","3.9455","3.9160","3.9905","3.8935","","0.75%"
"09/07/2023","3.9160","3.9220","3.9955","3.8840","","-0.15%"
"09/06/2023","3.9220","3.9870","4.0045","3.8900","","-1.18%"
"09/05/2023","3.9690","3.9835","4.0305","3.9150","","-0.10%"
"09/04/2023","3.9730","4.0025","4.0415","3.9555","","-0.48%"
"09/01/2023","3.9920","4.0245","4.0690","3.9690","","-0.81%"
"08/31/2023","4.0245","4.0090","4.0780","3.9680","","0.51%"
"08/30/2023","4.0040","4.0465","4.0665","3.9560","","-0.79%"
"08/29/2023","4.0360","4.0845","4.1745","3.9630","","-0.93%"
"08/28/2023","4.0740","4.0420","4.1175","4.0035","","0.54%"
"08/25/2023","4.0520","4.0850","4.1915","3.9615","","-0.81%"
"08/24/2023","4.0850","4.1150","4.2060","3.9930","","-0.46%"
"08/23/2023","4.1040","4.0830","4.2225","4.0290","","0.51%"
"08/22/2023","4.0830","4.1300","4.1710","4.0515","","-0.58%"
"08/21/2023","4.1070","4.0565","4.1955","4.0110","","1.24%"
"08/18/2023","4.0565","4.0875","4.2555","3.9930","","-0.76%"
"08/17/2023","4.0875","3.9730","4.2605","3.9590","","2.88%"
"08/16/2023","3.9730","3.9065","4.2140","3.9065","","1.70%"
"08/15/2023","3.9065","3.9300","4.1360","3.8365","","-0.22%"
"08/14/2023","3.9150","3.8605","4.0175","3.7625","","1.41%"
"08/11/2023","3.8605","3.9670","4.0285","3.8515","","-2.68%"
"08/10/2023","3.9670","3.9855","4.0610","3.9305","","-0.20%"
"08/09/2023","3.9750","3.9760","4.0695","3.9160","","-0.03%"
"08/08/2023","3.9760","4.0325","4.1170","3.9380","","-1.54%"
"08/07/2023","4.0380","4.0295","4.0930","3.9605","","0.21%"
"08/04/2023","4.0295","4.0725","4.2505","3.9410","","-1.58%"
"08/03/2023","4.0940","4.1025","4.1900","3.9585","","-0.21%"
"08/02/2023","4.1025","4.1790","4.2445","4.0755","","-1.57%"
"08/01/2023","4.1680","4.2090","4.2955","4.1565","","-0.71%"
"07/31/2023","4.1980","4.1955","4.3055","4.1545","","0.06%"
"07/28/2023","4.1955","4.2600","4.3525","4.1635","","-1.26%"
"07/27/2023","4.2490","4.2935","4.3830","4.2300","","-0.77%"
"07/26/2023","4.2820","4.2855","4.3730","4.2595","","-0.08%"
"07/25/2023","4.2855","4.2795","4.3590","4.2430","","0.41%"
"07/24/2023","4.2680","4.2710","4.3700","4.2000","","-0.07%"
"07/21/2023","4.2710","4.2730","4.3580","4.2195","","-0.06%"
"07/20/2023","4.2735","4.2290","4.3405","4.1895","","1.48%"
"07/19/2023","4.2110","4.2455","4.3570","4.1925","","-0.80%"
"07/18/2023","4.2450","4.2740","4.3555","4.2020","","-0.69%"
"07/17/2023","4.2745","4.2770","4.3590","4.2320","","0.20%"
"07/14/2023","4.2660","4.3295","4.3710","4.2420","","-0.95%"
"07/13/2023","4.3070","4.2680","4.3705","4.2105","","1.17%"
"07/12/2023","4.2570","4.2780","4.3580","4.2240","","-0.50%"
"07/11/2023","4.2785","4.2490","4.3610","4.2285","","0.68%"
"07/10/2023","4.2495","4.2320","4.3135","4.0655","","0.72%"
"07/07/2023","4.2190","4.2330","4.3230","4.1660","","-0.07%"
"07/06/2023","4.2220","4.2540","4.3385","4.0495","","-0.76%"
