code,indicator,date,month,year,B_RUB_year_cum,B_RUB,B_RUB_12,levels,USD_RUB,B_USD,B_USD_12,B_USD_year_cum
1,Total Revenues,2011-01-01,1,2011,804.9,804.9,NA,1,30.083314285714284,26.755695611045898,NA,26.755695611045898
1,Total Revenues,2011-02-01,2,2011,1505.6,700.6999999999999,NA,1,29.248685000000002,23.956632580233943,NA,50.71232819127984
1,Total Revenues,2011-03-01,3,2011,2392.8,887.2000000000003,NA,1,28.415652173913042,31.222229022584013,NA,81.93455721386385
1,Total Revenues,2011-04-01,4,2011,3339.7,946.8999999999996,NA,1,28.035004761904762,33.775631858878455,NA,115.71018907274231
1,Total Revenues,2011-05-01,5,2011,4200,860.3000000000002,NA,1,27.931327272727273,30.800541327658816,NA,146.51073040040112
1,Total Revenues,2011-06-01,6,2011,5306.4,1106.3999999999996,NA,1,27.953122727272728,39.58055101015709,NA,186.09128141055822
1,Total Revenues,2011-07-01,7,2011,6233.8,927.4000000000005,NA,1,27.890014285714287,33.25204463860851,NA,219.34332604916673
1,Total Revenues,2011-08-01,8,2011,7220.2,986.3999999999996,NA,1,28.822508695652175,34.2232527506808,NA,253.56657879984752
1,Total Revenues,2011-09-01,9,2011,8213,992.8000000000002,NA,1,30.76889090909091,32.26635639657293,NA,285.83293519642046
1,Total Revenues,2011-10-01,10,2011,9240.8,1027.7999999999993,NA,1,31.247352380952382,32.89238676831132,NA,318.7253219647318
1,Total Revenues,2011-11-01,11,2011,10164.8,924,NA,1,30.871140909090908,29.93086658899287,NA,348.65618855372463
1,Total Revenues,2011-12-01,12,2011,11367.7,1202.9000000000015,11367.7,1,31.552322727272728,38.12397617752105,386.7801647312457,386.7801647312457
1,Total Revenues,2012-01-01,1,2012,1059.6,1059.6,11622.400000000001,1,31.317368181818182,33.834260715917,393.8587298361168,33.834260715917
1,Total Revenues,2012-02-01,2,2012,1866,806.4000000000001,11728.100000000002,1,29.771166666666666,27.08661064676673,396.9887079026496,60.92087136268373
1,Total Revenues,2012-03-01,3,2012,2966.3,1100.3000000000002,11941.2,1,29.352363636363638,37.48590790272427,403.25238678278987,98.406779265408
1,Total Revenues,2012-04-01,4,2012,4058.7,1092.3999999999996,12086.699999999999,1,29.477095238095238,37.059282509906794,406.5360374338182,135.46606177531478
1,Total Revenues,2012-05-01,5,2012,5083.3,1024.6000000000004,12251,1,30.962017391304347,33.09215892010184,408.8276550262612,168.55822069541662
1,Total Revenues,2012-06-01,6,2012,6200.4,1117.0999999999995,12261.7,1,32.80472380952381,34.05302256121068,403.30012657731476,202.61124325662732
1,Total Revenues,2012-07-01,7,2012,7245.9,1045.5,12379.8,1,32.475136363636366,32.19386019794164,402.24194213664794,234.80510345456895
1,Total Revenues,2012-08-01,8,2012,8352.1,1106.2000000000007,12499.600000000002,1,31.946304347826086,34.62685348376694,402.6455428697341,269.4319569383359
1,Total Revenues,2012-09-01,9,2012,9385.4,1033.2999999999993,12540.099999999999,1,31.38005,32.928564486034894,403.307750959196,302.3605214243708
1,Total Revenues,2012-10-01,10,2012,10453.2,1067.800000000001,12580.100000000002,1,31.14373913043478,34.2861849544748,404.7015491453595,336.6467063788456
1,Total Revenues,2012-11-01,11,2012,11404.8,951.5999999999985,12607.7,1,31.35709090909091,30.347202894517068,405.1178854508837,366.99390927336265
1,Total Revenues,2012-12-01,12,2012,12855.5,1450.7000000000007,12855.5,1,30.715,47.23099462803193,414.22490390139455,414.22490390139455
1,Total Revenues,2013-01-01,1,2013,1093.1,1093.1,12889,1,30.22513043478261,36.16526990209701,416.55591308757454,36.16526990209701
1,Total Revenues,2013-02-01,2,2013,1981.3,888.2,12970.800000000001,1,30.21965,29.391472105070708,418.86077454587854,65.55674200716771
1,Total Revenues,2013-03-01,3,2013,3105.6,1124.3,12994.800000000001,1,30.829761904761906,36.46800787736031,417.8428745205146,102.02474988452802
1,Total Revenues,2013-04-01,4,2013,4224.4,1118.7999999999997,13021.199999999999,1,31.334454545454545,35.70510532988664,416.48869734049447,137.72985521441467
1,Total Revenues,2013-05-01,5,2013,5115.5,891.1000000000004,12887.699999999999,1,31.359217391304348,28.41588770793416,411.8124261283268,166.14574292234883
1,Total Revenues,2013-06-01,6,2013,6257.7,1142.1999999999998,12912.8,1,32.3538,35.30342649086042,413.06283005797656,201.44916941320923
1,Total Revenues,2013-07-01,7,2013,7330,1072.3000000000002,12939.599999999999,1,32.77173913043478,32.720265339966836,413.58923520000167,234.1694347531761
1,Total Revenues,2013-08-01,8,2013,8418.2,1088.2000000000007,12921.599999999999,1,33.03122727272727,32.94458274332693,411.90696445956166,267.11401749650304
1,Total Revenues,2013-09-01,9,2013,9604.5,1186.2999999999993,13074.599999999999,1,32.553333333333335,36.441736637313106,415.42013661083996,303.5557541338161
1,Total Revenues,2013-10-01,10,2013,10740.6,1136.1000000000004,13142.9,1,32.06852173913043,35.42726444461318,416.56121610097824,338.9830185784293
1,Total Revenues,2013-11-01,11,2013,11758.7,1018.1000000000004,13209.400000000001,1,32.75966666666667,31.07784979497147,417.29186300143266,370.06086837340075
1,Total Revenues,2013-12-01,12,2013,13019.9,1261.199999999999,13019.9,1,32.865,38.37517115472384,408.4360395281246,408.4360395281246
1,Total Revenues,2014-01-01,1,2014,1326.7,1326.7,13253.500000000002,1,33.781,39.27355614102602,411.5443257670536,39.27355614102602
1,Total Revenues,2014-02-01,2,2014,2368.6,1041.8999999999999,13407.199999999999,1,35.32195,29.497238968969715,411.6500926309526,68.77079510999573
1,Total Revenues,2014-03-01,3,2014,3521.4,1152.8000000000002,13435.7,1,36.125190476190475,31.911250426756695,407.093335180349,100.68204553675243
1,Total Revenues,2014-04-01,4,2014,4754.3,1232.9,13549.800000000001,1,35.67936363636364,34.55498849602393,405.94321834648633,135.23703403277636
1,Total Revenues,2014-05-01,5,2014,5882.6,1128.3000000000002,13787,1,34.847272727272724,32.37843055410624,409.90576119265836,167.6154645868826
1,Total Revenues,2014-06-01,6,2014,7120.9,1238.2999999999993,13883.099999999999,1,34.38023809523809,36.01778430299797,410.6201190047959,203.63324888988058
1,Total Revenues,2014-07-01,7,2014,8255.7,1134.800000000001,13945.6,1,34.73823043478261,32.66717923730943,410.56703290213846,236.30042812719
1,Total Revenues,2014-08-01,8,2014,9439.6,1183.8999999999996,14041.3,1,36.17649047619047,32.72567306602564,410.3481232248372,269.02610119321565
1,Total Revenues,2014-09-01,9,2014,10698.3,1258.699999999999,14113.699999999999,1,38.04282727272727,33.086394735502616,406.99278132302675,302.11249592871826
1,Total Revenues,2014-10-01,10,2014,11891.6,1193.300000000001,14170.899999999998,1,40.97836956521739,29.120241060368567,400.6857579387821,331.23273698908685
1,Total Revenues,2014-11-01,11,2014,12951.4,1059.7999999999993,14212.599999999999,1,46.413005,22.834117291048045,392.4420254348587,354.06685428013486
1,Total Revenues,2014-12-01,12,2014,14496.9,1545.5,14496.9,1,56.41633478260869,27.39454815622703,381.4614024363619,381.4614024363619
