description_arm,code,description_eng,abb_code,date,sna_info,value,quarter,year,USD_AMD,value_usd,value_yoy,value_usd_yoy
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2000-03-31,SNA 1993,168630.4,1,2000,NA,NA,NA,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2000-06-30,SNA 1993,230501.6,2,2000,NA,NA,NA,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2000-09-30,SNA 1993,298851.3,3,2000,NA,NA,NA,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2000-12-31,SNA 1993,333355,4,2000,NA,NA,1031338.3,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2001-03-31,SNA 1993,193072.4,1,2001,NA,NA,1055780.3,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2001-06-30,SNA 1993,248649.8,2,2001,NA,NA,1073928.5,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2001-09-30,SNA 1993,355968.1,3,2001,NA,NA,1131045.2999999998,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2001-12-31,SNA 1993,378186.5,4,2001,NA,NA,1175876.7999999998,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2002-03-31,SNA 1993,208965.7,1,2002,NA,NA,1191770.1,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2002-06-30,SNA 1993,261648.1,2,2002,NA,NA,1204768.4,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2002-09-30,SNA 1993,435164.8,3,2002,NA,NA,1283965.1,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2002-12-31,SNA 1993,456693.1,4,2002,NA,NA,1362471.7000000002,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2003-03-31,SNA 1993,239902.7,1,2003,NA,NA,1393408.7,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2003-06-30,SNA 1993,326244.5,2,2003,NA,NA,1458005.1,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2003-09-30,SNA 1993,512679.6,3,2003,NA,NA,1535519.9,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2003-12-31,SNA 1993,545815.9,4,2003,NA,NA,1624642.6999999995,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2004-03-31,SNA 1993,274650.6,1,2004,NA,NA,1659390.6,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2004-06-30,SNA 1993,391161.1,2,2004,NA,NA,1724307.2000000002,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2004-09-30,SNA 1993,620710.2,3,2004,NA,NA,1832337.8,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2004-12-31,SNA 1993,621423.5,4,2004,482.9347826086956,1286.7648435741617,1907945.4,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2005-03-31,SNA 1993,319108.9,1,2005,475.8203125,670.6500155980626,1952403.6999999995,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2005-06-30,SNA 1993,477965,2,2005,450.4923076923077,1060.9837101290896,2039207.6,NA
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2005-09-30,SNA 1993,705748,3,2005,453.2583333333333,1557.0546597782725,2124245.4,4575.453229079586
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2005-12-31,SNA 1993,740059,4,2005,452.29846153846154,1636.2182561548875,2242880.9,4924.906641660312
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2006-03-31,SNA 1993,357200.3,1,2006,451.4187692307692,791.2836690611686,2280972.3,5045.540295123418
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2006-06-30,SNA 1993,590237.5,2,2006,436.1709230769231,1353.2252352729752,2393244.8,5337.781820267303
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2006-09-30,SNA 1993,859153.7,3,2006,401.02215384615386,2142.4095695461288,2546650.5,5923.136730035159
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2006-12-31,SNA 1993,849598.3,4,2006,373.5910769230769,2274.1397010799965,2656189.8,6561.058174960269
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2007-03-31,SNA 1993,422193.7,1,2007,359.4236923076923,1174.6407068751942,2721183.2,6944.415212774295
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2007-06-30,SNA 1993,682543.3,2,2007,353.1206153846154,1932.8899822418489,2813489,7524.079959743168
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2007-09-30,SNA 1993,1028875.7,3,2007,337.5812307692308,3047.787039746103,2983211,8429.457429943142
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2007-12-31,SNA 1993,1015670.7,4,2007,316.85318181818184,3205.4931377738753,3149283.4000000004,9360.81086663702
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2008-03-31,SNA 1993,509579.1,1,2008,307.58353846153847,1656.717724715687,3236668.8000000003,9842.887884477514
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2008-06-30,SNA 1993,784606.9,2,2008,307.10615384615386,2554.839394045657,3338732.4,10464.837296281325
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2008-09-30,SNA 1993,1249441.1,3,2008,302.1589393939394,4135.0459546425745,3559297.8,11552.096211177795
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2008-12-31,SNA 1993,1024600.5,4,2008,306.21378787878785,3346.0299325436627,3568227.6,11692.633005947582
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2009-03-31,SNA 1993,493759.4,1,2009,326.3721875,1512.8721714377089,3552407.9,11548.787452669603
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2009-06-30,SNA 1993,659326.8,2,2009,371.06738461538464,1776.8384593633832,3427127.8,10770.78651798733
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2009-09-30,SNA 1993,980348.1,3,2009,372.92015151515153,2628.8418472879684,3158034.8000000003,9264.582410632724
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2009-12-31,SNA 1993,1008216.7,4,2009,384.27666666666664,2623.674002237971,3141651,8542.226480327032
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2010-03-31,SNA 1993,544363.5,1,2010,384.50203125,1415.762351710593,3192255.0999999996,8445.116660599915
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2010-06-30,SNA 1993,735781.2,2,2010,383.7153846153846,1917.518112382976,3268709.5,8585.796313619509
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2010-09-30,SNA 1993,1048796.7,3,2010,365.6118181818182,2868.607216297464,3337158.0999999996,8825.561682629004
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2010-12-31,SNA 1993,1131261.3,4,2010,359.4166666666667,3147.4926037560863,3460202.7,9349.38028414712
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2011-03-31,SNA 1993,612136.6,1,2011,364.49921875,1679.3907051412575,3527975.8000000003,9613.008637577785
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2011-06-30,SNA 1993,816107.8,2,2011,373.63092307692307,2184.261926928302,3608302.4,9879.75245212311
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2011-09-30,SNA 1993,1146589.9,3,2011,371.8333333333333,3083.6124607799193,3706095.6,10094.757696605566
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2011-12-31,SNA 1993,1203111.3,4,2011,380.833076923077,3159.1565252695004,3777945.6,10106.42161811898
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2012-03-31,SNA 1993,658957.8,1,2012,388.402,1696.5870412613738,3824766.8,10123.617954239096
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2012-06-30,SNA 1993,886235.4,2,2012,401.5170769230769,2207.2172042878915,3894894.4,10146.573231598684
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2012-09-30,SNA 1993,1217522.3,3,2012,411.13461538461536,2961.3714205528795,3965826.8,10024.332191371645
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2012-12-31,SNA 1993,1238006.5,4,2012,406.4506060606061,3045.896553086699,4000722,9911.072219188844
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2013-03-31,SNA 2008,784166.2,1,2013,409.29359375,1915.901475064316,4125930.4,10130.386652991789
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2013-06-30,SNA 2008,978205.1,2,2013,414.35,2360.8183902497885,4217900.1,10283.987838953684
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2013-09-30,SNA 2008,1363072.3,3,2013,408.42560606060607,3337.3820832323977,4363450.1,10659.9985016332
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2013-12-31,SNA 2008,1430194.6,4,2013,404.0480303030303,3539.66482382645,4555638.199999999,11153.766772372952
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2014-03-31,SNA 2008,814938.4,1,2014,408.91578125,1992.9247961740289,4586410.4,11230.790093482665
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2014-06-30,SNA 2008,1030592.9,2,2014,413.02861538461536,2495.2094397631604,4638798.2,11365.181142996038
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2014-09-30,SNA 2008,1443501.1,3,2014,408.3884848484848,3534.6273304830074,4719227,11562.426390246648
"Ներքին արդյունք (համախառն, շուկայական գներով)",B.1*g,"Domestic product (gross, market prices)",gdp,2014-12-31,SNA 2008,1539593.9,4,2014,430.96363636363634,3572.44502805552,4828626.300000001,11595.206594475716
