period,M,X
2010-12-01,4235502352.594,1226140004.46
2011-01-01,4259854851.6769996,1238090303.13
2011-02-01,4284665897.6419997,1260044792.9300003
2011-03-01,4337497870.494,1276610538.0700002
2011-04-01,4395762568.794,1296773972.5299997
2011-05-01,4464381614.614,1330117648.34
2011-06-01,4490216459.424,1358811512.3600001
2011-07-01,4498751387.6640005,1385783830.8200002
2011-08-01,4590223741.424,1416063332.5100002
2011-09-01,4372751936.054,1375648475.3800004
2011-10-01,4438664701.854,1393772514.0200005
2011-11-01,4458796116.044001,1416796516.8700001
2011-12-01,4089637511,1306380909.5600002
2012-01-01,4095695697.950001,1312047918.0600002
2012-02-01,4134130330.200001,1334022344.13
2012-03-01,4145019277.1000004,1403205144.33
2012-04-01,4146827615.850001,1383816609.45
2012-05-01,4139559225.7400007,1391120045.47
2012-06-01,4138893328.4400005,1397181111.33
2012-07-01,4139175001.88,1407237076.6499999
2012-08-01,4073216396.2699995,1408075612.45
2012-09-01,3998467980.1799994,1373966348.1
2012-10-01,4031627547.129999,1399004816.6499999
2012-11-01,4045622260.4799995,1403463153.1000001
2012-12-01,4071401793.64,1415567891.9099998
2013-01-01,4104319976.44,1438484153.35
2013-02-01,4115759456.22,1453907599.52
2013-03-01,4079640712.5459995,1407365969.638
2013-04-01,4060148642.6659994,1428875526.208
2013-05-01,4029399952.7759995,1412924216.508
2013-06-01,4026030576.536,1427829177.988
2013-07-01,4085014765.674,1446209353.855
2013-08-01,4084582457.6839995,1457990274.9189997
2013-09-01,4150083975.9839997,1488994386.1799998
2013-10-01,4177132252.2839994,1479731808.4089997
2013-11-01,4231073364.384,1483813286.0929997
2013-12-01,4281874986.23,1477586196.886
2014-01-01,4264499976.7990003,1477985371.594
2014-02-01,4232435674.6450005,1469709661.319
2014-03-01,4265617023.9280005,1482558420.155
2014-04-01,4290723985.1480007,1485924836.7789998
2014-05-01,4299314813.378,1492337668.0089998
2014-06-01,4274593982.4370008,1480436511.7559998
2014-07-01,4317463945.7890005,1485369327.9789999
2014-08-01,4309237118.459001,1467376252.0839996
2014-09-01,4321971571.529001,1466425011.017
2014-10-01,4301976251.487,1482111859.7959998
2014-11-01,4237348685.877001,1484711700.692
2014-12-01,4152777028.281,1490190146.402
2015-01-01,4076646080.5600004,1479361293.9469998
2015-02-01,4040444239.736001,1458334264.8319998
2015-03-01,3995542902.871,1445524791.1879997
2015-04-01,3900988214.3810005,1454113572.194
2015-05-01,3826149747.4009995,1472059236.634
2015-06-01,3819796803.1320004,1506562718.097
2015-07-01,3674382248.032,1502407923.057
2015-08-01,3605785208.7520003,1509625793.808
2015-09-01,3499394161.442,1498108502.104
2015-10-01,3391134842.744,1486775179.8960001
2015-11-01,3301477790.049,1475515644.4459999
2015-12-01,3254184007.809,1484170384.923
2016-01-01,3197092146.1210003,1489185602.9299998
2016-02-01,3178578254.459,1527847082.93
2016-03-01,3158338193.8950005,1563796511.2099998
2016-04-01,3172765954.785,1579131018.4
2016-05-01,3163044942.265,1589097648.99
2016-06-01,3123318182.2349997,1584866053
2016-07-01,3092340060.225,1599807462.8600001
2016-08-01,3130500086.745,1641969592.89
2016-09-01,3152817906.685,1673845240.5400002
2016-10-01,3157282455.465,1707435769.67
2016-11-01,3211603460.6600003,1754019960.82
2016-12-01,3205635829.79,1770558723.73
2017-01-01,3273673301.79,1802390881.98
2017-02-01,3302892499.4400005,1817644652.8899999
2017-03-01,3320602074.8500004,1836494440.5000002
2017-04-01,3321224113.0400004,1860150234.54
2017-05-01,3376691125.4600005,1865763478.6400003
2017-06-01,3431287601.17,1891372881.2799997
2017-07-01,3519219493.02,1924489023.58
2017-08-01,3543260362.2799997,1959440742.06
2017-09-01,3606025297.609999,2009311751.56
2017-10-01,3684925618.03,2044776794.45
2017-11-01,3780271942.09,2082019240.1900003
2017-12-01,3893454903.1300006,2144962969.5800002
2018-01-01,3999385882.22,2195613028.4700003
2018-02-01,4108531383.2,2252372984.85
2018-03-01,4201470990.4999995,2293283470.02
2018-04-01,4298274852.09,2317836198.7799997
2018-05-01,4406873839.79,2357405825.94
2018-06-01,4480973736.389999,2374978947.7499995
2018-07-01,4563796170.81,2383472440.0999994
2018-08-01,4671210672.71,2396565789.91
2018-09-01,4694964742.33,2368474011.1099997
2018-10-01,4751310311.22,2400264399.2
2018-11-01,4816642201.12,2397457030.3280005
2018-12-01,4809614541.65,2383413799.738
2019-01-01,4775912042.27,2355092445.678
2019-02-01,4767153221.54,2336972647.938
2019-03-01,4771587493.45,2332258345.338
2019-04-01,4798286223.89,2351925685.878
2019-05-01,4768376382.53,2376255888.5979996
2019-06-01,4790928578.018,2395283452.9379997
2019-07-01,4821514308.408,2435233514.7980003
