period,partner_region,X_region
2010-12-01,EAEU,207560471.54
2011-01-01,EAEU,211529328.33
2011-02-01,EAEU,213504711.57
2011-03-01,EAEU,219593511.06999996
2011-04-01,EAEU,224955821.43
2011-05-01,EAEU,225872734.45999998
2011-06-01,EAEU,228820524.26999998
2011-07-01,EAEU,237590902.25
2011-08-01,EAEU,241502643.45999998
2011-09-01,EAEU,249507065.38
2011-10-01,EAEU,251425972.14
2011-11-01,EAEU,254891633.14999998
2011-12-01,EAEU,231463237.05999997
2012-01-01,EAEU,232671394.38
2012-02-01,EAEU,241046222.27999997
2012-03-01,EAEU,245518784.11
2012-04-01,EAEU,250181287.98
2012-05-01,EAEU,260709128.71999997
2012-06-01,EAEU,274391173.97999996
2012-07-01,EAEU,285463145.95
2012-08-01,EAEU,288311354.29
2012-09-01,EAEU,265257787.91
2012-10-01,EAEU,273054791.19
2012-11-01,EAEU,286326239.7
2012-12-01,EAEU,288503774.17999995
2013-01-01,EAEU,294392599.91999996
2013-02-01,EAEU,298848293.2
2013-03-01,EAEU,302863986.88
2013-04-01,EAEU,306758084.90999997
2013-05-01,EAEU,306772105.84
2013-06-01,EAEU,313360833.93
2013-07-01,EAEU,330890879.54
2013-08-01,EAEU,341399412.21
2013-09-01,EAEU,360324039.90999997
2013-10-01,EAEU,363443160.3399999
2013-11-01,EAEU,367090510.56
2013-12-01,EAEU,371622925.49
2014-01-01,EAEU,371309184.13000005
2014-02-01,EAEU,370030571.63000005
2014-03-01,EAEU,371703238.8700001
2014-04-01,EAEU,373169651.6000001
2014-05-01,EAEU,366651940.57
2014-06-01,EAEU,361629131.71
2014-07-01,EAEU,349136663.41999996
2014-08-01,EAEU,337283886.39
2014-09-01,EAEU,333839041.43
2014-10-01,EAEU,334828525.37
2014-11-01,EAEU,326324511.45000005
2014-12-01,EAEU,320811098.14
2015-01-01,EAEU,313256264.53000003
2015-02-01,EAEU,300817813.67
2015-03-01,EAEU,286109600.3
2015-04-01,EAEU,277725105.7
2015-05-01,EAEU,278881666.78
2015-06-01,EAEU,274635388.38
2015-07-01,EAEU,263388109.41000003
2015-08-01,EAEU,265264911.76000002
2015-09-01,EAEU,258938877.07
2015-10-01,EAEU,245307602.85
2015-11-01,EAEU,239270198.63000003
2015-12-01,EAEU,236539892.72
2016-01-01,EAEU,243683946.61
2016-02-01,EAEU,258708439.15
2016-03-01,EAEU,277841539.81
2016-04-01,EAEU,292777929.54
2016-05-01,EAEU,310212185.59
2016-06-01,EAEU,321760461.85
2016-07-01,EAEU,329312113.7
2016-08-01,EAEU,336405378.64
2016-09-01,EAEU,343372060.55999994
2016-10-01,EAEU,362317480.3899999
2016-11-01,EAEU,383530068.22999996
2016-12-01,EAEU,392549017.65
2017-01-01,EAEU,406477726.47999996
2017-02-01,EAEU,416674071.91999996
2017-03-01,EAEU,423020940.6299999
2017-04-01,EAEU,422305280.05999994
2017-05-01,EAEU,431602352.93999994
2017-06-01,EAEU,439294938.42
2017-07-01,EAEU,451729744.83000004
2017-08-01,EAEU,473891228.28000003
2017-09-01,EAEU,517573984.75
2017-10-01,EAEU,527148390.0500001
2017-11-01,EAEU,536964915.2600001
2017-12-01,EAEU,554129939.26
2018-01-01,EAEU,559341316.9
2018-02-01,EAEU,574708851.3499999
2018-03-01,EAEU,598688300.79
2018-04-01,EAEU,613929242.39
2018-05-01,EAEU,614014807.95
2018-06-01,EAEU,620026123.2899998
2018-07-01,EAEU,634797283.0499998
2018-08-01,EAEU,655473538.9100001
2018-09-01,EAEU,634736709.8500001
2018-10-01,EAEU,651991432.7200001
2018-11-01,EAEU,654193669.8199999
2018-12-01,EAEU,664350986.65
2019-01-01,EAEU,661207980.3900001
2019-02-01,EAEU,660284463.8500001
2019-03-01,EAEU,655408053.44
2019-04-01,EAEU,666071413.21
2019-05-01,EAEU,675107023.3000001
2019-06-01,EAEU,698524488.75
2019-07-01,EAEU,707037617.52
2019-08-01,EAEU,700620276.8499999
2019-09-01,EAEU,701229803.43
2019-10-01,EAEU,704674962.31
2019-11-01,EAEU,741224355.34
2019-12-01,EAEU,744712777.15
2020-01-01,EAEU,749535061.53
2020-02-01,EAEU,758838118.31
2020-03-01,EAEU,753162658.13
2020-04-01,EAEU,734057290.3399999
2020-05-01,EAEU,719760084.3
2020-06-01,EAEU,694862355.16
2020-07-01,EAEU,695215828.8399999
2020-08-01,EAEU,694053757.9599999
2020-09-01,EAEU,699822373.9399999
2020-10-01,EAEU,703950947.9000001
2020-11-01,EAEU,673141392.62
2020-12-01,EAEU,688489646.59
2021-01-01,EAEU,702562718.86
2021-02-01,EAEU,696631007.61
2021-03-01,EAEU,694970057.1
2021-04-01,EAEU,726422718.0799999
2021-05-01,EAEU,754541615.4200001
2021-06-01,EAEU,771002086.24
2021-07-01,EAEU,786571262.38
2021-08-01,EAEU,794006708.9699999
2021-09-01,EAEU,797429284.6899999
2021-10-01,EAEU,806866865.5800002
2021-11-01,EAEU,835421091.3
2021-12-01,EAEU,835722732.05
2022-01-01,EAEU,854317110.16
2022-02-01,EAEU,881218064.58
2022-03-01,EAEU,871788605.95
2022-04-01,EAEU,897685266.6300001
2022-05-01,EAEU,942180210.7400001
2022-06-01,EAEU,1029347767.6200001
2022-07-01,EAEU,1165757002.79
2022-08-01,EAEU,1402389232.25
2022-09-01,EAEU,1694425312.8600001
2022-10-01,EAEU,1946421123.0000002
