"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2023","421.630","418.690","424.050","418.440","","0.97%"
"10/12/2023","417.580","419.800","421.240","417.295","","-0.23%"
"10/11/2023","418.540","421.570","423.010","418.320","","-0.45%"
"10/10/2023","420.430","427.015","435.930","420.855","","-1.28%"
"10/09/2023","425.880","433.210","433.700","425.680","","-1.66%"
"10/08/2023","441.800","441.800","441.800","441.800","","2.01%"
"10/06/2023","433.090","441.540","442.310","429.910","","-1.66%"
"10/05/2023","440.400","450.985","452.715","440.635","","-2.06%"
"10/04/2023","449.680","441.260","451.975","432.615","","1.94%"
"10/03/2023","441.130","426.330","441.705","419.875","","3.47%"
"10/02/2023","426.350","415.745","427.655","409.690","","1.77%"
"09/29/2023","418.915","413.005","420.720","412.130","","1.76%"
"09/28/2023","411.670","408.120","414.670","404.290","","1.15%"
"09/27/2023","406.970","409.775","410.220","406.930","","-0.44%"
"09/26/2023","408.750","410.480","412.245","409.450","","-0.13%"
"09/25/2023","409.300","412.565","413.010","408.470","","-0.52%"
"09/22/2023","411.420","411.850","414.485","407.740","","0.17%"
"09/21/2023","410.710","411.850","413.665","410.170","","-0.01%"
"09/20/2023","410.740","412.475","416.190","410.590","","-0.11%"
"09/19/2023","411.210","412.315","413.815","410.610","","-0.04%"
"09/18/2023","411.360","411.965","414.605","409.665","","0.19%"
"09/15/2023","410.590","411.195","413.900","409.195","","0.48%"
"09/14/2023","408.610","414.390","416.150","409.610","","-1.13%"
"09/13/2023","413.270","414.935","415.655","412.610","","-0.13%"
"09/12/2023","413.820","415.095","416.155","411.720","","-0.02%"
"09/11/2023","413.910","412.665","416.195","412.120","","0.58%"
"09/08/2023","411.540","412.715","415.045","411.660","","0.01%"
"09/07/2023","411.490","413.900","415.305","411.215","","-0.31%"
"09/06/2023","412.770","413.670","415.790","411.975","","0.00%"
"09/05/2023","412.790","416.615","417.125","413.305","","-0.62%"
"09/04/2023","415.350","415.905","417.140","415.675","","0.17%"
"09/01/2023","414.650","418.185","419.915","415.655","","-0.60%"
"08/31/2023","417.140","421.720","422.280","417.970","","-0.81%"
"08/30/2023","420.550","420.110","422.515","419.145","","0.38%"
"08/29/2023","418.970","417.410","420.615","416.155","","0.61%"
"08/28/2023","416.440","416.895","417.710","416.555","","0.16%"
"08/25/2023","415.780","417.220","418.730","414.785","","-0.08%"
"08/24/2023","416.100","420.180","421.145","416.800","","-0.68%"
"08/23/2023","418.940","418.505","420.490","416.480","","0.40%"
"08/22/2023","417.270","421.015","422.460","417.710","","-0.22%"
"08/21/2023","418.210","420.035","422.675","419.510","","-0.07%"
"08/18/2023","418.520","419.825","421.970","418.590","","-0.04%"
"08/17/2023","418.700","420.575","422.645","418.850","","0.04%"
"08/16/2023","418.520","421.730","423.425","419.540","","-0.48%"
"08/15/2023","420.520","421.635","424.535","421.120","","0.01%"
"08/14/2023","420.470","422.785","424.720","419.910","","-0.21%"
"08/11/2023","421.340","423.925","426.900","422.380","","-0.33%"
"08/10/2023","422.750","423.715","429.410","423.385","","0.05%"
"08/09/2023","422.540","423.405","424.700","423.230","","0.07%"
"08/08/2023","422.230","424.800","427.265","422.430","","-0.36%"
"08/07/2023","423.750","425.615","427.175","423.975","","-0.11%"
"08/04/2023","424.200","423.460","428.205","422.860","","0.45%"
"08/03/2023","422.290","423.130","425.155","420.970","","0.07%"
"08/02/2023","421.980","424.145","425.780","421.905","","-0.24%"
"08/01/2023","423.000","424.560","426.730","422.840","","-0.12%"
"07/31/2023","423.500","425.730","427.605","424.355","","-0.19%"
"07/28/2023","424.320","424.145","428.515","423.200","","0.35%"
"07/27/2023","422.860","428.170","434.200","423.380","","-1.00%"
"07/26/2023","427.140","427.465","430.970","426.330","","0.18%"
"07/25/2023","426.360","428.315","429.485","426.210","","-0.17%"
"07/24/2023","427.090","430.040","430.990","427.510","","-0.37%"
"07/21/2023","428.690","430.060","434.005","429.035","","-0.01%"
"07/20/2023","428.750","433.755","437.830","429.370","","-0.88%"
"07/19/2023","432.560","433.690","438.715","432.150","","0.01%"
"07/18/2023","432.530","433.870","440.460","432.530","","-0.06%"
"07/17/2023","432.780","433.680","439.180","432.890","","0.12%"
"07/14/2023","432.250","438.055","438.985","431.995","","-0.80%"
"07/13/2023","435.720","429.950","438.135","429.830","","1.63%"
"07/12/2023","428.720","426.220","432.460","424.565","","0.87%"
"07/11/2023","425.020","425.820","427.955","424.685","","0.08%"
"07/10/2023","424.660","423.685","426.355","421.740","","0.58%"
"07/07/2023","422.230","420.565","424.640","419.320","","0.66%"
"07/06/2023","419.450","419.390","421.815","417.765","","0.34%"
"07/05/2023","418.030","420.975","422.140","418.630","","-0.43%"
"07/04/2023","419.830","422.270","423.040","420.465","","-0.30%"
"07/03/2023","421.100","421.210","423.765","419.260","","0.24%"
"06/30/2023","420.100","419.695","423.080","418.490","","0.36%"
