"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2023","402.21","397.71","402.21","397.71","","1.13%"
"10/12/2023","397.71","395.22","397.71","395.22","","0.89%"
"10/11/2023","394.22","397.52","398.26","395.11","","-0.58%"
"10/10/2023","396.52","404.10","410.50","397.26","","-1.63%"
"10/09/2023","403.10","410.12","410.12","404.10","","-1.47%"
"10/08/2023","410.12","410.12","410.12","410.12","","0.24%"
"10/06/2023","409.12","418.52","418.52","409.56","","-2.01%"
"10/05/2023","417.52","429.14","429.57","418.52","","-2.48%"
"10/04/2023","428.14","413.45","429.57","413.45","","1.59%"
"10/03/2023","421.45","406.90","421.45","401.61","","3.58%"
"10/02/2023","406.90","393.40","407.00","390.50","","2.69%"
"09/29/2023","396.25","390.88","396.25","389.94","","1.63%"
"09/28/2023","389.88","388.59","392.44","386.80","","0.59%"
"09/27/2023","387.59","387.71","389.30","387.36","","0.23%"
"09/26/2023","386.71","387.50","388.86","387.25","","0.05%"
"09/25/2023","386.50","387.24","388.75","385.62","","0.07%"
"09/22/2023","386.24","386.35","388.62","384.10","","0.23%"
"09/21/2023","385.35","386.35","387.67","386.17","","0.00%"
"09/20/2023","385.35","386.14","387.67","384.70","","0.05%"
"09/19/2023","385.14","385.81","387.07","384.60","","0.09%"
"09/18/2023","384.81","386.35","387.67","384.50","","-0.14%"
"09/15/2023","385.35","386.04","387.67","384.40","","0.35%"
"09/14/2023","384.00","386.23","387.61","384.25","","-0.32%"
"09/13/2023","385.23","385.84","386.36","385.02","","0.10%"
"09/12/2023","384.84","386.10","387.05","384.42","","-0.07%"
"09/11/2023","385.10","385.65","387.05","384.83","","0.12%"
"09/08/2023","384.65","385.68","386.84","384.83","","-0.01%"
"09/07/2023","384.68","385.83","387.50","384.74","","-0.04%"
"09/06/2023","384.83","385.81","387.50","384.90","","0.01%"
"09/05/2023","384.81","385.90","387.50","385.81","","-0.02%"
"09/04/2023","384.90","385.90","385.90","385.90","","0.00%"
"09/01/2023","384.90","385.78","385.90","385.78","","0.03%"
"08/31/2023","384.78","385.98","385.98","385.78","","-0.05%"
"08/30/2023","384.98","386.15","386.15","385.98","","-0.04%"
