"partner","year","commodity_code_group","trade_value_us"
"EAEU","2010-12-01","01-21, 23",19866525.49
"EAEU","2011-12-01","01-21, 23",39629006.86
"EAEU","2012-12-01","01-21, 23",62980995.25
"EAEU","2013-12-01","01-21, 23",65231020.60999999
"EAEU","2014-12-01","01-21, 23",85035463.69
"EAEU","2015-12-01","01-21, 23",77295139.33
"EAEU","2016-12-01","01-21, 23",101596178.32999998
"EAEU","2017-12-01","01-21, 23",107181579.71999998
"EAEU","2018-12-01","01-21, 23",135096784.76000002
"EAEU","2019-12-01","01-21, 23",152770641.26
"EAEU","2020-12-01","01-21, 23",216553524.12
"EAEU","2021-12-01","01-21, 23",268230504.65
"EAEU","2022-12-01","01-21, 23",438256504.01
"EAEU","2023-07-01","01-21, 23",412219571.5299999
"EAEU","2010-12-01","22",89827104.76499999
"EAEU","2011-12-01","22",113965740.4
"EAEU","2012-12-01","22",159453791.99
"EAEU","2013-12-01","22",177746871.86
"EAEU","2014-12-01","22",158803754.73
"EAEU","2015-12-01","22",86087825.99
"EAEU","2016-12-01","22",147794679.70000002
"EAEU","2017-12-01","22",207356861.46999997
"EAEU","2018-12-01","22",195204527.09
"EAEU","2019-12-01","22",252914193.67000002
"EAEU","2020-12-01","22",197104905.82
"EAEU","2021-12-01","22",232539682.81000003
"EAEU","2022-12-01","22",304907706.24
"EAEU","2023-07-01","22",331954430.36
"EAEU","2010-12-01","24",1793208.38
"EAEU","2011-12-01","24",3054276.31
"EAEU","2012-12-01","24",2941220
"EAEU","2013-12-01","24",3794575
"EAEU","2014-12-01","24",2844263.52
"EAEU","2015-12-01","24",4446264.65
"EAEU","2016-12-01","24",9194118.5
"EAEU","2017-12-01","24",5192816.91
"EAEU","2018-12-01","24",10006727.92
"EAEU","2019-12-01","24",7757229.83
"EAEU","2020-12-01","24",11648003.959999999
"EAEU","2021-12-01","24",14116297.69
"EAEU","2022-12-01","24",13791488.75
"EAEU","2023-07-01","24",24410142.630000003
"EAEU","2010-12-01","25-26",2776675.3175
"EAEU","2011-12-01","25-26",1872566.7200000002
"EAEU","2012-12-01","25-26",2827408.8899999997
"EAEU","2013-12-01","25-26",2409772.5100000002
"EAEU","2014-12-01","25-26",1870225.3800000001
"EAEU","2015-12-01","25-26",3274175.7300000004
"EAEU","2016-12-01","25-26",3691124.81
"EAEU","2017-12-01","25-26",4854193.85
"EAEU","2018-12-01","25-26",6172932.51
"EAEU","2019-12-01","25-26",8057567.930000001
"EAEU","2020-12-01","25-26",8858100.18
"EAEU","2021-12-01","25-26",6841189.010000001
"EAEU","2022-12-01","25-26",48215842.49
"EAEU","2023-07-01","25-26",52166430.56
"EAEU","2010-12-01","27",0
"EAEU","2011-12-01","27",11.68
"EAEU","2012-12-01","27",0
"EAEU","2013-12-01","27",0
"EAEU","2014-12-01","27",0
"EAEU","2015-12-01","27",55861.81
"EAEU","2016-12-01","27",118192.66
"EAEU","2017-12-01","27",645650.14
"EAEU","2018-12-01","27",1074944.6500000001
"EAEU","2019-12-01","27",1423733.52
"EAEU","2020-12-01","27",1032241.0200000001
"EAEU","2021-12-01","27",140434.85
"EAEU","2022-12-01","27",2227471.5
"EAEU","2023-07-01","27",3344205.2600000002
"EAEU","2010-12-01","28-40",4860159.517500001
"EAEU","2011-12-01","28-40",3317836.3100000005
"EAEU","2012-12-01","28-40",3197706.62
"EAEU","2013-12-01","28-40",17694159.029999997
"EAEU","2014-12-01","28-40",5087178.459999999
"EAEU","2015-12-01","28-40",7463536.55
"EAEU","2016-12-01","28-40",9552832.37
"EAEU","2017-12-01","28-40",21624833.82
"EAEU","2018-12-01","28-40",23267517.650000002
"EAEU","2019-12-01","28-40",24335316.79
"EAEU","2020-12-01","28-40",25994394.800000004
"EAEU","2021-12-01","28-40",38435846.730000004
"EAEU","2022-12-01","28-40",118806186.87
"EAEU","2023-07-01","28-40",180275749.9
"EAEU","2010-12-01","41-59",371467.97000000003
"EAEU","2011-12-01","41-59",204412.27999999997
"EAEU","2012-12-01","41-59",424271.44000000006
"EAEU","2013-12-01","41-59",296042.58
"EAEU","2014-12-01","41-59",242952.34999999998
"EAEU","2015-12-01","41-59",2122976.79
"EAEU","2016-12-01","41-59",5447447.63
"EAEU","2017-12-01","41-59",7807828.32
"EAEU","2018-12-01","41-59",12231198.690000001
"EAEU","2019-12-01","41-59",7546029.15
"EAEU","2020-12-01","41-59",4881212.5
"EAEU","2021-12-01","41-59",6346574.8100000005
"EAEU","2022-12-01","41-59",17380698.53
"EAEU","2023-07-01","41-59",29908518.999999996
"EAEU","2010-12-01","50-67",2615139.3075
"EAEU","2011-12-01","50-67",2110641.52
"EAEU","2012-12-01","50-67",2601910.13
"EAEU","2013-12-01","50-67",3638212.8099999996
"EAEU","2014-12-01","50-67",2057689.81
"EAEU","2015-12-01","50-67",28730649.419999998
"EAEU","2016-12-01","50-67",51700600.61000001
"EAEU","2017-12-01","50-67",76039367.05999999
"EAEU","2018-12-01","50-67",153235879.09
"EAEU","2019-12-01","50-67",91516532.90999998
"EAEU","2020-12-01","50-67",70294546.39999999
"EAEU","2021-12-01","50-67",96825402.86999999
