"date","code","name","cpi_month"
"2023-01-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.965791
"2023-02-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.9764120000000001
"2023-03-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.013995
"2023-04-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.995014
"2023-05-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.974634
"2023-06-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.012318
"2023-07-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.020931
"2023-08-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.026829
"2023-09-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.019163
"2023-10-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.022311
"2023-01-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.970908
"2023-02-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.952681
"2023-03-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.015413
"2023-04-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.972552
"2023-05-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.989323
"2023-06-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.910652
"2023-07-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.985089
"2023-08-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.082346
"2023-09-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.069047
"2023-10-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.070869
"2023-01-01","07.2.2.2","Բենզին (Կ)",0.8745970000000001
"2023-02-01","07.2.2.2","Բենզին (Կ)",0.914744
"2023-03-01","07.2.2.2","Բենզին (Կ)",1.069588
"2023-04-01","07.2.2.2","Բենզին (Կ)",0.984306
"2023-05-01","07.2.2.2","Բենզին (Կ)",0.995398
"2023-06-01","07.2.2.2","Բենզին (Կ)",1.1052250000000001
"2023-07-01","07.2.2.2","Բենզին (Կ)",1.110896
"2023-08-01","07.2.2.2","Բենզին (Կ)",1.084743
"2023-09-01","07.2.2.2","Բենզին (Կ)",1.057715
"2023-10-01","07.2.2.2","Բենզին (Կ)",1.062751
"2023-01-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.995396
"2023-02-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.996401
"2023-03-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.999066
"2023-04-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.000005
"2023-05-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.967491
"2023-06-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.994225
"2023-07-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.994872
"2023-08-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.001748
"2023-09-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2023-10-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.001341
"2023-01-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.008392
"2023-02-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.000529
"2023-03-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.001253
"2023-04-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.001871
"2023-05-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.000716
"2023-06-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.00238
"2023-07-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.001254
"2023-08-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.001481
"2023-09-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.000466
