country,price_in_usd
Venezuela,0.020 USD
Libya,0.031 USD
Lebanon,0.090 USD
Kuwait,0.341 USD
Algeria,0.343 USD
Iran,0.355 USD
Angola,0.362 USD
Egypt,0.405 USD
Turkmenistan,0.427 USD
Malaysia,0.441 USD
Kazakhstan,0.471 USD
Bahrain,0.531 USD
Bolivia,0.542 USD
Iraq,0.573 USD
Qatar,0.576 USD
Azerbaijan,0.588 USD
Saudi Arabia,0.621 USD
Oman,0.621 USD
Russia,0.625 USD
Ecuador,0.634 USD
Nigeria,0.764 USD
United Arab Emirates,0.795 USD
Kyrgyzstan,0.800 USD
Tunisia,0.813 USD
Chad,0.865 USD
Bhutan,0.890 USD
Paraguay,0.914 USD
Indonesia,0.930 USD
Maldives,0.953 USD
Colombia,0.957 USD
USA,0.963 USD
Panama,0.975 USD
Pakistan,0.986 USD
Argentina,0.986 USD
Gabon,0.993 USD
Taiwan,0.995 USD
Puerto Rico,1.001 USD
Vietnam,1.014 USD
Liberia,1.024 USD
Guyana,1.028 USD
Malawi,1.038 USD
Ghana,1.057 USD
Uzbekistan,1.060 USD
Afghanistan,1.072 USD
Mongolia,1.075 USD
Suriname,1.091 USD
El Salvador,1.104 USD
Honduras,1.114 USD
Burma,1.116 USD
Haiti,1.117 USD
Bangladesh,1.129 USD
Swaziland,1.133 USD
Benin,1.135 USD
Trinidad&Tobago,1.141 USD
Guatemala,1.143 USD
Lesotho,1.151 USD
Sudan,1.154 USD
Brazil,1.155 USD
Cuba,1.165 USD
Togo,1.168 USD
Japan,1.175 USD
Turkey,1.198 USD
Cambodia,1.218 USD
Botswana,1.228 USD
China,1.236 USD
Georgia,1.238 USD
Canada,1.245 USD
Namibia,1.246 USD
India,1.250 USD
South Africa,1.280 USD
Zambia,1.287 USD
Thailand,1.291 USD
Nepal,1.291 USD
Sri Lanka,1.295 USD
DR Congo,1.301 USD
Madagascar,1.302 USD
Tanzania,1.311 USD
Australia,1.315 USD
Philippines,1.320 USD
Nicaragua,1.339 USD
Saint Lucia,1.343 USD
Moldova,1.349 USD
Mozambique,1.350 USD
South Korea,1.352 USD
Dominican Republic,1.365 USD
Dominica,1.371 USD
Grenada,1.372 USD
Ethiopia,1.389 USD
Guinea,1.397 USD
Aruba,1.398 USD
Cape Verde,1.409 USD
Jamaica,1.414 USD
Burkina Faso,1.419 USD
Mexico,1.423 USD
Sierra Leone,1.431 USD
Kenya,1.438 USD
Northern Macedonia,1.439 USD
Uganda,1.440 USD
Mali,1.445 USD
Bosnia & Herz.,1.447 USD
Peru,1.455 USD
Ivory Coast,1.460 USD
Malta,1.467 USD
Laos,1.473 USD
Romania,1.476 USD
Rwanda,1.477 USD
Chile,1.521 USD
Costa Rica,1.521 USD
Morocco,1.531 USD
Bulgaria,1.541 USD
Mauritius,1.563 USD
Cyprus,1.577 USD
Andorra,1.577 USD
Ukraine,1.585 USD
Seychelles,1.591 USD
Burundi,1.601 USD
Bahamas,1.617 USD
Lithuania,1.630 USD
Cayman Islands,1.639 USD
Jordan,1.642 USD
Poland,1.644 USD
Senegal,1.652 USD
Croatia,1.664 USD
Slovenia,1.677 USD
Serbia,1.681 USD
Luxembourg,1.727 USD
Austria,1.731 USD
Czech Republic,1.734 USD
Spain,1.753 USD
Hungary,1.758 USD
Latvia,1.797 USD
Slovakia,1.804 USD
Central African Rep.,1.836 USD
Belgium,1.860 USD
Sweden,1.877 USD
Estonia,1.886 USD
Portugal,1.904 USD
United Kingdom,1.910 USD
Belize,1.913 USD
New Zealand,1.926 USD
Uruguay,1.960 USD
Germany,1.963 USD
Mayotte,1.993 USD
Ireland,2.011 USD
France,2.013 USD
Italy,2.030 USD
Barbados,2.040 USD
Singapore,2.061 USD
Greece,2.067 USD
Albania,2.081 USD
Switzerland,2.082 USD
Netherlands,2.103 USD
Liechtenstein,2.105 USD
Norway,2.119 USD
Denmark,2.124 USD
Finland,2.176 USD
Iceland,2.283 USD
Monaco,2.332 USD
Yemen,2.556 USD
Hong Kong,3.103 USD
Syria,5.063 USD
Armenia,1.35467980295567
