date,info,code,level
2009-12-01,Հայաստանի Հանրապետության սոցիալ-տնտեսական վիճակը 2009 թվականի հունվար-դեկտեմբերին,NA,NA
2009-12-01,Տիտղոսաթերթ,NA,NA
2009-12-01,Բովանդակություն,NA,NA
2009-12-01,Ներածություն,NA,NA
2009-12-01,Մակրոտնտեսական ցուցանիշներ,NA,NA
2009-12-01,1. ԻՐԱԿԱՆ ՀԱՏՎԱԾ,1,1
2009-12-01,1.1. Ազգային հաշիվներ,11,2
2009-12-01,1.1.1. Համախառն ներքին արդյունքի ցուցանիշ,111,3
2009-12-01,1.2. Արտադրություն (ծառայություններ),12,2
2009-12-01,1.2.1.  Արդյունաբերություն,121,3
2009-12-01,"1.2.2. Գյուղատնտեսություն, անտառային տնտեսություն",122,3
2009-12-01,"1.2.3.  Ձկնորսություն, ձկնաբուծություն",123,3
2009-12-01,1.2.4.  Շինարարություն,124,3
2009-12-01,1.2.5.  Տրանսպորտ,125,3
2009-12-01,1.2.6.  Կապ,126,3
2009-12-01,1.2.7.  Առևտուր և այլ ծառայություններ,127,3
2009-12-01,1.3. Գներ և սակագներ,13,2
2009-12-01,1.4. Աշխատանքի շուկայի ցուցանիշներ,14,2
2009-12-01,1.4.1. Զբաղվածություն,141,3
2009-12-01,1.4.2. Աշխատանքի վարձատրություն,142,3
2009-12-01,1.5. Ամփոփ տվյալներ իրավաբանական անձանց պետական միասնական  գրանցամատյանում        առկա իրավաբանական անձանց (այդ թվում ` ձեռնարկությունների) և անհատ ձեռնարկատերերի վերաբերյալ,15,2
2009-12-01,1.6. Մասնավորեցում,16,2
2009-12-01,2. ՀԱՐԿԱԲՅՈՒՋԵՏԱՅԻՆ ՀԱՏՎԱԾ,2,1
2009-12-01,2.1. ՀՀ  պետական բյուջեի ցուցանիշները,21,2
2009-12-01,2.1.1. ՀՀ  պետական բյուջեի ցուցանիշներն ըստ ֆինանսավորման,211,3
2009-12-01,3.  ՖԻՆԱՆՍԱԿԱՆ ՀԱՏՎԱԾ,3,1
2009-12-01,3.1.Դրամավարկային հիմնական ցուցանիշներ,NA,NA
2009-12-01,4. ԱՐՏԱՔԻՆ ՀԱՏՎԱԾ,4,1
2009-12-01,4.1. Ապրանքների արտահանում և ներմուծում,41,2
2009-12-01,4.1.1  Արտաքին առևտուր,411,2
2009-12-01,4.1.2  Մարդասիրական օգնություն,412,2
2009-12-01,4.2. Զբոսաշրջություն,42,2
2009-12-01,4.2.1. Միջազգային զբոսաշրջություն,421,3
2009-12-01,4.3. Արտարժութային փոխարժեքներ,43,2
2009-12-01,5.ՍՈՑԻԱԼ-ԺՈՂՈՎՐԴԱԳՐԱԿԱՆ  ՀԱՏՎԱԾ,NA,NA
2009-12-01,"5.1. ՄԱԿ-ի կողմից երաշխավորված ԱՄՀ Ազգային սոցիալական տվյալների  նվազագույն կազմը 
      (հաստատված ՄԱԿ-ի Վիճակագրական հանձնաժողովի 30-րդ նստաշրջանում, 05.03.99թ.)",51,2
2009-12-01,5.2. Ժողովրդագրական իրավիճակը,52,2
2009-12-01,5.3. Առողջապահություն,53,2
2009-12-01,5.4. Իրավախախտումներ,54,2
2009-12-01,5.5. Դատական ակտերի հարկադիր կատարումը 2009 թվականին,55,2
2009-12-01,5.6. Նոտարական գործունեությունը 2009թ. IV եռամսյակում և հունվար-դեկտեմբերին,56,2
2009-12-01,"5.7. Ստանդարտացումը, սերտիֆիկացումը և հավատարմագրումը 2009 թվականի IV եռամսյակում 
       և հունվար-դեկտեմբերին",57,2
2009-12-01,5.8. Արխիվային գործունեությունը 2009 թվականին,58,2
2009-12-01,5.9. Արտոնագրային գործունեությունը 2009 թվականին,59,2
2009-12-01,5.10.  2009թ. դեկտեմբեր ամսվա հիդրոօդերևութաբանական  վիճակը Հայաստանում,510,2
2009-12-01,5.11. ՀՀ տարածքում  2009թ. դիտված հիդրոօդերևութաբանական  պայմանների համառոտ բնութագիր,511,2
2009-12-01,5.12.  2009թ. դեկտեմբեր ամսվա շրջակա բնական միջավայրի  աղտոտվածության մոնիթորինգ,512,2
2009-12-01,5.13. Արտակարգ իրավիճակները 2009 թվականին,513,2
2009-12-01,5.14. Երկրաբանահետախուզական աշխատանքները 2009 թվականին,514,2
2009-12-01,5.15. Կենդանաբանական այգու գործունեությունը 2009 թվականին,515,2
2009-12-01,5.16. Անշարժ գույքի օտարումը 2009թ. IV եռամսյակում և  հունվար-դեկտեմբերին,516,2
2009-12-01,Հավելված 1.  ԱՊՀ ԵՐԿՐՆԵՐԻ ՀԻՄՆԱԿԱՆ ՄԱԿՐՈՏՆՏԵՍԱԿԱՆ ՑՈՒՑԱՆԻՇՆԵՐԻ  ՄԻՋԱԶԳԱՅԻՆ  ՀԱՄԱԴՐՈՒՄՆԵՐ,NA,NA
2009-12-01,Հավելված 2.   ՀԵՏԱՔՐՔՐԱՇԱՐԺ  ՎԻՃԱԿԱԳՐՈՒԹՅՈՒՆ,NA,NA
2009-12-01,Հավելված 3.   ՎԻՃԱԿԱԳՐԱԿԱՆ ՑՈՒՑԱՆԻՇՆԵՐԻ  ՄԵԹՈԴԱԲԱՆԱԿԱՆ ՊԱՐԶԱԲԱՆՈՒՄՆԵՐ,NA,NA
2009-12-01,Հավելված 4.   ՀՀ ԱԶԳԱՅԻՆ ՎԻՃԱԿԱԳՐԱԿԱՆ ԾԱՌԱՅՈՒԹՅԱՆ   ՀՐԱՊԱՐԱԿՈՒՄՆԵՐԻ  ՑԱՆԿԸ   2009 ԹՎԱԿԱՆԻ ՀՈՒՆՎԱՐ-ԴԵԿՏԵՄԲԵՐԻՆ,NA,NA
2010-01-01,Հայաստանի Հանրապետության սոցիալ-տնտեսական վիճակը 2010 թվականի հունվարին,NA,NA
2010-01-01,Տիտղոսաթերթ,NA,NA
2010-01-01,Բովանդակություն,NA,NA
2010-01-01,Ներածություն,NA,NA
2010-01-01,Մակրոտնտեսական ցուցանիշներ,NA,NA
2010-01-01,1. ԻՐԱԿԱՆ ՀԱՏՎԱԾ,1,1
2010-01-01,1.1. Ազգային հաշիվներ,11,2
2010-01-01,1.1.1. Համախառն ներքին արդյունքի ցուցանիշ,111,3
2010-01-01,1.1.2. Հիմնական միջոցների առկայությունն ըստ ԵՀՀ 95 ձևաչափում օգտագործվող Ա 17 դասակարգման 2005-2008թթ. վերջին,112,3
2010-01-01,1.2. Արտադրություն (ծառայություններ),12,2
2010-01-01,1.2.1.  Արդյունաբերություն,121,3
2010-01-01,1.2.2.  Գյուղատնտեսություն և ձկնորսություն,122,3
2010-01-01,1.2.3.  Շինարարություն,123,3
2010-01-01,1.2.4.  Տրանսպորտ,124,3
2010-01-01,1.2.5.  Կապ,125,3
2010-01-01,1.2.6.  Առևտուր և այլ ծառայություններ,126,3
2010-01-01,1.3. Գներ և սակագներ,13,2
2010-01-01,1.4. Աշխատանքի շուկայի ցուցանիշներ,14,2
2010-01-01,1.4.1. Զբաղվածություն,141,3
2010-01-01,1.4.2. Աշխատանքի վարձատրություն,142,3
2010-01-01,1.5. Ամփոփ տվյալներ իրավաբանական անձանց պետական միասնական գրանցամատյանում առկա իրավաբանական անձանց (այդ թվում` ձեռնարկությունների) և անհատ ձեռնարկատերերի վերաբերյալ,15,2
2010-01-01,2. ՀԱՐԿԱԲՅՈՒՋԵՏԱՅԻՆ ՀԱՏՎԱԾ,2,1
2010-01-01,2.1. ՀՀ պետական բյուջեի ցուցանիշները,21,2
2010-01-01,2.1.1. ՀՀ պետական բյուջեի ցուցանիշներն ըստ ֆինանսավորման,211,3
2010-01-01,2.2. ՀՀ համախմբված բյուջեի ցուցանիշները 2009 թվականի հունվար-դեկտեմբերին,22,2
2010-01-01,2.2.1. Համայնքների բյուջեների եկամուտները և ծախսերը,221,3
2010-01-01,2.3. ՀՀ պետական պարտք (ներքին և արտաքին),23,2
2010-01-01,3.  ՖԻՆԱՆՍԱԿԱՆ ՀԱՏՎԱԾ,3,1
2010-01-01,3.1.Դրամավարկային հիմնական ցուցանիշներ,NA,NA
2010-01-01,4. ԱՐՏԱՔԻՆ ՀԱՏՎԱԾ,4,1
2010-01-01,4.1. Ապրանքների արտահանում և ներմուծում,41,2
2010-01-01,4.1.1  Արտաքին առևտուր,411,2
2010-01-01,4.2 Զբոսաշրջություն,42,1
2010-01-01,4.2.1. Միջազգային զբոսաշրջություն,421,3
2010-01-01,4.2.2. Ներքին զբոսաշրջություն,422,3
2010-01-01,4.3. Արտարժութային փոխարժեքներ,43,2
2010-01-01,5.ՍՈՑԻԱԼ-ԺՈՂՈՎՐԴԱԳՐԱԿԱՆ ՑՈՒՑԱՆԻՇՆԵՐ,NA,NA
2010-01-01,5.1. Առողջապահություն,51,2
2010-01-01,5.2. Իրավախախտումներ,52,2
2010-01-01,5.3. 2010թ. հունվար ամսվա հիդրոօդերևութաբանական վիճակը Հայաստանում,53,2
2010-01-01,5.4. 2009թ. շրջակա բնական միջավայրի աղտոտվածության մոնիտորինգ,54,2
2010-01-01,5.5. 2010թ. հունվար ամսվա շրջակա բնական միջավայրի աղտոտվածության մոնիտորինգ,55,2
2010-01-01,5.6.  Անշարժ գույքի շուկան 2009 թվականին հավելված,56,2
2010-01-01,Հավելված,NA,NA
2010-02-01,Հայաստանի Հանրապետության սոցիալ-տնտեսական վիճակը 2010 թվականի հունվար-փետրվարին,NA,NA
2010-02-01,Տիտղոսաթերթ,NA,NA
2010-02-01,Բովանդակություն,NA,NA
2010-02-01,Ներածություն,NA,NA
2010-02-01,Մակրոտնտեսական ցուցանիշներ,NA,NA
2010-02-01,1. ԻՐԱԿԱՆ ՀԱՏՎԱԾ,1,1
2010-02-01,1.1. Ազգային հաշիվներ,11,2
2010-02-01,1.1.1. Համախառն ներքին արդյունքի ցուցանիշ,111,3
2010-02-01,1.1.2.  2009թ. ՀՆԱ-ի նախնական տվյալներն ըստ եռամսյակների հաշվարկված արտադրական եղանակով (ըստ ԵՀՀ 95 Ա 17 խմբավորման),112,3
2010-02-01,1.2. Արտադրություն (ծառայություններ),12,2
2010-02-01,1.2.1.  Արդյունաբերություն,121,3
2010-02-01,1.2.2.  Գյուղատնտեսություն և ձկնորսություն,122,3
2010-02-01,1.2.3.  Շինարարություն,123,3
2010-02-01,1.2.4.  Տրանսպորտ,124,3
2010-02-01,1.2.5.  Կապ,125,3
2010-02-01,1.2.6. Առևտուր և այլ ծառայություններ,126,3
2010-02-01,1.3. Գներ և սակագներ,13,2
2010-02-01,1.4. Աշխատանքի շուկայի ցուցանիշներ,14,2
2010-02-01,1.4.1. Զբաղվածություն,141,3
2010-02-01,1.4.2. Աշխատանքի վարձատրություն,142,3
