date,type,year_cumsum,month_value,YoY_value
2014-11-01,Այլ աղբյուրներ,3.2,NA,NA
2014-12-01,Այլ աղբյուրներ,4,0.7999999999999998,NA
2015-01-01,Այլ աղբյուրներ,0.6,0.6,NA
2015-02-01,Այլ աղբյուրներ,1.1,0.5000000000000001,NA
2015-04-01,Այլ աղբյուրներ,1.7,0.5999999999999999,NA
2015-05-01,Այլ աղբյուրներ,1.8999999999999997,0.19999999999999973,NA
2015-06-01,Այլ աղբյուրներ,2.1,0.2000000000000004,NA
2015-07-01,Այլ աղբյուրներ,2.2,0.10000000000000009,NA
2015-08-01,Այլ աղբյուրներ,2.3,0.09999999999999964,NA
2015-11-01,Այլ աղբյուրներ,3.1,0.8000000000000003,NA
2015-12-01,Այլ աղբյուրներ,3.7,0.6000000000000001,NA
2016-01-01,Այլ աղբյուրներ,0.4,0.4,NA
2016-02-01,Այլ աղբյուրներ,0.6,0.19999999999999996,NA
2016-03-01,Այլ աղբյուրներ,0.6966666666666667,0.09666666666666668,NA
2016-04-01,Այլ աղբյուրներ,0.8,0.10333333333333339,NA
2016-05-01,Այլ աղբյուրներ,0.9,0.09999999999999998,NA
2016-06-01,Այլ աղբյուրներ,0.9,0,NA
2016-07-01,Այլ աղբյուրներ,0.9,0,NA
2016-08-01,Այլ աղբյուրներ,1,0.09999999999999998,NA
2016-09-01,Այլ աղբյուրներ,1.1684782608695652,0.1684782608695652,NA
2016-10-01,Այլ աղբյուրներ,1.3315217391304348,0.16304347826086962,NA
2016-11-01,Այլ աղբյուրներ,1.5,0.1684782608695652,NA
2016-12-01,Այլ աղբյուրներ,0.9098360655737704,-0.5901639344262296,NA
2017-01-01,Այլ աղբյուրներ,0.3000000000000001,0.3000000000000001,34.31633879781421
2017-02-01,Այլ աղբյուրներ,0.6,0.2999999999999999,30.126174863387984
2017-03-01,Այլ աղբյուրներ,NA,NA,NA
2017-04-01,Այլ աղբյուրներ,NA,NA,NA
2017-05-01,Այլ աղբյուրներ,NA,NA,NA
2017-06-01,Այլ աղբյուրներ,NA,NA,NA
2017-07-01,Այլ աղբյուրներ,NA,NA,NA
2017-08-01,Այլ աղբյուրներ,NA,NA,NA
2017-09-01,Այլ աղբյուրներ,NA,NA,NA
2017-10-01,Այլ աղբյուրներ,NA,NA,NA
2017-11-01,Այլ աղբյուրներ,NA,NA,NA
2017-12-01,Այլ աղբյուրներ,NA,NA,NA
