year,month,period,period_desc,aggregate_level,is_leaf_code,trade_code,trade_flow,reporter_code,reporter,partner_code,partner_iso,partner,commodity_code,commodity,mot_code,mot_desc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,IsNetWgtEstimated,netweight_kg,trade_value_us,cifvalue,fobvalue,IsReported,IsAggregate,partner_region
2010,10,2010-10-01,201010,6,TRUE,M,Import,51,Armenia,643,RUS,Russian Federation,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,87326900,22608692.9,22608692.9,NA,TRUE,FALSE,EAEU
2010,8,2010-08-01,201008,6,TRUE,RX,Re-export,51,Armenia,899,_X,"Areas, nes",271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,1495800,374973,NA,374973,TRUE,FALSE,Other countries
2010,1,2010-01-01,201001,6,TRUE,X,Export,51,Armenia,899,_X,"Areas, nes",271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,3507040,787067.1,NA,787067.1,TRUE,FALSE,Other countries
2010,10,2010-10-01,201010,6,TRUE,M,Import,51,Armenia,364,IRN,Iran,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,24713200,6067909.08,6067909.08,NA,TRUE,FALSE,Middle East
2010,4,2010-04-01,201004,6,TRUE,X,Export,51,Armenia,899,_X,"Areas, nes",271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,1914900,489873.32,NA,489873.32,TRUE,FALSE,Other countries
2010,1,2010-01-01,201001,6,TRUE,RX,Re-export,51,Armenia,268,GEO,Georgia,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,1473700,318231.76,NA,318231.76,TRUE,FALSE,Other countries
2010,2,2010-02-01,201002,6,TRUE,X,Export,51,Armenia,899,_X,"Areas, nes",271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,3355530,746814.91,NA,746814.91,TRUE,FALSE,Other countries
2010,11,2010-11-01,201011,6,TRUE,RX,Re-export,51,Armenia,268,GEO,Georgia,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,0,FALSE,FALSE,2318500,567180,0,567180,TRUE,FALSE,Other countries
2010,5,2010-05-01,201005,6,TRUE,X,Export,51,Armenia,899,_X,"Areas, nes",271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,1641200,429512.7,NA,429512.7,TRUE,FALSE,Other countries
2010,10,2010-10-01,201010,6,TRUE,X,Export,51,Armenia,268,GEO,Georgia,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,1050500,257940,NA,257940,TRUE,FALSE,Other countries
2010,8,2010-08-01,201008,6,TRUE,M,Import,51,Armenia,643,RUS,Russian Federation,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,54620100,14157335.8,14157335.8,NA,TRUE,FALSE,EAEU
2010,5,2010-05-01,201005,6,TRUE,M,Import,51,Armenia,364,IRN,Iran,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",0,TOTAL MOT,-1,N/A,NA,FALSE,FALSE,15396860,3816208.3,3816208.3,NA,TRUE,FALSE,Middle East
