"code","arm","eng","rus","date","value"
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2013-Q1",784166.2
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2013-Q2",978205.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2013-Q3",1363072.3
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2013-Q4",1430194.6
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2014-Q1",814938.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2014-Q2",1030592.9
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2014-Q3",1443501.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2014-Q4",1539593.9
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2015-Q1",879565.7
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2015-Q2",1105248
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2015-Q3",1523902.7000000002
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2015-Q4",1534916.7999999998
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2016-Q1",893634.2
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2016-Q2",1132260.6
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2016-Q3",1525628.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2016-Q4",1515770.3
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2017-Q1",971041
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2017-Q2",1212700.7999999998
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2017-Q3",1587405.3999999997
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2017-Q4",1793346.1000000006
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2018-Q1",1115563.9000000001
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2018-Q2",1362703.9000000001
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2018-Q3",1687018.4000000004
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2018-Q4",1851749.0000000005
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2019-Q1",1242121.8
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2019-Q2",1484958.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2019-Q3",1822640.1
