country,cities,indicator_group,indicator,city_urls,mean_price,min_range,max_range,info_entries,info_contributers,last_update
Belarus,Minsk,Restaurants,"Meal, Inexpensive Restaurant",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,7.57,4.54,15.15,2053,0,2023-12-01
Belarus,Minsk,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,33.33,24.24,54.54,2053,0,2023-12-01
Belarus,Minsk,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,4.54,3.8,6.06,2053,0,2023-12-01
Belarus,Minsk,Restaurants,Domestic Beer (0.5 liter draught),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1.21,0.61,2.42,2053,0,2023-12-01
Belarus,Minsk,Restaurants,Imported Beer (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1.82,1.21,3.03,2053,0,2023-12-01
Belarus,Minsk,Restaurants,Cappuccino (regular),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1.52,0.91,2.12,2053,0,2023-12-01
Belarus,Minsk,Restaurants,Coke/Pepsi (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,0.74,0.45,1.51,2053,0,2023-12-01
Belarus,Minsk,Restaurants,Water (0.33 liter bottle),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,0.38,0.3,0.91,2053,0,2023-12-01
Belarus,Minsk,Markets,"Milk (regular), (1 liter)",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,0.65,0.52,0.91,2053,0,2023-12-01
Belarus,Minsk,Markets,Loaf of Fresh White Bread (500g),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,0.55,0.39,0.8200000000000001,2053,0,2023-12-01
Belarus,Minsk,Markets,"Rice (white), (1kg)",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1.15,0.76,1.82,2053,0,2023-12-01
Belarus,Minsk,Markets,Eggs (regular) (12),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1.1900000000000002,1.02,1.45,2053,0,2023-12-01
Belarus,Minsk,Markets,Local Cheese (1kg),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,6.159999999999999,4.85,10,2053,0,2023-12-01
Belarus,Minsk,Markets,Chicken Fillets (1kg),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,3.61,2.64,4.119999999999999,2053,0,2023-12-01
Belarus,Minsk,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,6.98,4.85,10,2053,0,2023-12-01
Belarus,Minsk,Markets,Apples (1kg),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,0.95,0.61,1.51,2053,0,2023-12-01
Belarus,Minsk,Markets,Banana (1kg),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1.59,1.21,2.05,2053,0,2023-12-01
Belarus,Minsk,Markets,Oranges (1kg),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1.6,1.06,2.12,2053,0,2023-12-01
Belarus,Minsk,Markets,Tomato (1kg),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,1.92,1,2.73,2053,0,2023-12-01
