year,month,period,period_desc,aggregate_level,is_leaf_code,trade_code,trade_flow,reporter_code,reporter,partner_code,partner_iso,partner,commodity_code,commodity,mot_code,mot_desc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,IsNetWgtEstimated,netweight_kg,trade_value_us,cifvalue,fobvalue,IsReported,IsAggregate,partner_region
2017,1,2017-01-01,201701,4,FALSE,X,Export,51,Armenia,757,CHE,Switzerland,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",3200,Road,5,u,2,FALSE,FALSE,4842,173514.72,0,173514.72,FALSE,TRUE,Other countries
2017,1,2017-01-01,201701,6,TRUE,X,Export,51,Armenia,757,CHE,Switzerland,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",3200,Road,5,u,2,FALSE,FALSE,4842,173514.72,0,173514.72,FALSE,TRUE,Other countries
2017,1,2017-01-01,201701,4,FALSE,X,Export,51,Armenia,784,ARE,United Arab Emirates,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",3200,Road,5,u,2,FALSE,FALSE,3560,189931.25,0,189931.25,FALSE,TRUE,Middle East
2017,1,2017-01-01,201701,6,TRUE,X,Export,51,Armenia,784,ARE,United Arab Emirates,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",3200,Road,5,u,1,FALSE,FALSE,1610,67912.8,0,67912.8,FALSE,TRUE,Middle East
2017,1,2017-01-01,201701,6,TRUE,X,Export,51,Armenia,784,ARE,United Arab Emirates,870324,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",3200,Road,5,u,1,FALSE,FALSE,1950,122018.45,0,122018.45,FALSE,TRUE,Middle East
2017,1,2017-01-01,201701,4,FALSE,M,Import,51,Armenia,276,DEU,Germany,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",9300,Self propelled goods,5,u,10,FALSE,FALSE,16030,21499.64,21499.64,0,FALSE,TRUE,EU
2017,1,2017-01-01,201701,4,FALSE,M,Import,51,Armenia,724,ESP,Spain,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",9300,Self propelled goods,5,u,1,FALSE,FALSE,2030,2250,2250,0,FALSE,TRUE,EU
2017,1,2017-01-01,201701,4,FALSE,M,Import,51,Armenia,392,JPN,Japan,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",9300,Self propelled goods,5,u,35,FALSE,FALSE,48190,58484.52,58484.52,0,FALSE,TRUE,Other countries
2017,1,2017-01-01,201701,4,FALSE,M,Import,51,Armenia,752,SWE,Sweden,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",9300,Self propelled goods,5,u,1,FALSE,FALSE,1380,1900.19,1900.19,0,FALSE,TRUE,EU
2017,1,2017-01-01,201701,6,TRUE,M,Import,51,Armenia,392,JPN,Japan,870322,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1000 but not over 1500cc",9300,Self propelled goods,5,u,15,FALSE,FALSE,16780,17120,17120,0,FALSE,TRUE,Other countries
2017,1,2017-01-01,201701,6,TRUE,M,Import,51,Armenia,752,SWE,Sweden,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",9300,Self propelled goods,5,u,1,FALSE,FALSE,1380,1900.19,1900.19,0,FALSE,TRUE,EU
2017,1,2017-01-01,201701,6,TRUE,M,Import,51,Armenia,724,ESP,Spain,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",9300,Self propelled goods,5,u,1,FALSE,FALSE,2030,2250,2250,0,FALSE,TRUE,EU
2017,1,2017-01-01,201701,6,TRUE,M,Import,51,Armenia,392,JPN,Japan,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",9300,Self propelled goods,5,u,16,FALSE,FALSE,23310,31718.38,31718.38,0,FALSE,TRUE,Other countries
2017,1,2017-01-01,201701,6,TRUE,M,Import,51,Armenia,276,DEU,Germany,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",9300,Self propelled goods,5,u,3,FALSE,FALSE,4090,4949.81,4949.81,0,FALSE,TRUE,EU
2017,1,2017-01-01,201701,6,TRUE,M,Import,51,Armenia,276,DEU,Germany,870324,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",9300,Self propelled goods,5,u,6,FALSE,FALSE,10090,10299.83,10299.83,0,FALSE,TRUE,EU
2017,1,2017-01-01,201701,6,TRUE,M,Import,51,Armenia,392,JPN,Japan,870324,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",9300,Self propelled goods,5,u,4,FALSE,FALSE,8100,9646.14,9646.14,0,FALSE,TRUE,Other countries
