"interview__key","date_q","hh_02","settlement","members","memnal","weight","fdpurch","fdcons","fdout","Z1","nfdpurch","nonfdgif","durble","expend","monincome","totincome","nonmoninc","y1_3amd.1.00","y1_3amd.2.00","y1_3amd.4.00","y1_3amd.6.00","y1_3amd.8.00","y1_3amd.9.00","y1_3amd.10.00","y1_3amd.12.00","y1_3amd.13.00","y1_3amd.14.00","y1_3amd.15.00","y1_3amd.17.00","y1_3amd.18.00","y1_3amd.19.00","y1_3amd.23.00","y1_3amd.26.00","y1_3amd.28.00","hhch_0_3_sum","hhch_4_5_sum","hhch_6_11_sum","hhch_12_17_sum","hheld_63_65_sum","hheld_66_70_sum","hheld_71_80_sum","hheld_over81_sum","hheld_over63_sum","headsex","headeduc","headmerstatus","headage","aec_r","poverty","pweight","ae_r","hous_01","hous_13","hous_16","hous_29_0__1","hous_29_0__2","hous_29_0__3","hous_29_0__4","hous_29_0__5","hous_29_0__6","hous_29_0__7","hous_39","hous_44","soc_01","soc_05","hous_47"
"00-00-85-41",2022.04,1,1,1,1,294.3,52468.75,0,0,0,3823.81,45000,0,101292.56,34000,79000,45000,NA,NA,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,2,3,70,124743.79,1,294.3,0.81,2,1,1,-999999999,-999999999,1,-999999999,-999999999,-999999999,-999999999,1,3,2,NA,1
"00-03-45-50",2022.08,10,2,4,4,40.75,36217.56,38990.9,0,0,64947.62,101330.56,0,241486.63,138300,278621.45,140321.45,NA,75000,38300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,61,95194.19,1,162.98,3.18,1,1,1,0,0,0,0,0,1,0,1,3,2,NA,1
"00-09-00-97",2022.04,4,2,4,4,192.16,19879.46,8436.28,0,0,4888.39,23483.33,0,56687.47,178250,210169.61,31919.61,NA,80000,34500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,3,84,46456.06,2,768.63,2.92,1,1,1,0,0,0,0,0,0,0,2,4,2,NA,1
"00-10-35-11",2022.09,4,1,3,3,109.82,84514.88,499.84,0,0,14447.92,22600,0,122062.64,600000,623099.84,23099.84,600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,60,53292.55,1,329.47,2.43,2,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-11-16-10",2022.03,4,1,6,6,109.82,64809.23,0,0,0,9081.55,27500,0,101390.77,153000,180500,27500,120000,NA,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,1,47,24138.97,3,658.94,4.11,1,1,1,0,0,0,0,0,1,0,1,4,2,NA,NA
"00-12-15-65",2022.02,5,2,6,6,156.84,9233.63,7239.17,0,0,163776.79,17000,0,197249.58,292250,316489.17,24239.17,250000,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,3,3,59,110600.09,1,941.06,3.86,1,1,1,0,0,0,0,0,0,1,2,3,1,7,NA
"00-12-66-25",2022.01,6,1,2,2,156.33,31763.69,1309.44,0,0,11514.88,84080.56,0,128668.57,118600,203990,85390,NA,60000,28600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,62,160692.69,1,312.66,1.65,1,1,1,0,0,1,0,0,0,0,2,3,2,NA,1
"00-14-76-39",2022.01,10,2,1,1,40.75,40280.36,18444.57,10863.1,0,21074.4,15900,0,106562.43,241860,276204.57,34344.57,154000,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,62,177250.06,1,40.75,0.81,1,1,1,0,0,0,0,0,1,0,1,3,2,NA,1
"00-15-12-18",2022.02,6,2,3,3,146.67,29113.1,69396.24,0,0,0,16041.67,0,114551,53000,138437.91,85437.91,NA,NA,53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,57,70073.4,1,440,2.43,1,1,1,0,0,0,0,0,1,0,2,3,2,NA,NA
"00-18-21-71",2022.04,1,1,2,2,326.88,132160.42,396.05,0,0,202220.14,198633.33,59583.33,592993.27,460000,659029.38,199029.38,460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5,34,261875.31,1,653.76,1.42,2,1,1,0,1,0,0,0,0,0,1,3,2,NA,1
