country,year,month,export,import_origin,import_consignment,date,country_region
Afghanistan,2023,1,0,0.03965,0,2023-01-01,Other countries
Afghanistan,2023,3,0,0.518,0,2023-03-01,Other countries
Afghanistan,2023,5,0,1.2,0,2023-05-01,Other countries
Afghanistan,2023,6,0,0.40702,0,2023-06-01,Other countries
Afghanistan,2023,8,0,73.83246,116.14568,2023-08-01,Other countries
Afghanistan,2023,9,0,0.77629,0,2023-09-01,Other countries
Afghanistan,2023,10,0,0.36034,0,2023-10-01,Other countries
Afghanistan,2023,11,0,4.76465,0,2023-11-01,Other countries
Afghanistan,2022,2,0,0,5.5,2022-02-01,Other countries
Afghanistan,2022,4,111.8,0,0,2022-04-01,Other countries
Afghanistan,2022,6,28.2225,0,0,2022-06-01,Other countries
Afghanistan,2022,7,0,0,0.0225,2022-07-01,Other countries
Afghanistan,2022,9,0,0.06966,11.5,2022-09-01,Other countries
Afghanistan,2022,10,220.9,1.78025,0,2022-10-01,Other countries
Afghanistan,2022,11,0,0.03095,0,2022-11-01,Other countries
Afghanistan,2022,12,0,0.92678,0,2022-12-01,Other countries
Afghanistan,2021,1,7.475,0,0,2021-01-01,Other countries
Afghanistan,2021,2,8.15092,0,0,2021-02-01,Other countries
Afghanistan,2021,3,0,0.52,0,2021-03-01,Other countries
Afghanistan,2021,4,0,1.56112,0,2021-04-01,Other countries
Afghanistan,2021,5,0,2.36702,0,2021-05-01,Other countries
Afghanistan,2021,6,0,0.78,0,2021-06-01,Other countries
Afghanistan,2021,7,106.125,0,0,2021-07-01,Other countries
Afghanistan,2021,8,270.0385,0.52,0,2021-08-01,Other countries
Afghanistan,2021,10,342.495,0,332.4,2021-10-01,Other countries
Afghanistan,2021,11,115.5,0.8,0,2021-11-01,Other countries
Afghanistan,2021,12,96,8.20001,0,2021-12-01,Other countries
Afghanistan,2020,3,0,0.22644,0.2124,2020-03-01,Other countries
Afghanistan,2020,4,333.42,0,0,2020-04-01,Other countries
Afghanistan,2020,5,0,0.06821,0,2020-05-01,Other countries
Afghanistan,2020,7,573.425,0,0,2020-07-01,Other countries
Afghanistan,2020,8,210.6,0,0,2020-08-01,Other countries
Afghanistan,2020,9,196.5631,0,0,2020-09-01,Other countries
Afghanistan,2020,10,1081.773,0,0,2020-10-01,Other countries
Afghanistan,2020,11,123.075,0,0,2020-11-01,Other countries
Afghanistan,2020,12,807.17004,0,0,2020-12-01,Other countries
Albania,2023,1,0,83.61839,0,2023-01-01,Other countries
Albania,2023,2,0,184.88797,0,2023-02-01,Other countries
Albania,2023,3,0,127.91633,0,2023-03-01,Other countries
Albania,2023,4,0,235.14093,0,2023-04-01,Other countries
Albania,2023,5,0,91.73483,0,2023-05-01,Other countries
Albania,2023,6,0,13.23325,0,2023-06-01,Other countries
Albania,2023,7,5.79,169.67278,0,2023-07-01,Other countries
Albania,2023,8,0,121.00043,0,2023-08-01,Other countries
Albania,2023,9,0,18.81919,0,2023-09-01,Other countries
Albania,2023,10,0,36.0002,0.16206,2023-10-01,Other countries
Albania,2023,11,0,52.43508,0,2023-11-01,Other countries
Albania,2023,12,0,203.56547,0,2023-12-01,Other countries
Albania,2022,1,0,56.46217,0,2022-01-01,Other countries
Albania,2022,2,0,334.76202,0,2022-02-01,Other countries
Albania,2022,3,0,174.16458,0,2022-03-01,Other countries
Albania,2022,4,0,32.31137,0,2022-04-01,Other countries
Albania,2022,5,0,47.9253,0,2022-05-01,Other countries
Albania,2022,6,0,14.91851,7.45235,2022-06-01,Other countries
Albania,2022,7,0,204.09252,0,2022-07-01,Other countries
Albania,2022,8,0,131.07138,0,2022-08-01,Other countries
Albania,2022,9,129.03368,79.11538,0,2022-09-01,Other countries
Albania,2022,10,0,86.93843,0,2022-10-01,Other countries
Albania,2022,11,0,98.55052,13.69534,2022-11-01,Other countries
Albania,2022,12,0,173.90461,0,2022-12-01,Other countries
Albania,2021,1,0,199.90166,0,2021-01-01,Other countries
Albania,2021,2,0,116.06631,0,2021-02-01,Other countries
Albania,2021,3,0,333.09377,0,2021-03-01,Other countries
Albania,2021,4,0,53.47529,0,2021-04-01,Other countries
Albania,2021,5,0,91.46824,0,2021-05-01,Other countries
Albania,2021,6,0,258.3903,0,2021-06-01,Other countries
Albania,2021,7,0,78.40254,0,2021-07-01,Other countries
Albania,2021,8,0.47149,109.53151,0,2021-08-01,Other countries
Albania,2021,9,0,84.47059,0,2021-09-01,Other countries
Albania,2021,10,0,40.82241,0.09469,2021-10-01,Other countries
Albania,2021,11,0,54.81021,0,2021-11-01,Other countries
Albania,2021,12,0,175.39987,0,2021-12-01,Other countries
Albania,2020,1,0,52.23723,35.72968,2020-01-01,Other countries
Albania,2020,2,0,285.83357,171.73704,2020-02-01,Other countries
Albania,2020,3,0,171.95172,0,2020-03-01,Other countries
Albania,2020,4,0,132.83058,0,2020-04-01,Other countries
Albania,2020,5,0,3.16628,0,2020-05-01,Other countries
Albania,2020,6,0,40.05733,0,2020-06-01,Other countries
Albania,2020,7,0,4.78785,0,2020-07-01,Other countries
Albania,2020,8,0,321.36057,0,2020-08-01,Other countries
