year,name_arm,name,count
2010,Երևան,Yerevan,13119
2011,Երևան,Yerevan,13727
2012,Երևան,Yerevan,13944
2013,Երևան,Yerevan,14677
2014,Երևան,Yerevan,15911
2015,Երևան,Yerevan,13044
2016,Երևան,Yerevan,12578
2017,Երևան,Yerevan,15722
2018,Երևան,Yerevan,17555
2019,Երևան,Yerevan,17829
2020,Երևան,Yerevan,13899
2021,Երևան,Yerevan,17602
2022,Երևան,Yerevan,17734
2023,Երևան,Yerevan,13513
2010,Գյուղական բնակավայրեր,Rural settlements,12478
2011,Գյուղական բնակավայրեր,Rural settlements,13418
2012,Գյուղական բնակավայրեր,Rural settlements,11987
2013,Գյուղական բնակավայրեր,Rural settlements,11924
2014,Գյուղական բնակավայրեր,Rural settlements,13525
2015,Գյուղական բնակավայրեր,Rural settlements,14352
2016,Գյուղական բնակավայրեր,Rural settlements,11984
2017,Գյուղական բնակավայրեր,Rural settlements,13722
2018,Գյուղական բնակավայրեր,Rural settlements,16819
2019,Գյուղական բնակավայրեր,Rural settlements,20298
2020,Գյուղական բնակավայրեր,Rural settlements,20522
2021,Գյուղական բնակավայրեր,Rural settlements,24590
2022,Գյուղական բնակավայրեր,Rural settlements,22652
2023,Գյուղական բնակավայրեր,Rural settlements,22958
2010,Մարզերի քաղաքային բնակավայրեր,Urban settlements,10785
2011,Մարզերի քաղաքային բնակավայրեր,Urban settlements,9866
2012,Մարզերի քաղաքային բնակավայրեր,Urban settlements,10133
2013,Մարզերի քաղաքային բնակավայրեր,Urban settlements,9607
2014,Մարզերի քաղաքային բնակավայրեր,Urban settlements,9785
2015,Մարզերի քաղաքային բնակավայրեր,Urban settlements,9017
2016,Մարզերի քաղաքային բնակավայրեր,Urban settlements,9192
2017,Մարզերի քաղաքային բնակավայրեր,Urban settlements,9380
2018,Մարզերի քաղաքային բնակավայրեր,Urban settlements,11263
2019,Մարզերի քաղաքային բնակավայրեր,Urban settlements,13381
2020,Մարզերի քաղաքային բնակավայրեր,Urban settlements,11738
2021,Մարզերի քաղաքային բնակավայրեր,Urban settlements,13852
2022,Մարզերի քաղաքային բնակավայրեր,Urban settlements,12542
2023,Մարզերի քաղաքային բնակավայրեր,Urban settlements,13588
2010,Ընդամենը,Total,36382
2011,Ընդամենը,Total,37011
2012,Ընդամենը,Total,36064
2013,Ընդամենը,Total,36208
2014,Ընդամենը,Total,39221
2015,Ընդամենը,Total,36413
2016,Ընդամենը,Total,33754
2017,Ընդամենը,Total,38824
2018,Ընդամենը,Total,45637
2019,Ընդամենը,Total,51508
2020,Ընդամենը,Total,46159
2021,Ընդամենը,Total,56044
2022,Ընդամենը,Total,52928
2023,Ընդամենը,Total,50059
