"date","place","n"
"2018-01-31","Աջափնյակ",1435
"2018-02-28","Աջափնյակ",1456
"2018-03-31","Աջափնյակ",1473
"2018-04-30","Աջափնյակ",1517
"2018-05-31","Աջափնյակ",1539
"2018-06-30","Աջափնյակ",1611
"2018-07-31","Աջափնյակ",1695
"2018-08-31","Աջափնյակ",1768
"2018-09-30","Աջափնյակ",1815
"2018-10-31","Աջափնյակ",1889
"2018-11-30","Աջափնյակ",1953
"2018-12-31","Աջափնյակ",2008
"2019-01-31","Աջափնյակ",1971
"2019-02-28","Աջափնյակ",2028
"2019-03-31","Աջափնյակ",2034
"2019-04-30","Աջափնյակ",2075
"2019-05-31","Աջափնյակ",2093
"2019-06-30","Աջափնյակ",2035
"2019-07-31","Աջափնյակ",2007
"2019-08-31","Աջափնյակ",1987
"2019-09-30","Աջափնյակ",1962
"2019-10-31","Աջափնյակ",1919
"2019-11-30","Աջափնյակ",1898
"2019-12-31","Աջափնյակ",1853
"2020-01-31","Աջափնյակ",1825
"2020-02-29","Աջափնյակ",1773
"2020-03-31","Աջափնյակ",1786
"2020-04-30","Աջափնյակ",1670
"2020-05-31","Աջափնյակ",1590
"2020-06-30","Աջափնյակ",1573
"2020-07-31","Աջափնյակ",1668
"2020-08-31","Աջափնյակ",1670
"2020-09-30","Աջափնյակ",1703
"2020-10-31","Աջափնյակ",1686
"2020-11-30","Աջափնյակ",1612
"2020-12-31","Աջափնյակ",1563
"2021-01-31","Աջափնյակ",1555
"2021-02-28","Աջափնյակ",1570
"2021-03-31","Աջափնյակ",1553
"2021-04-30","Աջափնյակ",1624
"2021-05-31","Աջափնյակ",1681
"2021-06-30","Աջափնյակ",1678
"2021-07-31","Աջափնյակ",1523
"2021-08-31","Աջափնյակ",1529
"2021-09-30","Աջափնյակ",1513
"2021-10-31","Աջափնյակ",1523
"2021-11-30","Աջափնյակ",1577
"2021-12-31","Աջափնյակ",1648
"2022-01-31","Աջափնյակ",1669
"2022-02-28","Աջափնյակ",1695
"2022-03-31","Աջափնյակ",1707
"2022-04-30","Աջափնյակ",1745
"2022-05-31","Աջափնյակ",1773
"2022-06-30","Աջափնյակ",1844
"2022-07-31","Աջափնյակ",1872
"2022-08-31","Աջափնյակ",1838
"2022-09-30","Աջափնյակ",1805
"2022-10-31","Աջափնյակ",1741
"2022-11-30","Աջափնյակ",1711
"2022-12-31","Աջափնյակ",1636
"2023-01-31","Աջափնյակ",1605
"2023-02-28","Աջափնյակ",1547
"2023-03-31","Աջափնյակ",1500
"2023-04-30","Աջափնյակ",1439
"2023-05-31","Աջափնյակ",1382
"2023-06-30","Աջափնյակ",1292
"2023-07-31","Աջափնյակ",1433
"2023-08-31","Աջափնյակ",1532
"2023-09-30","Աջափնյակ",1515
"2023-10-31","Աջափնյակ",1534
"2023-11-30","Աջափնյակ",1524
"2023-12-31","Աջափնյակ",1514
"2018-01-31","Ավան",943
"2018-02-28","Ավան",960
"2018-03-31","Ավան",978
"2018-04-30","Ավան",955
"2018-05-31","Ավան",905
"2018-06-30","Ավան",874
"2018-07-31","Ավան",895
"2018-08-31","Ավան",889
"2018-09-30","Ավան",891
"2018-10-31","Ավան",890
"2018-11-30","Ավան",965
"2018-12-31","Ավան",961
"2019-01-31","Ավան",952
"2019-02-28","Ավան",946
"2019-03-31","Ավան",970
"2019-04-30","Ավան",974
"2019-05-31","Ավան",979
"2019-06-30","Ավան",937
"2019-07-31","Ավան",919
"2019-08-31","Ավան",933
"2019-09-30","Ավան",943
"2019-10-31","Ավան",969
"2019-11-30","Ավան",972
"2019-12-31","Ավան",1045
"2020-01-31","Ավան",1095
"2020-02-29","Ավան",1170
"2020-03-31","Ավան",1156
"2020-04-30","Ավան",1104
"2020-05-31","Ավան",1065
"2020-06-30","Ավան",1073
"2020-07-31","Ավան",1056
"2020-08-31","Ավան",1049
"2020-09-30","Ավան",1041
"2020-10-31","Ավան",991
"2020-11-30","Ավան",850
"2020-12-31","Ավան",722
"2021-01-31","Ավան",656
"2021-02-28","Ավան",568
"2021-03-31","Ավան",537
"2021-04-30","Ավան",549
"2021-05-31","Ավան",544
"2021-06-30","Ավան",536
"2021-07-31","Ավան",535
"2021-08-31","Ավան",519
"2021-09-30","Ավան",524
"2021-10-31","Ավան",531
"2021-11-30","Ավան",577
"2021-12-31","Ավան",647
"2022-01-31","Ավան",654
"2022-02-28","Ավան",661
"2022-03-31","Ավան",683
"2022-04-30","Ավան",707
"2022-05-31","Ավան",730
"2022-06-30","Ավան",748
"2022-07-31","Ավան",756
"2022-08-31","Ավան",744
"2022-09-30","Ավան",729
"2022-10-31","Ավան",718
"2022-11-30","Ավան",709
"2022-12-31","Ավան",661
"2023-01-31","Ավան",650
"2023-02-28","Ավան",633
"2023-03-31","Ավան",618
"2023-04-30","Ավան",610
"2023-05-31","Ավան",602
"2023-06-30","Ավան",586
"2023-07-31","Ավան",547
"2023-08-31","Ավան",547
"2023-09-30","Ավան",524
"2023-10-31","Ավան",517
"2023-11-30","Ավան",515
"2023-12-31","Ավան",504
"2018-01-31","Արաբկիր",2726
"2018-02-28","Արաբկիր",2807
"2018-03-31","Արաբկիր",2849
"2018-04-30","Արաբկիր",2912
"2018-05-31","Արաբկիր",2847
"2018-06-30","Արաբկիր",2873
"2018-07-31","Արաբկիր",2909
"2018-08-31","Արաբկիր",2914
"2018-09-30","Արաբկիր",2811
"2018-10-31","Արաբկիր",2685
"2018-11-30","Արաբկիր",2606
"2018-12-31","Արաբկիր",2550
"2019-01-31","Արաբկիր",2515
"2019-02-28","Արաբկիր",2485
"2019-03-31","Արաբկիր",2598
"2019-04-30","Արաբկիր",2720
"2019-05-31","Արաբկիր",2749
"2019-06-30","Արաբկիր",2735
"2019-07-31","Արաբկիր",2714
"2019-08-31","Արաբկիր",2717
