"date","year","month","place","n","n_roll12","area"
"2018-01-31",2018,1,"Աջափնյակ",148,1435,"Երևան"
"2018-02-28",2018,2,"Աջափնյակ",114,1456,"Երևան"
"2018-03-31",2018,3,"Աջափնյակ",140,1473,"Երևան"
"2018-04-30",2018,4,"Աջափնյակ",118,1517,"Երևան"
"2018-05-31",2018,5,"Աջափնյակ",136,1539,"Երևան"
"2018-06-30",2018,6,"Աջափնյակ",202,1611,"Երևան"
"2018-07-31",2018,7,"Աջափնյակ",197,1695,"Երևան"
"2018-08-31",2018,8,"Աջափնյակ",181,1768,"Երևան"
"2018-09-30",2018,9,"Աջափնյակ",174,1815,"Երևան"
"2018-10-31",2018,10,"Աջափնյակ",207,1889,"Երևան"
"2018-11-30",2018,11,"Աջափնյակ",186,1953,"Երևան"
"2018-12-31",2018,12,"Աջափնյակ",205,2008,"Երևան"
"2019-01-31",2019,1,"Աջափնյակ",111,1971,"Երևան"
"2019-02-28",2019,2,"Աջափնյակ",171,2028,"Երևան"
"2019-03-31",2019,3,"Աջափնյակ",146,2034,"Երևան"
"2019-04-30",2019,4,"Աջափնյակ",159,2075,"Երևան"
"2019-05-31",2019,5,"Աջափնյակ",154,2093,"Երևան"
"2019-06-30",2019,6,"Աջափնյակ",144,2035,"Երևան"
"2019-07-31",2019,7,"Աջափնյակ",169,2007,"Երևան"
"2019-08-31",2019,8,"Աջափնյակ",161,1987,"Երևան"
"2019-09-30",2019,9,"Աջափնյակ",149,1962,"Երևան"
"2019-10-31",2019,10,"Աջափնյակ",164,1919,"Երևան"
"2019-11-30",2019,11,"Աջափնյակ",165,1898,"Երևան"
"2019-12-31",2019,12,"Աջափնյակ",160,1853,"Երևան"
"2020-01-31",2020,1,"Աջափնյակ",83,1825,"Երևան"
"2020-02-29",2020,2,"Աջափնյակ",119,1773,"Երևան"
"2020-03-31",2020,3,"Աջափնյակ",159,1786,"Երևան"
"2020-04-30",2020,4,"Աջափնյակ",43,1670,"Երևան"
"2020-05-31",2020,5,"Աջափնյակ",74,1590,"Երևան"
"2020-06-30",2020,6,"Աջափնյակ",127,1573,"Երևան"
"2020-07-31",2020,7,"Աջափնյակ",264,1668,"Երևան"
"2020-08-31",2020,8,"Աջափնյակ",163,1670,"Երևան"
