"country","date","USD_Million","frequency","month","year","yoy_rem","country_rus"
"Armenia","2017-12-31",499.8,"quarterly",12,2017,NA,"Армения"
"Armenia","2018-03-31",261.1,"quarterly",3,2018,NA,"Армения"
"Armenia","2018-06-30",336.6,"quarterly",6,2018,NA,"Армения"
"Armenia","2018-09-30",389.5,"quarterly",9,2018,1487,"Армения"
"Armenia","2018-12-31",465,"quarterly",12,2018,1452.2,"Армения"
"Armenia","2019-03-31",253.7,"quarterly",3,2019,1444.8,"Армения"
"Armenia","2019-06-30",343.7,"quarterly",6,2019,1451.9,"Армения"
"Armenia","2019-09-30",412.2,"quarterly",9,2019,1474.6000000000001,"Армения"
"Armenia","2019-12-31",479.8,"quarterly",12,2019,1489.3999999999999,"Армения"
"Armenia","2020-03-31",235.5,"quarterly",3,2020,1471.2,"Армения"
"Armenia","2020-06-30",248.3,"quarterly",6,2020,1375.8,"Армения"
"Armenia","2020-09-30",407.5,"quarterly",9,2020,1371.1,"Армения"
"Armenia","2020-12-31",420.4,"quarterly",12,2020,1311.6999999999998,"Армения"
"Armenia","2021-03-31",310.7,"quarterly",3,2021,1386.8999999999999,"Армения"
"Armenia","2021-06-30",407.9,"quarterly",6,2021,1546.5,"Армения"
"Armenia","2021-09-30",433.4,"quarterly",9,2021,1572.4,"Армения"
"Armenia","2021-12-31",407.2,"quarterly",12,2021,1559.2,"Армения"
"Armenia","2022-03-31",271.6,"quarterly",3,2022,1520.1,"Армения"
"Armenia","2022-06-30",612.4,"quarterly",6,2022,1724.6,"Армения"
"Armenia","2022-09-30",613.8,"quarterly",9,2022,1904.9999999999998,"Армения"
"Armenia","2022-12-31",533.3,"quarterly",12,2022,2031.1,"Армения"
"Armenia","2023-03-31",339.8,"quarterly",3,2023,2099.2999999999997,"Армения"
"Armenia","2023-06-30",407.3,"quarterly",6,2023,1894.1999999999998,"Армения"
"Azerbaijan","2017-12-31",200,"quarterly",12,2017,NA,"Азербайджан"
"Azerbaijan","2018-03-31",159,"quarterly",3,2018,NA,"Азербайджан"
"Azerbaijan","2018-06-30",199,"quarterly",6,2018,NA,"Азербайджан"
"Azerbaijan","2018-09-30",184,"quarterly",9,2018,742,"Азербайджан"
"Azerbaijan","2018-12-31",176,"quarterly",12,2018,718,"Азербайджан"
"Azerbaijan","2019-03-31",126,"quarterly",3,2019,685,"Азербайджан"
"Azerbaijan","2019-06-30",125,"quarterly",6,2019,611,"Азербайджан"
"Azerbaijan","2019-09-30",131,"quarterly",9,2019,558,"Азербайджан"
"Azerbaijan","2019-12-31",121,"quarterly",12,2019,503,"Азербайджан"
