"code","arm","eng","rus","date","production_month","vol_YoY_pct"
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2013-Q1",784166.2,NA
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2013-Q2",978205.1,NA
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2013-Q3",1363072.3,NA
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2013-Q4",1430194.6,NA
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2014-Q1",814938.4,103
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2014-Q2",1030592.9,102.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2014-Q3",1443501.1,105.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2014-Q4",1539593.9,103.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2015-Q1",879565.7,103.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2015-Q2",1105248,104.5
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2015-Q3",1523902.7000000002,104.3
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2015-Q4",1534916.7999999998,101.3
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2016-Q1",893634.2,104.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2016-Q2",1132260.6,102.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2016-Q3",1525628.4,97.5
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2016-Q4",1515770.3,99
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2017-Q1",971041,107.2
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2017-Q2",1212700.7999999998,106.7
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2017-Q3",1587405.3999999997,104.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2017-Q4",1793346.1000000006,111.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2018-Q1",1115563.9000000001,109.9
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2018-Q2",1362703.9000000001,107.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2018-Q3",1687018.4000000004,102.8
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2018-Q4",1851749.0000000005,103.3
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2019-Q1",1242121.8,107.6
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2019-Q2",1484958.1,107.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2019-Q3",1822640.1,108.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2019-Q4",1993601.8,107.6
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2020-Q1",1263058.8,103
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2020-Q2",1274458.7000000002,88.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2020-Q3",1743630.7999999996,91.7
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2020-Q4",1900754.3000000005,91.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2021-Q1",1282290.1000000003,98.5
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2021-Q2",1577120.0999999996,109.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2021-Q3",1909558.8999999997,102.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2021-Q4",2222808.6999999993,111.6
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2022-Q1",1487927.0000000002,108.8
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2022-Q2",1900956.0000000005,113.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2022-Q3",2379443.0000000005,114.8
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2022-Q4",2733109.4999999995,112.7
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2023-Q1",1788263.2999999998,112.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2023-Q2",2138375.5,109.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2023-Q3",2574593.3000000003,107.2
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2023-Q4",3001546.5000000005,107.8
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2013-Q1",117671.9,NA
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2013-Q2",122310.7,NA
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2013-Q3",134871.3,NA
