period,usd_amd
2010-01-01,376.5
2010-02-01,384.25
2010-03-01,400
2010-04-01,384.5
2010-05-01,378.5
2010-06-01,367.5
2010-07-01,368.5
2010-08-01,363
2010-09-01,359.5
2010-10-01,356
2010-11-01,357
2010-12-01,357
2011-01-01,362
2011-02-01,365
2011-03-01,368
2011-04-01,375
2011-05-01,375
2011-06-01,374
2011-07-01,374
2011-08-01,365.5
2011-09-01,371.5
2011-10-01,378
2011-11-01,380
2011-12-01,385
2012-01-01,386
2012-02-01,388
2012-03-01,390.5
2012-04-01,391.25
2012-05-01,405
2012-06-01,417
2012-07-01,407.5
2012-08-01,407.5
2012-09-01,406
2012-10-01,405
2012-11-01,405.5
2012-12-01,402
2013-01-01,405.25
2013-02-01,408
2013-03-01,417.5
2013-04-01,409.5
2013-05-01,417.22
2013-06-01,408.5
2013-07-01,408.5
2013-08-01,403.19
2013-09-01,405.29
2013-10-01,401.86
2013-11-01,403.5
2013-12-01,401.47
2014-01-01,405.96
2014-02-01,410.43
2014-03-01,412.9
2014-04-01,413.6
2014-05-01,412.6
2014-06-01,406.7
2014-07-01,405.4
2014-08-01,410.5
2014-09-01,406.6
2014-10-01,409.3
2014-11-01,433
2014-12-01,474
2015-01-01,473
2015-02-01,476.35
2015-03-01,470
2015-04-01,476.75
2015-05-01,478
2015-06-01,471.05
2015-07-01,476.45
2015-08-01,480.45
2015-09-01,471.45
2015-10-01,472.45
2015-11-01,481.95
2015-12-01,482.75
2016-01-01,486.75
2016-02-01,490.34
2016-03-01,477.9
2016-04-01,476.55
2016-05-01,476
2016-06-01,475.68
2016-07-01,474.7
2016-08-01,473.75
2016-09-01,473.46
2016-10-01,474.12
2016-11-01,479.1
2016-12-01,482.92
2017-01-01,485.51
2017-02-01,485.62
2017-03-01,482.46
2017-04-01,483.6
2017-05-01,481
2017-06-01,479.2
2017-07-01,477.35
2017-08-01,477.44
2017-09-01,477.4
2017-10-01,480.5
2017-11-01,483.28
2017-12-01,483.08
2018-01-01,479.8
2018-02-01,479.8
2018-03-01,479.06
2018-04-01,481.5
2018-05-01,481.5
2018-06-01,481.22
2018-07-01,479.5
2018-08-01,481
2018-09-01,481.7
2018-10-01,484.5
2018-11-01,483.5
2018-12-01,482.5
2019-01-01,485
2019-02-01,488.5
2019-03-01,484.5
2019-04-01,479.45
2019-05-01,479.1
2019-06-01,476.1
2019-07-01,474.8
2019-08-01,475.11
2019-09-01,475
2019-10-01,474.5
2019-11-01,476
2019-12-01,478
2020-01-01,479.0407176451613
2020-02-01,478.67696403448275
2020-03-01,488.7320444516129
2020-04-01,488.4983269
2020-05-01,483.4941124516129
2020-06-01,481.34328443333334
2020-07-01,485.0356928387097
2020-08-01,485.48933303225806
2020-09-01,486.60161236666664
2020-10-01,491.7193270322581
2020-11-01,499.5578905666667
2020-12-01,519.0848483870968
2021-01-01,521.2349418064516
2021-02-01,523.8018756428571
2021-03-01,527.5094748709678
2021-04-01,523.4336659666667
2021-05-01,521.2040760645161
2021-06-01,513.3426178333333
2021-07-01,491.9821611612903
2021-08-01,491.8466887419355
2021-09-01,488.62098756666666
2021-10-01,479.46947151612903
2021-11-01,477.98891853333333
2021-12-01,488.98372561290324
2022-01-01,481.9065078387097
2022-02-01,480.15609664285716
2022-03-01,498.39619612903226
2022-04-01,471.8112751666667
2022-05-01,457.4062413548387
2022-06-01,423.9614972333333
2022-07-01,410.0964569032258
2022-08-01,405.802605483871
2022-09-01,408.05162376666664
2022-10-01,402.55291829032257
2022-11-01,395.27106506666667
2022-12-01,394.5583773225806
2023-01-01,395.704788
2023-02-01,394.01190142857143
2023-03-01,387.84180087096775
2023-04-01,387.71672343333336
2023-05-01,386.583270483871
2023-06-01,386.30745083333335
2023-07-01,386.7138819032258
2023-08-01,386.22436003225806
2023-09-01,386.6789864
2023-10-01,404.59985748387095
2023-11-01,401.80786336666665
2023-12-01,404.0274442580645
2024-01-01,404.646297
2024-02-01,405.80891479310344
2024-03-01,402.7633089047619
