country,price_in_usd
Lebanon,0.015 USD
Venezuela,0.020 USD
Libya,0.031 USD
Egypt,0.267 USD
Kuwait,0.341 USD
Algeria,0.341 USD
Iran,0.357 USD
Angola,0.360 USD
Turkmenistan,0.428 USD
Malaysia,0.433 USD
Nigeria,0.440 USD
Bahrain,0.531 USD
Kazakhstan,0.540 USD
Bolivia,0.541 USD
Iraq,0.569 USD
Qatar,0.576 USD
Azerbaijan,0.588 USD
Russia,0.595 USD
Saudi Arabia,0.621 USD
Oman,0.621 USD
Ecuador,0.634 USD
Kyrgyzstan,0.773 USD
United Arab Emirates,0.795 USD
Tunisia,0.815 USD
Bhutan,0.851 USD
Chad,0.854 USD
Paraguay,0.908 USD
Indonesia,0.920 USD
Maldives,0.927 USD
Vietnam,0.968 USD
Taiwan,0.969 USD
Liberia,0.971 USD
Gabon,0.981 USD
USA,0.991 USD
Pakistan,0.999 USD
Uzbekistan,1.012 USD
Guyana,1.027 USD
Ghana,1.035 USD
Colombia,1.042 USD
Afghanistan,1.048 USD
Panama,1.057 USD
Sudan,1.075 USD
Puerto Rico,1.084 USD
Swaziland,1.087 USD
Argentina,1.094 USD
Namibia,1.101 USD
Botswana,1.103 USD
Haiti,1.110 USD
Bangladesh,1.112 USD
Benin,1.121 USD
Dominica,1.129 USD
Mongolia,1.133 USD
Trinidad&Tobago,1.136 USD
Japan,1.150 USD
Brazil,1.152 USD
Togo,1.154 USD
DR Congo,1.156 USD
Georgia,1.163 USD
Honduras,1.164 USD
China,1.178 USD
Zambia,1.185 USD
El Salvador,1.188 USD
Philippines,1.190 USD
Cambodia,1.191 USD
Guatemala,1.201 USD
Lesotho,1.203 USD
South Korea,1.218 USD
Tanzania,1.239 USD
Suriname,1.241 USD
India,1.244 USD
South Africa,1.268 USD
Rwanda,1.268 USD
Grenada,1.287 USD
Thailand,1.289 USD
Dominican Republic,1.289 USD
Nepal,1.293 USD
Australia,1.303 USD
Turkey,1.315 USD
Madagascar,1.318 USD
Peru,1.321 USD
Canada,1.322 USD
Nicaragua,1.324 USD
Armenia,1.326 USD
Saint Lucia,1.343 USD
Mozambique,1.349 USD
Jamaica,1.350 USD
Burma,1.351 USD
Ethiopia,1.360 USD
Chile,1.364 USD
Guinea,1.389 USD
Burkina Faso,1.402 USD
Costa Rica,1.414 USD
Moldova,1.420 USD
Aruba,1.420 USD
Cape Verde,1.421 USD
Ukraine,1.428 USD
Mali,1.428 USD
Mauritius,1.429 USD
Sierra Leone,1.431 USD
Uganda,1.432 USD
Mexico,1.435 USD
Bulgaria,1.439 USD
Ivory Coast,1.443 USD
Laos,1.447 USD
Bahamas,1.448 USD
Malta,1.449 USD
Sri Lanka,1.463 USD
Northern Macedonia,1.466 USD
Seychelles,1.495 USD
Cyprus,1.510 USD
Burundi,1.512 USD
Bosnia & Herz.,1.512 USD
Cayman Islands,1.515 USD
Malawi,1.516 USD
Morocco,1.540 USD
Romania,1.549 USD
Kenya,1.570 USD
Andorra,1.580 USD
Slovenia,1.613 USD
Lithuania,1.615 USD
Poland,1.617 USD
Senegal,1.632 USD
Czech Republic,1.641 USD
Jordan,1.650 USD
Croatia,1.679 USD
Hungary,1.694 USD
Luxembourg,1.701 USD
Serbia,1.707 USD
Austria,1.726 USD
Spain,1.735 USD
Sweden,1.747 USD
Slovakia,1.757 USD
Belize,1.763 USD
Belgium,1.785 USD
Central African Rep.,1.814 USD
United Kingdom,1.821 USD
Latvia,1.826 USD
Estonia,1.860 USD
Ireland,1.868 USD
Portugal,1.877 USD
New Zealand,1.903 USD
Mayotte,1.904 USD
Germany,1.936 USD
Finland,1.946 USD
Albania,1.977 USD
Uruguay,1.988 USD
France,1.991 USD
Switzerland,1.997 USD
Italy,2.013 USD
Singapore,2.035 USD
Liechtenstein,2.043 USD
Greece,2.064 USD
Barbados,2.110 USD
Netherlands,2.157 USD
Norway,2.163 USD
Denmark,2.227 USD
Iceland,2.294 USD
Monaco,2.304 USD
Yemen,2.557 USD
Hong Kong,3.132 USD
Syria,5.395 USD
Cuba,6.058 USD
