FX_ISO,name_arm
AED,ՄԱԷ դիրհամ
ARS,Արգենտինական պեսո
AUD,Ավստրալիական դոլար
BGN,Բուլղարական լեվ
BRL,Բրազիլական ռեալ
BYN,Բելոռուսական ռուբլի
CAD,Կանադական դոլար
CHF,Շվեյցարակ ֆրանկ
CNY,Չինական յուան
CZK,Չեխական կրոնա
DKK,Դանիական կրոն
EGP,Եգիպտական ֆունտ
EUR,ԵՎՐՈ
GBP,Մեծ Բրիտանիայի ֆունտ ստերլինգ
GEL,Վրացական լարի
HKD,Հոնգ Կոնգի դոլար
HUF,Հունգարական ֆորինտ
ILS,Իսրայելական շեքել
INR,Հնդկական ռուփի
IRR,Իրանական ռիալ
ISK,Իսլանդական կրոն
JPY,Ճապոնական իեն
KGS,Ղրղզական սոմ
KRW,Հարավկորեական վոն
KWD,Քուվեյթյան դինար
KZT,Ղազախական տենգե
LBP,Լիբանանյան ֆունտ
LTL,Լիտվական լիտ
LVL,Լատվիական լատ
MDL,Մոլդովական լեյ
MXN,Մեքսիկական պեսո
NOK,Նորվեգական կրոն
NZD,Նորզելանդական դոլար
PLN,Լեհակահ զլոտի
RON,Ռումինական լեյ
RUB,Ռուսաստանյան ռուբլի
SAR,Սաուդ. Արաբական ռիալ
SEK,Շվեդական կրոն
SGD,Սինգապուրյան դոլար
SKK,Սլովակյան կրոնա
SYP,Սիրիական ֆունտ
TJS,Տաջիկական սոմոնի
TMT,Թուրքմենական մանաթ
TRY,Թուրքական լիրա
UAH,ՈՒկրաինական գրիվնյա
USD,ԱՄՆ դոլար
UZS,ՈՒզբեկական սում
XAG,Արծաթ
XAU,Ոսկի
XDR,Հատուկ փոխառության իրավունք
AMD,Հայկական դրամ
