date,year,FX,possition,value
2024-03-18T15:56:00Z,2024,USD,buy,401
2024-03-18T15:56:00Z,2024,USD,sell,404
2024-03-18T15:56:00Z,2024,EUR,buy,437
2024-03-18T15:56:00Z,2024,EUR,sell,442
2024-03-18T15:56:00Z,2024,RUB,buy,4.28
2024-03-18T15:56:00Z,2024,RUB,sell,4.38
2024-03-18T15:53:00Z,2024,USD,buy,401
2024-03-18T15:53:00Z,2024,USD,sell,404
2024-03-18T15:53:00Z,2024,EUR,buy,437
2024-03-18T15:53:00Z,2024,EUR,sell,442
2024-03-18T15:53:00Z,2024,RUB,buy,4.28
2024-03-18T15:53:00Z,2024,RUB,sell,4.38
2024-03-18T15:52:00Z,2024,USD,buy,401
2024-03-18T15:52:00Z,2024,USD,sell,404
2024-03-18T15:52:00Z,2024,EUR,buy,437
2024-03-18T15:52:00Z,2024,EUR,sell,442
2024-03-18T15:52:00Z,2024,RUB,buy,4.28
2024-03-18T15:52:00Z,2024,RUB,sell,4.38
2024-03-18T15:49:00Z,2024,USD,buy,401
2024-03-18T15:49:00Z,2024,USD,sell,404
2024-03-18T15:49:00Z,2024,EUR,buy,437
2024-03-18T15:49:00Z,2024,EUR,sell,442
2024-03-18T15:49:00Z,2024,RUB,buy,4.28
2024-03-18T15:49:00Z,2024,RUB,sell,4.38
2024-03-18T15:44:00Z,2024,USD,buy,401
2024-03-18T15:44:00Z,2024,USD,sell,404
2024-03-18T15:44:00Z,2024,EUR,buy,437
2024-03-18T15:44:00Z,2024,EUR,sell,442
2024-03-18T15:44:00Z,2024,RUB,buy,4.28
2024-03-18T15:44:00Z,2024,RUB,sell,4.38
2024-03-18T15:44:00Z,2024,EUR,buy,NA
2024-03-18T15:44:00Z,2024,EUR,sell,NA
2024-03-18T15:44:00Z,2024,RUB,buy,NA
2024-03-18T15:44:00Z,2024,RUB,sell,NA
2024-03-18T15:41:00Z,2024,USD,buy,401
2024-03-18T15:41:00Z,2024,USD,sell,404
2024-03-18T15:41:00Z,2024,EUR,buy,437
2024-03-18T15:41:00Z,2024,EUR,sell,442
2024-03-18T15:41:00Z,2024,RUB,buy,4.28
2024-03-18T15:41:00Z,2024,RUB,sell,4.38
2024-03-18T15:40:00Z,2024,USD,buy,401
2024-03-18T15:40:00Z,2024,USD,sell,404
2024-03-18T15:40:00Z,2024,EUR,buy,435
2024-03-18T15:40:00Z,2024,EUR,sell,442
