commodity_code,commodity_arm_short
1,Կենդանի կենդանիներ
2,Միս և մսից ենթամթերք
3,"Ձուկ և խեցգետնավորներ, մանրուքներ և այլ ծովային անողնաշարավորներ"
4,"Կաթ և կաթնամթերք, թռչնի ձու, բնական մեղր և այլ կենդանական ծագման սննդամթերք"
5,Այլ կենդանական ծագման ապրանքներ
6,"Կենդանի ծառեր, թփեր և այլ բույսեր"
7,Բանջարեղեն և այլ կերային արմատապտուղներ և ելապտուղներ
8,"Ուտելի պտուղներ (մրգեր) եւ ընկույզներ, ցիտրուսային կամ բոստանային մշակաբույսերի կեղեւներ եւ կլեպներ"
9,"Սուրճ, թեյ և այլ համեմունքներ"
10,Հացահատիկ
11,"Ալրաղացային-ձավարեղենային արտադրանք, ածիկ, օսլա, ինուլին և այլն"
12,"Ձիթատու սերմեր և պտուղներ, դեղաբույսեր և տեխնիկական բույսեր, ծղոտ"
13,"Դոճխեժ, բուսաձյութ, խեժ և այլ բուսական հյութեր և հյութահանուկներ"
14,"Բուսական նյութեր հյուսվածքային արտադրանքների պատրաստման համար,այլ բուսական արտադրանքներ"
15,"Կենդանական և բուսական ծագման յուղեր և ճարպեր, սննդային ճարպեր, մեղրամոմ"
16,"Մսից, ձկներից և այլ ծովային անողնաշարավորներից արտադրանք"
17,Շաքար և հրուշակեղեն շաքարից
18,Կակաո և դրանից պատրաստված մթերք
19,"Ցորենից, ալյուրից, օսլայից և կաթից պատրաստված ապրանք, ալյուրից հրուշակեղեն"
20,"Բանջարեղենի, պտուղների, ընկույզների և բույսերի մասերի վերամշակումից մթերք"
21,Այլ տարբեր սննդամթերք
22,Ոգելից և ոչ ոգելից ըմպելիքներ և քացախ
23,"Սննդարդյունաբերության մնացորդներ, պատրաստի անասնակեր"
24,Ծխախոտ և ծխախոտի արդյունաբերական փոխարինողներ
25,"Աղ, ծծումբ,հող և քար, սվաղման նյութեր, կրաքար և ցեմենտ"
26,"Հանքաքար, խարամ և մոխիր"
27,Էլեկտրաէներգիա
28,"Անօրգանական քիմիական միացություններ, ռադիոակտիվ էլեմենտներ և իզոտոպներ"
29,Օրգանական քիմիական միացություններ
30,Դեղագործական մթերք
31,Պարարտանյութեր
32,"Ներկանյութեր, պիգմենտներ և այլ ներկող նյութեր, լաքեր, թանաք"
33,"Եթերային յուղեր, հարդարանքի և լոգարանային միջոցներ"
34,"Օճառ,մակերեսային ակտիվ օրգանական միջոցներ, մաքրող միջոցներ և քսուկներ, մոմեր և հարդարանքի այլ միջոցներ"
35,"Սպիտակուցային նյութեր, սոսինձ, մոդիֆիկացված օսլա, ֆերմենտներ"
36,"Պայթուցիկ նյութեր, լուցկի և այլ վառվող նյութեր"
37,Լուսանկարչական և կինոյի ապրանքներ
38,Այլ քիմիական ապրանքներ
39,Պլաստմասսա և դրանից իրեր
40,Կաուչուկ և ռետինե իրեր
41,Կաշի և կաշվե հումք
42,"Կաշվե իրեր, կենդանիների աղիքից իրեր"
43,Բնական և արհեստական մորթի և դրանցից պատրաստված իրեր
44,"Փայտ և փայտից իրեր, փայտածուխ"
45,Խցան և դրանից իրեր
46,Ծղոտից իրեր
47,Փայտյա և այլ մանրաթելավոր նյութերից զանգված
48,"Թուղթ և ստվարաթուղթ, իրեր թղթից"
49,"Գրքեր, լրագրեր, տպագրական արտադրանք"
50,Մետաքս
51,"Բուրդ, նուրբ և կոպիտ կենդանական մազեր, ձիու մազից հյուսվածք և կտոր"
52,Բամբակ
53,"Այլ բուսական մանածագործական գործվածք, թղթյա գործվածք և դրանցից կտոր"
54,Քիմիական թելեր
55,Քիմիական շտապելային գործվածք
56,"Թաղիք, բամբակ, հատուկ գործվածք, ճոպան, առասանուկ, պարան և իրեր դրանցից"
57,Գորգեր և այլ տեքստիլ ծածկոցներ հատ
58,"Հատուկ կտորներ,ասեղնագործ կտորներ, գոբելեններ, հարդարման նյութեր և այլն"
59,"Տեքստիլ, կրկնագործված, հարստացված ծածկույթով իրեր և դրանցից տեխնիկական իրեր"
60,Մեքենայով կամ ձեռքով գործած տրիկոտաժե կտավ
61,Տրիկոտաժե հագուստ և հարակից իրեր
62,"Տեքստիլ հագուստ, կոշիկ և հարակից իրեր"
63,"Այլ պատրաստի տեքստիլ իրեր, օգտագործած հագուստ և տեքստիլ իրեր"
64,"Կոշիկ, զուգագուլպա և նմանատիպ իրեր"
65,Գլխարկներ
66,"Հովանոցներ, նստափայտեր, ճիպոտներ մտրակներ և դրանց մասեր"
67,"Մշակված փետուրներ, արհեստական ծաղիկներ"
68,"Իրեր քարից, գիպսից, ցեմենտից և նմանատիպ նյութերից"
69,Կերամիկական իրեր
70,Ապակի և դրանից իրեր
71,"Թանկարժեք և կիսաթանկարժեք քարեր, բնական կամ արհեստական մարգարիտ թանկարժեք մետաղներ"
72,Սև մետաղներ
73,Իրեր սև մետաղներից
74,Պղինձ և իրեր դրանից
75,Նիկել և իրեր դրանից
76,Ալյումին և իրեր դրանից
78,Արճիճ և իրեր դրանից
