year,partner_region,trade_value_us
2011,EAEU,231463237.06
2011,EU,605849734.57
2011,Greater China,16261795.16
2011,Middle East,100545510.41
2011,Other countries,352260632.36
2012,EAEU,288503774.18
2012,EU,558512723.24
2012,Greater China,30965577.259999998
2012,Middle East,122810529.1
2012,Other countries,414775288.13
2013,EAEU,371622925.49
2013,EU,484891478.73
2013,Greater China,68897047.73
2013,Middle East,150782506.334
2013,Other countries,401392238.602
2014,EAEU,320811098.14
2014,EU,434963504.74
2014,Greater China,170953738.38
2014,Middle East,205066642.673
2014,Other countries,358395162.469
2015,EAEU,236539892.72
2015,EU,437088725.34
2015,Greater China,165201940.84
2015,Middle East,256909207.292
2015,Other countries,388430618.731
2016,EAEU,392549017.65
2016,EU,474378798.39
2016,Greater China,96381302.92
2016,Middle East,311906434.73
2016,Other countries,495343170.04
2017,EAEU,554129939.26
2017,EU,602286263.48
2017,Greater China,118513071.85
2017,Middle East,349160144.37
2017,Other countries,520873550.62
2018,EAEU,664350986.65
2018,EU,672536556.77
2018,Greater China,107222006.46
2018,Middle East,387733752.61
2018,Other countries,551570497.248
2019,EAEU,744712777.15
2019,EU,574615046.73
2019,Greater China,193681983.66
2019,Middle East,393842742.1
2019,Other countries,711784895.89
2020,EAEU,688489646.59
2020,EU,425982713.51
2020,Greater China,289708872.86
2020,Middle East,391950435.44
2020,Other countries,716365697.655
2021,EAEU,835722732.05
2021,EU,653144635.9
2021,Greater China,393160887.93
2021,Middle East,350667972.94
2021,Other countries,732102061.26
2022,EAEU,2463923260.12
2022,EU,770479801.71
2022,Greater China,369500454.21
2022,Middle East,983425354.404
2022,Other countries,719655290.271
2023,EAEU,3587101616.18
2023,EU,706114821.32
2023,Greater China,425301424.55
2023,Middle East,2535074513.96
2023,Other countries,1128238683.47
