commodity_code,trade_value_us,RX_pct,year
22. Ոգելից և ոչ ոգելից ըմպելիքներ և ք...,1317795.6400000001,0.5%,2023
24. Ծխախոտ և ծխախոտի արդյունաբերական ...,37865096.86,13.5%,2023
39. Պլաստմասսա և դրանից իրեր,3209191.4899999998,1.1%,2023
"42. Կաշվե իրեր, կենդանիների աղիքից իրեր",2960080.78,1.1%,2023
61. Տրիկոտաժե հագուստ և հարակից իրեր,3112867.6,1.1%,2023
"62. Տեքստիլ հագուստ, կոշիկ և հարակից ...",123792679.53,44.3%,2023
"63. Այլ պատրաստի տեքստիլ իրեր, օգտագո...",2092453.75,0.7%,2023
"71. Թանկարժեք և կիսաթանկարժեք քարեր, ...",56506211.13,20.2%,2023
87. Վերգետնյա տրանսպորտի միջոցներ և մ...,20867677.84,7.5%,2023
88. Թռչող ապարատներ և դրանց մասեր,5005060,1.8%,2023
91. Ժամացույցներ և դրանց մասեր,3809909.6,1.4%,2023
"94. Կահույք, անկողնային պարագաներ և դ...",9402710.62,3.4%,2023
Այլ ապրանքներ,9700930.67,3.5%,2023
