year,RX,X,RX_pct
2010,164567580.09,1226140004.46,13.4%
2011,202046525.85,1306380909.56,15.5%
2012,148056174.6,1415567891.91,10.5%
2013,93353320.008,1477586196.886,6.3%
2014,120087139.141,1490190146.402,8.1%
2015,171915989.216,1484170384.923,11.6%
2016,148276266.66,1770558723.73,8.4%
2017,140385223.43,2144962969.58,6.5%
2018,208208647.6,2383413799.738,8.7%
2019,214086073.58,2618637445.53,8.2%
2020,163527759.245,2512497366.055,6.5%
2021,185091182.07,2964798290.08,6.2%
2022,235446756.06,5306984160.715,4.4%
2023,279642665.51,8381831059.48,3.3%
