year,commodity_code,commodity,reexports,X,pct,pct_cum,reexports_text,pct_text,prop_reexport,prop_reexport_text
2023,710812,"Metals; gold, non-monetary, unwrought (but not powder)",1711943672.73,1726437745.5300002,0.41319594257028736,0.41319594257028736,1 711.9,41.3%,0.9916046362879128,99.2%
2024,710812,"Metals; gold, non-monetary, unwrought (but not powder)",1114214753.08,1114214753.08,0.7029660571370575,0.7029660571370575,1 114.2,70.3%,1,100.0%
2023,851713,Telephone sets; smartphones for cellular or other wireless networks,465634940.22999996,474560111.94,0.11238598038402778,0.5255819229543152,465.6,11.2%,0.9811927477985581,98.1%
2023,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",295818431.48,381538206.15,0.07139894704019288,0.5969808699945081,295.8,7.1%,0.7753310853584617,77.5%
2022,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",274114248.55,306944304.12,0.1862521150661638,0.1862521150661638,274.1,18.6%,0.8930423039967372,89.3%
2022,851713,Telephone sets; smartphones for cellular or other wireless networks,230009346.85999998,230829178.32999998,0.15628420472220614,0.34253631978836996,230.0,15.6%,0.9964483195931672,99.6%
2022,710812,"Metals; gold, non-monetary, unwrought (but not powder)",195561603.48,264973502.1,0.13287803339867812,0.47541435318704806,195.6,13.3%,0.7380421133815704,73.8%
2023,852872,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a colour video display or screen",171547488.78,187275739.76,0.0414048239151366,0.6383856939096446,171.5,4.1%,0.9160155447782171,91.6%
2023,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",154517131.25,154517131.25,0.03729436470785685,0.6756800586175015,154.5,3.7%,1,100.0%
2024,851713,Telephone sets; smartphones for cellular or other wireless networks,146729141.23,146729141.23,0.09257246468190837,0.7955385218189659,146.7,9.3%,1,100.0%
2023,710231,"Diamonds; non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set",129714828.82000001,129714828.82000001,0.03130806335126223,0.7069881219687637,129.7,3.1%,1,100.0%
2022,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",120821518.58999999,120821518.58999999,0.08209446791595222,0.5575088211030003,120.8,8.2%,1,100.0%
2023,870324,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",108409509.88,108409509.88,0.02616579641724827,0.733153918386012,108.4,2.6%,1,100.0%
2023,711021,NA,103174383.28,112242606.04,0.02490224253728195,0.7580561609232939,103.2,2.5%,0.9192087293770749,91.9%
2023,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",100760899.34,482182608.95,0.024319722336791784,0.7823758832600857,100.8,2.4%,0.20896833993954442,20.9%
2014,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",85164494.55,85164494.55,0.5179783209272548,0.5179783209272548,85.2,51.8%,1,100.0%
2016,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",84049950.27,84049950.27,0.673770775169195,0.673770775169195,84.0,67.4%,1,100.0%
2023,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",82861417.55,82861417.55,0.019999490679902913,0.8023753739399886,82.9,2.0%,1,100.0%
2023,711011,"Metals; platinum, unwrought or in powder form",76958252.14,79685452.41,0.018574698477573277,0.8209500724175619,77.0,1.9%,0.9657754309284972,96.6%
2021,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",72655034.87,78472856.21,0.4355610221920987,0.4355610221920987,72.7,43.6%,0.925861990744532,92.6%
2022,870324,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",70608851.21,70608851.21,0.047976520556010906,0.6054853416590111,70.6,4.8%,1,100.0%
2024,710231,"Diamonds; non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set",64950488.440000005,64950488.440000005,0.04097772771504007,0.8365162495340059,65.0,4.1%,1,100.0%
2013,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",64641401.870000005,64641401.870000005,0.42499640829938456,0.42499640829938456,64.6,42.5%,1,100.0%
2012,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",59151750.58,59553399.93,0.550361888626058,0.550361888626058,59.2,55.0%,0.9932556436664891,99.3%
2015,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",56474196.11,57604261.02,0.6477207093676641,0.6477207093676641,56.5,64.8%,0.9803822687768246,98.0%
2011,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",55654439.24,59640292.4,0.3894961850264283,0.3894961850264283,55.7,38.9%,0.9331684503947872,93.3%
2022,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",51813350.03,51813350.03,0.03520556148685829,0.6406909031458695,51.8,3.5%,1,100.0%
2020,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",51240041.92,58417804.03,0.37621843595159177,0.37621843595159177,51.2,37.6%,0.8771305729617307,87.7%
2023,852852,Monitors; other than cathode-ray tube; capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,47942572.75,48785226.55,0.01157145346090199,0.8325215258784638,47.9,1.2%,0.9827272750463429,98.3%
2014,710813,"Metals; gold, semi-manufactured",43464678.15,81864027.28,0.2643561865392477,0.7823345074665025,43.5,26.4%,0.5309374531665478,53.1%
2024,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",43291810.35,269565593.71,0.027313112794405542,0.8638293623284115,43.3,2.7%,0.1605984270996155,16.1%
2011,710231,"Diamonds; non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set",40207420.19,40207420.19,0.2813906129972102,0.6708867980236385,40.2,28.1%,1,100.0%
2023,710691,"Metals; silver, unwrought, (but not powder)",38905721.47,41874716,0.009390312607971593,0.8419118384864355,38.9,0.9%,0.9290981572269051,92.9%
2022,710231,"Diamonds; non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set",36170025.339999996,36170025.34,0.0245764084034578,0.6652673115493273,36.2,2.5%,0.9999999999999998,100.0%
2023,870333,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 2500cc",36093283.42,36093283.42,0.008711500559712359,0.8506233390461478,36.1,0.9%,1,100.0%
2023,851762,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",32744067.240000002,32744067.240000002,0.007903131360181448,0.8585264704063292,32.7,0.8%,1,100.0%
2022,851762,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",32069453.39,32069453.39,0.021790197169607353,0.6870575087189347,32.1,2.2%,1,100.0%
2024,710691,"Metals; silver, unwrought, (but not powder)",31454348.410000004,31482434.130000003,0.01984477338903571,0.8836741357174472,31.5,2.0%,0.9991078923604183,99.9%
2022,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",31098266.34,97103612.91,0.021130305744246538,0.7081878144631811,31.1,2.1%,0.3202585919107178,32.0%
2013,710813,"Metals; gold, semi-manufactured",30988569.830000002,73330020.83,0.20373987096645665,0.6287362792658412,31.0,20.4%,0.42259049539669963,42.3%
2017,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",29692656.099999998,29692656.099999998,0.32773872689446076,0.32773872689446076,29.7,32.8%,1,100.0%
2022,852872,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a colour video display or screen",27430382.1,79338448.1,0.018638092365585786,0.7268259068287669,27.4,1.9%,0.34573882848610954,34.6%
2023,710491,"Stones; diamonds, n.e.c. in heading 7104, worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",25843139.62,28382756.259999998,0.006237518561129416,0.8647639889674587,25.8,0.6%,0.9105225504973562,91.1%
2024,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",25619530.82,27983780.15,0.01616354523798308,0.8998376809554303,25.6,1.6%,0.91551358260653,91.6%
2023,870322,"Vehicles; with only spark-ignition internal combustion piston engine, cylinder capacity over 1000 but not over 1500cc",24813807.400000002,24813807.400000002,0.005989078204337406,0.8707530671717961,24.8,0.6%,1,100.0%
2013,999999,Commodities not specified according to kind,24356603.55,24356603.55,0.16013682760067344,0.7888731068665147,24.4,16.0%,1,100.0%
2024,711021,NA,23177796.53,24130044.509999998,0.014623037609922252,0.9144607185653525,23.2,1.5%,0.960536832843165,96.1%
