period,commodity_code,commodity,reexports,X,pct,pct_cum,reexports_text,pct_text,prop_reexport,prop_reexport_text
2023-12-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",750448639.12,764942711.9200001,0.8038075740076027,0.8038075740076027,750.4,80.4%,0.981052080666773,98.1%
2023-11-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",482794786.36,482794786.36,0.6979915766231987,0.6979915766231987,482.8,69.8%,1,100.0%
2024-01-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",338000024.95,338000024.95,0.6227814805052453,0.6227814805052453,338.0,62.3%,1,100.0%
2023-10-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",175986108.98000002,175986108.98000002,0.42041051239110416,0.42041051239110416,176.0,42.0%,1,100.0%
2024-01-01,851713,Telephone sets; smartphones for cellular or other wireless networks,83926149.47999999,83926149.47999999,0.15463801114804893,0.7774194916532942,83.9,15.5%,1,100.0%
2023-02-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",78181080,78181080,0.30173223449112296,0.30173223449112296,78.2,30.2%,1,100.0%
2022-09-01,851713,Telephone sets; smartphones for cellular or other wireless networks,76655546.1,76655546.1,0.3244341889378585,0.3244341889378585,76.7,32.4%,1,100.0%
2023-10-01,851713,Telephone sets; smartphones for cellular or other wireless networks,73967222.66,73967222.66,0.17669916198994698,0.5971096743810511,74.0,17.7%,1,100.0%
2023-03-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",70235765.67,70235765.67,0.2556004945552431,0.2556004945552431,70.2,25.6%,1,100.0%
2023-09-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",58534770.589999996,58534770.589999996,0.22389623055929728,0.22389623055929728,58.5,22.4%,1,100.0%
2023-07-01,851713,Telephone sets; smartphones for cellular or other wireless networks,56724379.139999986,65649550.85,0.2491596748721145,0.2491596748721145,56.7,24.9%,0.8640482441320463,86.4%
2023-04-01,851713,Telephone sets; smartphones for cellular or other wireless networks,56269455.57,56269455.57,0.23026332261985152,0.23026332261985152,56.3,23.0%,1,100.0%
2022-10-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",56119887.89999999,104761390.9,0.23812386267053634,0.23812386267053634,56.1,23.8%,0.535692466641353,53.6%
2023-08-01,851713,Telephone sets; smartphones for cellular or other wireless networks,49164291.8,49164291.8,0.18858917652429294,0.18858917652429294,49.2,18.9%,1,100.0%
2023-09-01,851713,Telephone sets; smartphones for cellular or other wireless networks,48870660.02,48870660.02,0.18693088660182197,0.41082711716111925,48.9,18.7%,1,100.0%
2022-08-01,851713,Telephone sets; smartphones for cellular or other wireless networks,47929751.15,47929751.15,0.23469269347533062,0.23469269347533062,47.9,23.5%,1,100.0%
2023-02-01,851713,Telephone sets; smartphones for cellular or other wireless networks,47118990.05,47118990.05,0.18185113527149394,0.4835833697626169,47.1,18.2%,1,100.0%
2022-12-01,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",47050647.989999995,47050647.989999995,0.22485088051488425,0.22485088051488425,47.1,22.5%,1,100.0%
2022-06-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",46259201.41,46259201.41,0.4631501808372565,0.4631501808372565,46.3,46.3%,1,100.0%
2023-05-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",44398359.56,45586984.78,0.1751266633025677,0.1751266633025677,44.4,17.5%,0.9739262154376687,97.4%
2023-11-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",40681983.51,50001400.66,0.05881522048817318,0.7568067971113719,40.7,5.9%,0.8136168781876679,81.4%
2023-03-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",40435967.51,48201044.98,0.14715370715735432,0.4027542017125974,40.4,14.7%,0.8389023002878474,83.9%
2023-05-01,851713,Telephone sets; smartphones for cellular or other wireless networks,40105181.1,40105181.1,0.15819247865896155,0.33331914196152923,40.1,15.8%,1,100.0%
2023-08-01,710231,"Diamonds; non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set",35568054.7,35568054.7,0.13643540669173249,0.32502458321602545,35.6,13.6%,1,100.0%
2022-10-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",34509580.25,35200689.010000005,0.14642856313098326,0.3845524258015196,34.5,14.6%,0.9803666127159139,98.0%
2022-07-01,851713,Telephone sets; smartphones for cellular or other wireless networks,32361999.51,32361999.51,0.247928614921792,0.247928614921792,32.4,24.8%,1,100.0%
2022-11-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",31976803.560000002,37490422.830000006,0.13682281455578885,0.13682281455578885,32.0,13.7%,0.8529325930784654,85.3%
2023-08-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",31732194.21,31732194.21,0.12172143961143841,0.44674602282746384,31.7,12.2%,1,100.0%
2023-06-01,851713,Telephone sets; smartphones for cellular or other wireless networks,31631927.74,31631927.74,0.17433800809047675,0.17433800809047675,31.6,17.4%,1,100.0%
2023-07-01,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",31426258.74,31426258.74,0.13803864456197815,0.38719831943409266,31.4,13.8%,1,100.0%
2023-04-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",31355931.36,31355931.36,0.1283133249763127,0.35857664759616426,31.4,12.8%,1,100.0%
2022-11-01,851713,Telephone sets; smartphones for cellular or other wireless networks,30990153.949999996,31809985.42,0.1326011237802468,0.2694239383360356,31.0,13.3%,0.9742272289919205,97.4%
2023-10-01,852872,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a colour video display or screen",30251338.91,30251338.91,0.07226695882636613,0.6693766332074172,30.3,7.2%,1,100.0%
2022-10-01,851713,Telephone sets; smartphones for cellular or other wireless networks,30196587.29,30196587.29,0.128127982325546,0.5126804081270656,30.2,12.8%,1,100.0%
2022-12-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",28946461.14,45155029.55,0.13833257464386478,0.36318345515874906,28.9,13.8%,0.6410462229450584,64.1%
2022-11-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",28943264.52,28943264.52,0.12384286336276641,0.39326680169880207,28.9,12.4%,1,100.0%
2023-11-01,851713,Telephone sets; smartphones for cellular or other wireless networks,28935492.689999998,28935492.689999998,0.04183295001036377,0.7986397471217356,28.9,4.2%,1,100.0%
2023-11-01,852872,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; incorporating a colour video display or screen",28492737.020000007,32062944.16,0.04119284424101166,0.8398325913627472,28.5,4.1%,0.8886500527779357,88.9%
2023-12-01,710231,"Diamonds; non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set",28136225.28,28136225.28,0.030136787256445096,0.8339443612640478,28.1,3.0%,1,100.0%
2022-07-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",27696078.01,27696078.01,0.2121825092316492,0.4601111241534412,27.7,21.2%,1,100.0%
2023-05-01,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",27031493.659999996,27031493.659999996,0.10662410358569366,0.4399432455472229,27.0,10.7%,1,100.0%
2023-03-01,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",26430368.71,26430368.71,0.0961848318888473,0.4989390336014447,26.4,9.6%,1,100.0%
2023-09-01,710231,"Diamonds; non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set",26172652.85,26172652.85,0.10011072492104645,0.5109378420821657,26.2,10.0%,1,100.0%
2023-08-01,711011,"Metals; platinum, unwrought or in powder form",25724259.08,25724259.08,0.09867561718024719,0.545421640007711,25.7,9.9%,1,100.0%
2024-01-01,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",25683838.97,109738363.66000001,0.04732372212446168,0.824743213777756,25.7,4.7%,0.2340461267453894,23.4%
2023-09-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",25196822.470000003,36168757.66,0.09637816149686226,0.6073160035790279,25.2,9.6%,0.6966460586470695,69.7%
2023-06-01,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",25046014.79,25046014.79,0.13804003236804374,0.31237804045852047,25.0,13.8%,1,100.0%
2022-04-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",24862384.43,24862384.43,0.6855349665959916,0.6855349665959916,24.9,68.6%,1,100.0%
2022-08-01,710812,"Metals; gold, non-monetary, unwrought (but not powder)",24601022.880000003,42148084.75,0.12046130395891771,0.35515399743424836,24.6,12.0%,0.5836806826673187,58.4%
2022-09-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",24142271.24,24142271.24,0.10217888446909373,0.42661307340695226,24.1,10.2%,1,100.0%
2023-12-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",23773585.990000002,28513479.25,0.02546395247313835,0.8594083137371862,23.8,2.5%,0.8337665769076569,83.4%
2023-03-01,711021,NA,23464155.92,23464155.92,0.08539025381530144,0.5843292874167462,23.5,8.5%,1,100.0%
2023-07-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",23368172.75,27211482.89,0.10264380876475128,0.48984212819884393,23.4,10.3%,0.8587614590672533,85.9%
2023-12-01,851713,Telephone sets; smartphones for cellular or other wireless networks,23367569.46,23367569.46,0.025029067065965135,0.8844373808031513,23.4,2.5%,1,100.0%
2022-05-01,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",23263331.34,23263331.34,0.5272240330466851,0.5272240330466851,23.3,52.7%,1,100.0%
2023-04-01,870323,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",22795465.42,22795465.42,0.0932825732025317,0.4518592207986959,22.8,9.3%,1,100.0%
