codes,level,eng,rus,arm,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,nrow,group,account
1,1,1. CURRENT ACCOUNT,1. Счет текущих операций,1. ԸՆԹԱՑԻԿ ՀԱՇԻՎ,-21.430000000000003,-9.909999999999997,-14.969999999999999,-21.42,-20.549999999999997,-40.99000000000001,-24.480000000000004,-17.76000000000002,-89.36799999999998,-20.979599999999976,-41.567859999999996,-68.76154700000004,-70.77140142743855,-75.40143975068341,-69.84875000000008,-106.18746180487074,-102.31099292331592,-77.88842685550458,-53.074863938445674,-102.46448126918125,-88.03134753543003,-68.21737840851856,-102.77541399345188,-157.12420396539324,-56.449789401928825,-68.2692611595318,-75.71231427568108,-112.11156801582467,-92.82598719738101,-68.78249670431325,-55.55979180103705,-84.49960683278886,-54.20386542180174,-56.4772262887314,-43.17512731527768,-67.30794526157405,-34.76987947041181,-19.71201235567935,-45.519456980212055,-47.80917678179924,-55.08219641484624,-59.50981928726145,-16.178619823880922,-42.73937758819261,-74.59404837710298,-47.79224554962377,-30.76191002373173,74.3067576962809,-69.52507225329816,-69.58126375968425,5.297112187795278,9.909469927176247,-102.35899201030509,-49.444077145193205,-57.12440817075924,55.99604287388706,-246.54644541434004,-100.75046032273417,-134.037759587673,-195.93621705326495,-393.50279202047204,-316.6390472780315,-437.5185058727884,-511.22388853678945,-328.6194521854528,-301.15481584823897,-293.11441077394693,-502.61233252268676,-387.57651867297955,-328.0905794874601,-236.93276621305995,-308.8314735577869,-380.116253789256,-321.15273419913456,-140.09681822692073,-217.50395401764285,-394.7031230177872,-328.00723576513496,-80.4911411760338,-254.73044461966606,-323.6971521879243,-178.9586495480521,-38.97225489197558,-269.9110271285763,-478.8036742723091,-198.7568918486743,-154.51588577872485,-67.71511140331154,-255.79224306363972,23.850199422733795,56.378565950064285,-105.34600500171155,-101.39174197060765,-21.68291197957842,96.59091444793671,-74.39827627164618,-43.49835981599722,75.61176458998511,70.2644566876113,-247.7073023186881,-209.59650285395333,-206.9860424642934,-191.7792384099855,-292.11349591902535,-227.84283076824818,-134.6415148439944,-64.3456817944143,-534.2650193241593,-219.24255204094857,-172.42057356317036,-115.55387164734566,1.8304699299280855,-70.48062135462624,36.99279202344724,-24.255144508358853,-425.23943209672166,-182.91629152943597,23.403599849094007,361.9931777175643,-51.486589920118604,-337.52389138537774,-306.60810078742225,-67.61946208747622,201.64791871077614,1,1. CURRENT ACCOUNT,account
1,1,1. CURRENT ACCOUNT,1. Счет текущих операций,1. ԸՆԹԱՑԻԿ ՀԱՇԻՎ,17.282149999999998,65.122825,100.87675625,54.36751875,41.74975,74.32234375,92.15925069444445,136.05433819444445,95.7614875,114.8584233993418,151.53597167525862,182.72787168018405,104.64606235499596,152.30035759425107,191.93008870665275,184.1424862916432,117.94389192633392,178.76725178813427,210.4755371643999,210.62283890909617,147.73240847650604,184.6665885241269,163.6896871290822,156.57216615030705,159.24159703839695,159.352802143009,162.2150523557596,175.07559198422416,156.53118235797865,199.72047996610002,177.96515638224474,215.2353574860668,190.1673088028973,224.61479174070809,261.4072331316888,252.83519482617254,233.13812057055833,244.1989472821075,308.4982654271869,353.136395542064,267.1506292001084,370.3008799688223,416.4604470694086,401.8553885383202,350.0391834571628,484.980668412378,541.2396075132042,688.4191275147731,467.06251401635984,588.1721921360977,704.1596593351412,792.6359877194404,497.6419812822862,702.2934495486811,807.7059356002327,1028.0928046204344,653.2141153066664,888.2000873646207,1081.129966723466,1241.481931234202,727.4676351156727,977.5845744272754,1230.108463403919,1130.2669768730475,537.4706009389477,692.0856751932996,948.5418646556041,1007.3346480969701,691.6134451344035,907.2184715125155,1180.1763744700597,1294.2578901127645,835.9307310438462,1088.051663981205,1424.8214351440004,1456.8716043739914,919.8914214668744,1134.7892784689705,1450.4599565834633,1518.2137813886475,994.6570013431267,1243.283880226054,1634.9324390871411,1662.5795203987764,1117.98470504981,1293.587078489132,1656.3862762013266,1522.4785262586047,906.3831645480982,1230.1657856566487,1431.2948559159574,1365.7103503620879,1004.4156961678084,1216.4225166606573,1550.301771489685,1529.3442045229403,1234.8976520702452,1517.0229665594538,1883.1256215216526,1856.577690609301,1482.8404697980886,1580.859189526882,1897.995885946695,1898.82816976813,1445.0999226364754,1781.634598691281,2333.158266106735,2250.702289479326,1372.743616267941,1133.5832050782108,1503.7028495696525,1593.5555890947692,1284.083043349321,1752.2908670128832,1968.9163285518139,1976.3065271955086,1766.5643381038901,2743.0124159052893,4020.829641195585,4034.459279281687,3301.125945736423,3553.9692441427064,4028.3622460114675,5294.911656607557,2,1. CURRENT ACCOUNT,Credit
1,1,1. CURRENT ACCOUNT,1. Счет текущих операций,1. ԸՆԹԱՑԻԿ ՀԱՇԻՎ,38.71215,75.032825,115.84675625,75.78751875,62.299749999999996,115.31234375000001,116.63925069444446,153.81433819444447,185.12948749999998,135.83802339934178,193.10383167525862,251.4894186801841,175.4174637824345,227.70179734493448,261.77883870665283,290.32994809651393,220.25488484964984,256.65567864363885,263.55040110284557,313.0873201782774,235.76375601193607,252.88396693264545,266.46510112253407,313.6963701157003,215.69138644032577,227.6220633025408,237.9273666314407,287.18716000004883,249.35716955535966,268.50297667041326,233.5249481832818,299.73496431885565,244.37117422469905,281.0920180294395,304.5823604469665,320.1431400877466,267.90800004097014,263.91095963778685,354.01772240739894,400.94557232386325,322.23282561495466,429.81069925608375,432.6390668932895,444.5947661265128,424.63323183426576,532.7729139620018,572.0015175369359,614.1123698184922,536.587586269658,657.7534558957819,698.8625471473459,782.7265177922642,600.0009732925913,751.7375266938743,864.8303437709919,972.0967617465474,899.7605607210064,988.9505476873549,1215.167726311139,1437.418148287467,1120.9704271361447,1294.2236217053069,1667.6269692767073,1641.490865409837,866.0900531244005,993.2404910415386,1241.656275429551,1509.9469806196569,1079.189963807383,1235.3090509999756,1417.1091406831197,1603.0893636705514,1216.0469848331022,1409.2043981803395,1564.918253370921,1674.3755583916343,1314.5945444846616,1462.7965142341054,1530.951097759497,1772.9442260083135,1318.354153531051,1422.242529774106,1673.9046939791167,1932.4905475273526,1596.788379322119,1492.3439703378062,1810.9021619800515,1590.1936376619162,1162.175407611738,1206.315586233915,1374.9162899658932,1471.0563553637994,1105.807438138416,1238.1054286402357,1453.7108570417483,1603.7424807945865,1278.3960118862424,1441.4112019694687,1812.8611648340413,2104.284992927989,1692.436972652042,1787.8452319911753,2089.7751243566804,2190.9416656871554,1672.9427534047236,1916.2761135352755,2397.5039479011493,2784.967308803485,1591.9861683088895,1306.0037786413811,1619.2567212169981,1591.725119164841,1354.5636647039473,1715.298074989436,1993.1714730601727,2401.5459592922302,1949.480629633326,2719.6088160561953,3658.8364634780205,4085.9458692018056,3638.649837121801,3860.5773449301287,4095.9817080989437,5093.263737896781,3,1. CURRENT ACCOUNT,Debit
1.1.,2,GOODS AND SERVICES,Товары и услуги,ԱՊՐԱՆՔՆԵՐ և ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐ,-28.21215,-26.762824999999992,-38.48675625,-36.09751875,-32.129749999999994,-57.512343750000014,-64.73925069444445,-59.86433819444447,-140.8841875,-66.30762339934178,-94.2486916752586,-144.19051868018408,-112.89300945987304,-124.26949384561789,-135.06853870665282,-164.63764809651389,-153.20339473647357,-156.4084682025055,-150.37925376465338,-181.50913209443493,-139.2503386873661,-142.87676404116402,-150.03219447304755,-209.4605793962674,-106.85821323863411,-118.75001643345787,-122.81789580304081,-169.13476884659897,-133.49294069362773,-133.1957849059668,-109.68141125756081,-155.40682233947842,-110.89532651405716,-123.78948868317093,-134.30845030941023,-152.26656172638994,-88.18319455482947,-96.12707925476528,-124.65024252481174,-150.50393866824558,-110.49254357311693,-149.2847797089771,-124.71243237043814,-163.43739557921413,-148.49298445564992,-162.2369381489039,-181.27767153824914,-153.17871264910224,-172.37103529281285,-192.26664340562894,-178.04823496869324,-239.9077288055476,-212.87765958535675,-238.39069099045076,-270.5324448659303,-313.4537738864324,-376.0736222975345,-387.39624809459673,-464.23142269441985,-679.1441102488188,-568.5916213450691,-704.3457623551269,-872.0546935017218,-982.4938187133397,-487.2739419847243,-493.0002736606959,-579.1564700827091,-806.851576738008,-538.464743468712,-537.2969410296557,-571.4224830548559,-679.3056786182557,-491.69010936922336,-533.0791462819718,-503.0377470928538,-647.8229849411982,-515.6531522533488,-557.1599669500579,-432.4203248145609,-708.7736197561205,-512.5550312400117,-498.63561362585415,-476.9272658859701,-831.5240580519705,-500.12922326440867,-510.022086872355,-537.5342582272856,-619.2026635639071,-329.3504344003252,-233.19758494247958,-266.5939549151867,-452.35287678937675,-153.47094684833291,-182.5905848039754,-168.6709105356058,-401.1131197157555,-159.5370752761478,-216.3178548432861,-221.50615922102998,-646.1896745403601,-318.8691156261971,-384.9152103423903,-389.71039720347835,-659.2476589929963,-329.665164956127,-317.358776049738,-320.8396787359652,-841.1201391215179,-299.068548685221,-246.50738003702543,-333.9079793612557,-384.622304940145,-173.67241122976907,-159.0607956278236,-216.0301537918117,-559.099052644553,-203.5487502456631,-91.8180367261657,153.30678756136558,-6.1421651559667225,-194.1011906283884,-228.71525603344708,60.66580296611346,213.14400555515294,4,1. CURRENT ACCOUNT,account
1.1.,2,GOODS AND SERVICES,Товары и услуги,ԱՊՐԱՆՔՆԵՐ և ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐ,10.469999999999999,48.120000000000005,75.19,39.690000000000005,28.93,56.03,50.17,93.89,41.765299999999996,64.6504,94.21514,102.98889999999999,54.374454322561455,92.26230349931657,112.6903,110.4223,54.17340867324914,81.72516992113334,91.56444102819219,107.64975418564958,85.07492629456996,96.15444344148145,91.50147497801734,86.34913647701984,94.01028589947572,90.99567743914015,98.67093794839988,102.12580534540675,92.27479693540425,121.85501970441479,110.29583104779577,129.74864952696424,118.51374510038875,138.00819598552027,149.95488742144963,155.50752978825372,163.12439996894904,158.59732084443237,198.67824789834077,227.16560216883445,190.5642692787745,253.66981274797212,282.6804524741649,254.82684042438007,212.9236758955531,282.3975211663057,283.94306908211695,338.10744897590234,284.74276375209587,351.3625115351368,420.70113578116866,402.04163501827674,294.4255894722348,398.5935904307565,444.59821245847104,509.08935087216094,369.7771477694555,471.9266648896824,568.2763505825623,558.4694890108701,390.7508074162834,488.36862584848836,580.997798189171,483.5106512896026,272.9165981821267,347.0351709922923,494.5436863380885,444.8050880965867,401.71112695622344,521.8882423138682,651.9175658268501,635.1560522880326,523.8139065643768,646.0081681594556,833.2089489900707,739.1708853589944,578.5717791585365,676.4284243331763,864.0227957173083,798.3483593344324,636.5394279677776,724.8481981415564,945.7659224460118,850.2390129409443,687.5769759553325,749.7017819488133,1001.6944327418864,881.3921592515957,612.4725360722941,780.7651060216313,930.9998738925992,813.4614235303989,720.7143707501198,814.8122918424954,1067.805866734352,961.1805674639583,874.8673410749068,980.4807198403471,1337.6805292072686,1217.383279582029,1104.8416152863565,1126.5205514779755,1403.3552068520485,1292.3099217610152,1078.7333488184051,1319.9020835942424,1747.7436284427858,1648.0464760063985,1034.1847950351166,805.2933543833477,1004.657922854308,974.0543826316388,878.4008827933569,1239.9738935372757,1435.5438601508167,1457.955016217884,1374.1036042642354,2051.889251161607,3237.1185569669938,3375.0640506551517,2832.695158574398,3023.102844175358,3515.143157062013,4759.496793297677,5,1. CURRENT ACCOUNT,Credit
1.1.,2,GOODS AND SERVICES,Товары и услуги,ԱՊՐԱՆՔՆԵՐ և ԾԱՌԱՅՈՒԹՅՈՒՆՆԵՐ,38.68215,74.882825,113.67675625,75.78751875,61.059749999999994,113.54234375000001,114.90925069444445,153.75433819444447,182.6494875,130.95802339934178,188.4638316752586,247.17941868018409,167.2674637824345,216.53179734493446,247.7588387066528,275.0599480965139,207.37680340972273,238.13363812363886,241.94369479284558,289.1588862800845,224.32526498193607,239.03120748264547,241.5336694510649,295.80971587328725,200.86849913810983,209.74569387259803,221.4888337514407,271.2605741920057,225.76773762903198,255.0508046103816,219.97724230535658,285.15547186644267,229.4090716144459,261.7976846686912,284.26333773085986,307.77409151464366,251.3075945237785,254.72440009919765,323.3284904231525,377.66954083708004,301.05681285189144,402.95459245694923,407.39288484460303,418.2642360035942,361.416660351203,444.6344593152096,465.2207406203661,491.2861616250046,457.1137990449087,543.6291549407657,598.7493707498619,641.9493638238243,507.30324905759153,636.9842814212072,715.1306573244013,822.5431247585933,745.85077006699,859.3229129842791,1032.507773276982,1237.613599259689,959.3424287613525,1192.7143882036153,1453.0524916908928,1466.0044700029423,760.190540166851,840.0354446529882,1073.7001564207976,1251.6566648345947,940.1758704249354,1059.185183343524,1223.340048881706,1314.4617309062883,1015.5040159336002,1179.0873144414275,1336.2466960829245,1386.9938703001926,1094.2249314118853,1233.5883912832342,1296.4431205318692,1507.121979090553,1149.0944592077892,1223.4838117674105,1422.693188331982,1681.763070992915,1187.7061992197412,1259.7238688211683,1539.228690969172,1500.5948228155028,941.8229704726193,1013.9626909641108,1197.593828807786,1265.8143003197756,874.1853175984527,997.4028766464708,1236.476777269958,1362.2936871797137,1034.4044163510546,1196.7985746836332,1559.1866884282986,1863.572954122389,1423.7107309125536,1511.4357618203658,1793.0656040555268,1951.5575807540115,1408.3985137745321,1637.2608596439804,2068.583307178751,2489.1666151279164,1333.2533437203376,1051.8007344203731,1338.5659022155637,1358.6766875717838,1052.073294023126,1399.0346891650993,1651.5740139426284,2017.054068862437,1577.6523545098985,2143.7072878877725,3083.811769405628,3381.2062158111185,3026.7963492027866,3251.818100208805,3454.4773540958995,4546.352787742524,6,1. CURRENT ACCOUNT,Debit
1.1.1.,3,GOODS,Товары,ԱՊՐԱՆՔՆԵՐ,-25.659999999999997,-16.689999999999998,-22.17,-33.47,-26.759999999999998,-47.10000000000001,-57.67,-46.750000000000014,-134.57,-57.4496,-81.58485999999999,-125.43484700000002,-96.495,-107.06557599999996,-117.93875000000001,-147.75350000000003,-134.449011,-135.56194,-131.50879999999998,-159.12519999999995,-124.78485699999999,-129.62546400000002,-134.14616100000006,-185.777492,-91.27246699999999,-106.58654899999998,-112.43791299999997,-151.043567,-114.93187199999998,-118.18416799999997,-99.20728,-134.613482,-79.581096,-100.345632,-116.51003500000002,-122.00906200000003,-57.310361,-68.01986000000001,-99.208492,-124.84409544000005,-88.11314650000006,-128.62092499999994,-110.41626499999995,-124.214899,-109.75706879,-116.31481109,-138.02402399999997,-126.57410953999997,-137.46432405999994,-144.12585115000005,-152.83163609999986,-200.25035000000003,-187.74001293200007,-210.402946875,-254.77583473600004,-294.0466686649999,-332.6457514,-332.57225679999993,-428.5096399999998,-623.142620725,-508.20426659999987,-628.4808432,-785.046851,-894.594592425,-434.643481,-431.68397200000015,-528.1054359999999,-695.5489720000002,-480.8452325740162,-475.3281894444011,-520.2820847949674,-589.2747016957203,-470.1179892449267,-509.18330566831116,-531.0348759839037,-599.4962777181389,-488.8617579237125,-532.5088126455704,-458.00436721564853,-632.5353785770192,-474.1855132684983,-474.37787238589993,-495.1726891271796,-752.4252984201407,-480.19453437935215,-493.736575102129,-542.8147686333083,-538.6563158622702,-309.70402581025303,-236.7319822609839,-275.5779913737207,-364.3866745008247,-181.7153220564673,-202.90373933284218,-225.4505091270678,-366.793075069197,-205.55833170688396,-263.42149025289825,-314.2019555755147,-622.0243933929689,-352.1779124871322,-415.72873888710683,-445.3669724380684,-550.1380800203614,-354.4615352574946,-344.3268365421552,-324.2441866911537,-699.0744037451745,-325.232570337115,-272.1912538023374,-362.3801544874842,-422.34949429359744,-232.4062166753581,-244.07036380229624,-380.70165405471107,-647.5908185668198,-393.24357066369726,-406.26678362515986,-435.58217006732366,-624.1481454467007,-669.3319806878928,-772.0144932835096,-659.9414512935141,-333.37425395459013,7,1. CURRENT ACCOUNT,account
1.1.1.,3,GOODS,Товары,ԱՊՐԱՆՔՆԵՐ,5.96,46.040000000000006,68.85,35.34,25.39,54.67,45.09,90.2,36.6453,57.110400000000006,86.79514,94.46889999999999,42.80985575,75.98896725,90.1803,83.0603,36.155,55.768,62.15,79.89358200000001,57.559999999999995,60.84809500000001,58.776842,55.32356,63.330166000000006,60.072378,62.37076499999999,61.121473,61.61098,87.270555,75.455928,89.422639,80.75544400000001,91.120734,90.17167599999999,107.28896599999999,127.28823600000001,116.24137,143.912481,167.11361699999998,144.63036599999998,189.47585300000003,199.06293900000003,191.817855,156.46182511,198.38328830999998,180.71743310000002,234.78953326,213.40742500000002,246.579715,284.82708900000006,283.884188,198.45070899999996,264.99857399999996,261.979715,327.541726,242.894437,302.67290499999996,318.354794,340.303083,247.48009199999998,293.68739,315.9561749999999,249.163839,136.240971,173.592537,223.290084,240.49151899999995,228.24315855624891,298.58681711258566,308.19823975637127,362.450977578491,282.50477154808397,362.5728989090711,391.5396236052153,394.9422121678085,323.21314986252173,372.3848573993604,389.7767337973225,430.3272134535767,363.69831057914746,399.61677949228607,433.8990307234182,438.6420494678686,365.5594241635614,394.63113189214766,455.4873715906747,482.47092197767586,326.9681962523432,440.74993901009503,419.1844945464808,436.9959793670696,398.50300749096306,464.9692198426752,505.73432915270246,522.8188762060641,488.2702389004317,545.0833849687319,662.444455803759,691.8092651902064,655.4117222325121,653.6903668716491,688.7236364092364,726.9034551117066,627.2607697653775,791.5283304949571,950.0489776453063,991.8784010719298,621.3389687827352,618.1864854412947,767.4505866394471,711.8724590821059,607.4658900302484,877.1260700428988,850.3155013793937,941.7172247013979,815.3362081130772,1223.097079566942,1744.8710160600544,1934.5653469255735,1623.7907108361685,1700.0746867016533,1783.7767103919878,3403.367770024962,8,1. CURRENT ACCOUNT,Credit
1.1.1.,3,GOODS,Товары,ԱՊՐԱՆՔՆԵՐ,31.619999999999997,62.730000000000004,91.02,68.81,52.15,101.77000000000001,102.76,136.95000000000002,171.21529999999998,114.56,168.38,219.903747,139.30485575,183.05454324999997,208.11905000000002,230.81380000000001,170.604011,191.32994,193.65879999999999,239.01878199999996,182.344857,190.47355900000002,192.92300300000005,241.101052,154.602633,166.65892699999998,174.80867799999996,212.16504,176.54285199999998,205.45472299999997,174.663208,224.036121,160.33654,191.466366,206.681711,229.29802800000002,184.598597,184.26123,243.12097300000002,291.95771244,232.74351250000004,318.096778,309.479204,316.032754,266.2188939,314.6980994,318.7414571,361.3636428,350.87174905999996,390.70556615000004,437.6587250999999,484.134538,386.19072193200003,475.40152087499996,516.755549736,621.5883946649999,575.5401884,635.2451617999999,746.8644339999998,963.445703725,755.6843585999999,922.1682332,1101.0030259999999,1143.758431425,570.884452,605.2765090000001,751.3955199999999,936.0404910000001,709.0883911302651,773.9150065569868,828.4803245513388,951.7256792742113,752.6227607930107,871.7562045773823,922.574499589119,994.4384898859474,812.0749077862342,904.8936700449308,847.781101012971,1062.8625920305958,837.8838238476458,873.994651878186,929.0717198505978,1191.0673478880094,845.7539585429136,888.3677069942767,998.302140223983,1021.127237839946,636.6722220625962,677.4819212710789,694.7624859202015,801.3826538678943,580.2183295474304,667.8729591755174,731.1848382797702,889.6119512752612,693.8285706073157,808.5048752216302,976.6464113792737,1313.8336585831753,1007.5896347196443,1069.419105758756,1134.0906088473048,1277.041535132068,981.7223050228721,1135.8551670371123,1274.29316433646,1690.9528048171044,946.5715391198502,890.3777392436322,1129.8307411269313,1134.2219533757034,839.8721067056065,1121.196433845195,1231.0171554341048,1589.3080432682177,1208.5797787767744,1629.363863192102,2180.453186127378,2558.7134923722742,2293.1226915240613,2472.089179985163,2443.718161685502,3736.742023979552,9,1. CURRENT ACCOUNT,Debit
1.1.1.1.,4,General merchandise on a balance of payments basis,Экспорт/импорт товаров по методологии платежного баланса,Ապրանքների առևտուրն ըստ վճարային հաշվեկշռի հիմքի,-25.659999999999997,-16.689999999999998,-22.17,-33.47,-26.759999999999998,-47.10000000000001,-57.67,-46.750000000000014,-135.79999999999998,-58.36,-82.38,-126.43000000000002,-96.58500000000001,-107.01862499999996,-117.83875,-147.7425,-134.104,-135.56194,-131.50879999999998,-158.30079999999995,-124.72569999999999,-129.5886,-134.88885000000005,-187.8368,-93.153809999999993,-107.36889999999998,-115.71949999999998,-151.69799700000002,-113.91551999999999,-118.25139999999996,-98.83235,-133.25858,-78.247114,-101.9478,-115.6939,-123.09300000000003,-60.027705,-73.337768,-103.00555000000003,-130.55793544000002,-86.98334350000005,-128.98284599999994,-103.56780499999996,-117.99731600000001,-102.31857778999998,-114.24832109000002,-128.11947599999996,-117.96662653999996,-125.90893605999995,-133.84956015000003,-142.5696650999999,-194.46982400000002,-176.74562093200007,-201.22247987500003,-237.89070473600006,-282.7368646649999,-315.01874840000005,-314.07132979999994,-393.3938929999999,-582.890419725,-474.6050115999999,-595.9602382,-736.374094,-861.6408014250001,-434.56000000000006,-438.6300000000001,-522.1099999999999,-689.3200000000002,-471.71107857401614,-475.6620414444011,-509.50636479496745,-577.3286326957202,-461.67494707492676,-512.6153565083112,-518.2149413839038,-606.302963238139,-483.92385992371254,-540.2576656455703,-459.5578132156486,-631.7022455770191,-462.9146562684983,-455.72952638589993,-463.7122011271795,-718.7283354201409,-457.2946263793522,-480.188003102129,-526.0132016333083,-528.7348358622701,-323.3945208102531,-265.79202126098386,-290.33684037372075,-380.5498105008247,-203.55453505646733,-229.3067203328422,-265.0331271270678,-390.657502069197,-227.07446570688398,-291.9780242528982,-328.65588457551473,-638.0033793929688,-374.1364754871321,-433.98376188710677,-459.8838124380685,-584.7380390203613,-403.0305032574946,-368.2333595421553,-349.7090836911535,-710.4980107451746,-356.66500533711496,-348.2716068023375,-443.2556594874842,-465.49718329359746,-235.88878767535812,-257.32374080229613,-386.9625470547111,-668.3591715668198,-414.9584236636972,-442.14164762516,-481.4202630673235,-700.3398404467009,-700.2642736878929,-774.6756972835096,-669.1079612935143,-730.4164769545898,10,1. CURRENT ACCOUNT,account
