nrow,level,codes,eng
1,1,1,1. CURRENT ACCOUNT
2,0,,Credit
3,0,,Debit
4,2,1.1.,GOODS AND SERVICES
5,0,,Credit
6,0,,Debit
7,3,1.1.1.,GOODS
8,0,,Credit
9,0,,Debit
10,4,1.1.1.1.,General merchandise on a balance of payments basis
11,0,,Credit
12,0,,Debit
13,5,1.1.1.1.1.,Of which Re-exports (credit)
14,5,1.1.1.1.2.,Net exports of goods under merchanting (credit)
15,4,1.1.1.2.,Nonmonetary gold
16,0,,Credit
17,0,,Debit
18,3,1.1.2.,SERVICES
19,0,,Credit
20,0,,Debit
21,4,1.1.2.1.,Manufacturing services on physical inputs owned by others
22,0,,Credit
23,0,,Debit
24,5,1.1.2.1.1.,"Goods for processing in reporting economy – Goods returned (CR), Goods received (DR)"
25,0,,Credit
26,0,,Debit
27,5,1.1.2.1.2.,"Goods for processing abroad - Goods sent (CR), Goods returned (DR)"
28,0,,Credit
29,0,,Debit
30,4,1.1.2.2.,Maintenance and repair services n.i.e.
31,0,,Credit
32,0,,Debit
33,4,1.1.2.3.,Transport
34,0,,Credit
35,0,,Debit
36,6,1.1.2.3.0.1.,Passenger
37,0,,Credit
38,0,,Debit
39,6,1.1.2.3.0.2.,Freight
40,0,,Credit
41,0,,Debit
42,6,1.1.2.3.0.3.,Other
43,0,,Credit
44,0,,Debit
45,5,1.1.2.3.1.,Sea transport
46,0,,Credit
47,0,,Debit
48,6,1.1.2.3.1.1.,Passenger
49,0,,Credit
50,0,,Debit
51,6,1.1.2.3.1.2.,Freight
52,0,,Credit
53,0,,Debit
54,6,1.1.2.3.1.3.,Other
55,0,,Credit
56,0,,Debit
57,5,1.1.2.3.2.,Air transport
58,0,,Credit
59,0,,Debit
60,6,1.1.2.3.2.1.,Passenger
61,0,,Credit
62,0,,Debit
63,6,1.1.2.3.2.2.,Freight
64,0,,Credit
65,0,,Debit
66,6,1.1.2.3.2.3.,Other
67,0,,Credit
68,0,,Debit
69,5,1.1.2.3.3.,Other modes of transport
70,0,,Credit
71,0,,Debit
72,6,1.1.2.3.3.1.,Passenger
73,0,,Credit
74,0,,Debit
75,6,1.1.2.3.3.2.,Freight
76,0,,Credit
77,0,,Debit
78,6,1.1.2.3.3.3.,Other
79,0,,Credit
80,0,,Debit
81,5,1.1.2.3.4.,Postal and courier services
82,0,,Credit
83,0,,Debit
84,4,1.1.2.4.,Travel
85,0,,Credit
86,0,,Debit
87,5,1.1.2.4.1.,Business
88,0,,Credit
89,0,,Debit
90,5,1.1.2.4.2.,Personal
91,0,,Credit
92,0,,Debit
93,6,1.1.2.4.2.1.,Health-related
94,0,,Credit
95,0,,Debit
96,6,1.1.2.4.2.2.,Education-related
97,0,,Credit
98,0,,Debit
99,6,1.1.2.4.2.3.,Other
100,0,,Credit
101,0,,Debit
102,4,1.1.2.5.,Construction
103,0,,Credit
104,0,,Debit
105,6,1.1.2.5.0.1.,Construction abroad
106,0,,Credit
107,0,,Debit
108,6,1.1.2.5.0.1.,Construction in the reporting economy
109,0,,Credit
110,0,,Debit
111,4,1.1.2.6.,Insurance and pension services
112,0,,Credit
113,0,,Debit
114,6,1.1.2.6.0.1.,Direct insurance
115,0,,Credit
116,0,,Debit
117,6,1.1.2.6.0.2.,Reinsurance
118,0,,Credit
119,0,,Debit
120,4,1.1.2.7.,Financial services
121,0,,Credit
122,0,,Debit
123,4,1.1.2.8.,"Telecommunications, computer, and information services"
124,0,,Credit
125,0,,Debit
126,4,1.1.2.9.,Other business services
127,0,,Credit
128,0,,Debit
129,4,1.1.2.10.,"Personal, cultural, and recreational services"
130,0,,Credit
131,0,,Debit
132,4,1.1.2.11.,Government goods and services n.i.e.
133,0,,Credit
134,0,,Debit
135,4,1.1.2.X.,Tourism-related services in travel and passenger transport
136,0,,Credit
137,0,,Debit
138,2,1.2.,PRIMARY INCOME
139,0,,Credit
140,0,,Debit
141,3,1.2.1.,Compensation of employees
142,0,,Credit
143,0,,Debit
144,3,1.2.2.,Investment income
145,0,,Credit
146,0,,Debit
147,4,1.2.2.1.,Direct investment
148,0,,Credit
149,0,,Debit
150,5,1.2.2.1.1.,Income on equity and investment fund shares
151,0,,Credit
152,0,,Debit
153,6,1.2.2.1.1.1.,Dividends and withdrawals from income of quasi-corporations
154,0,,Credit
155,0,,Debit
156,6,1.2.2.1.1.2.,Reinvested earnings
157,0,,Credit
158,0,,Debit
159,5,1.1.2.1.2.,Interest
160,0,,Credit
161,0,,Debit
162,4,1.2.2.2.,Portfolio investment
163,0,,Credit
164,0,,Debit
165,5,1.2.2.2.1.,Investment income on equity and investment fund shares
166,0,,Credit
167,0,,Debit
168,5,1.2.2.2.2.,Interest
169,0,,Credit
170,0,,Debit
171,4,1.2.2.3.,Other investment
172,0,,Credit
173,0,,Debit
174,5,1.2.2.3.1.,Withdrawals from income of quasi-corporations
175,0,,Credit
176,0,,Debit
177,5,1.2.2.3.2.,Interest
178,0,,Credit
179,0,,Debit
180,5,1.2.2.3.3.,"Investment income attributable to policyholders in insurance, pension schemes, and standardized guarantees"
181,0,,Credit
182,0,,Debit
183,5,1.2.2.3.4.,Reserve assets
184,0,,Credit
185,0,,Debit
186,5,1.2.2.3.5.,Income on equity and investment fund shares
187,0,,Credit
188,0,,Debit
189,5,1.2.2.3.6.,Interest
190,0,,Credit
191,0,,Debit
192,2,1.3.,SECONDARY INCOME
193,0,,Credit
194,0,,Debit
195,5,1.3.0.0.1.,General government
196,0,,Credit
197,0,,Debit
198,5,1.3.0.0.2.,"Financial corporations, nonfinancial corporations, households, and NPISHs"
199,0,,Credit
200,0,,Debit
201,6,1.3.0.0.2.1.,Personal transfers (Current transfers between resident and nonresident households)
202,0,,Credit
203,0,,Debit
204,6,1.3.0.0.2.2.,Other current transfers
205,0,,Credit
206,0,,Debit
207,1,2,2. CAPITAL ACCOUNT
208,0,,Credit
209,0,,Debit
210,3,2.1.,Capital transfers
211,0,,Credit
212,0,,Debit
213,5,2.1.1.,General government
214,0,,Credit
215,0,,Debit
216,5,2.1.2.,"Financial corporations, nonfinancial corporations, households, and NPISHs"
217,0,,Credit
218,0,,Debit
219,2,1.+2.,Net lending (+) / net borrowing (-) (balance from current and capital account)
220,1,3,3. FINANCIAL ACCOUNT
221,2,,Net lending (+) / net borrowing (-) (balance from financial account) (B9)
222,3,3.1.,Direct investment
223,4,3.1.1.,Net acquisition of financial assets
224,5,3.1.1.1.,Equity and investment fund shares
225,6,3.1.1.1.1.,Equity other than reinvestment of earnings
226,6,3.1.1.1.2.,Reinvestment of earnings
227,5,3.1.1.2.,Debt instruments
228,4,3.1.2.,Net incurrence of liabilities
229,5,3.1.2.1.,Equity and investment fund shares
230,6,3.1.2.1.1.,Equity other than reinvestment of earnings
231,7,3.1.2.1.1.1.,Direct investor in direct investment enterprises
232,7,3.1.2.1.1.2.,Direct investment enterprises in direct investor (reverse investment)
233,7,3.1.2.1.1.3.,Between fellow enterprises
234,6,3.1.2.1.2.,Reinvestment of earnings
235,5,3.1.2.2.,Debt instruments
236,6,3.1.2.2.1.,Direct investor in direct investment enterprises
237,6,3.1.2.2.2.,Direct investment enterprises in direct investor (reverse investment)
238,6,3.1.2.2.3.,Between fellow enterprises
239,3,3.2.,Portfolio investment
240,4,3.2.1.,Net acquisition of financial assets
241,5,3.2.1.1.,Equity and investment fund shares
242,6,3.2.1.1.1.,Central bank
243,6,3.2.1.1.2.,"Deposit-taking corporations, except central bank"
244,6,3.2.1.1.3.,General government
245,6,3.2.1.1.4.,Other sectors
246,5,3.2.1.2.,Debt securities
247,6,3.2.1.2.1.,Central bank
248,6,3.2.1.2.2.,"Deposit-taking corporations, except central bank"
249,6,3.2.1.2.3.,General government
250,6,3.2.1.2.4.,Other sectors
251,4,3.2.2.,Net incurrence of liabilities
252,5,3.2.2.1.,Equity and investment fund shares
253,6,3.2.2.1.1.,Central bank
254,6,3.2.2.1.2.,"Deposit-taking corporations, except central bank"
255,6,3.2.2.1.3.,General government
256,6,3.2.2.1.4.,Other sectors
257,5,3.2.2.2.,Debt securities
258,6,3.2.2.2.1.,Central bank
259,6,3.2.2.2.2.,"Deposit-taking corporations, except central bank"
260,6,3.2.2.2.3.,General government
261,6,3.2.2.2.4.,Other sectors
262,3,3.4.,Financial derivatives (other than reserves) and employee stock options
263,3,3.5.,Other investment
