codes,level,eng,rus,arm,nrow,group,account,date,value,value_yoy
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1993-12-31,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1994-03-31,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1994-06-30,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1994-09-30,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1994-12-31,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1995-03-31,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1995-06-30,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1995-09-30,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1995-12-31,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1996-03-31,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1996-06-30,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1996-09-30,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1996-12-31,0,0
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1997-03-31,0.3409446732491421,0.3409446732491421
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1997-06-30,0.4629267211333463,0.8038713943824884
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1997-09-30,0.49419302819218647,1.298064422574675
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1997-12-31,0.6804001856495727,1.9784646082242476
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1998-03-31,0.35459429456996006,1.9921142295450656
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1998-06-30,0.3578024414814358,1.886989949893155
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1998-09-30,0.492788978017332,1.8855858997183006
1.1.2.1.,4,Manufacturing services on physical inputs owned by others,"Услуги по обработке материальных ресурсов, принадлежащих другим сторонам",Այլ կողմերին պատկանող նյութական ռեսուրսների վերամշակման ծառայություններ,21,1. CURRENT ACCOUNT,account,1998-12-31,0.6004904770198323,1.8056761910885601
