country,year,month,export,import_origin,import_consignment,date
Afghanistan,2024,2,0,0.26,0,2024-02-01
Afghanistan,2024,3,0,0.79304,0,2024-03-01
Afghanistan,2023,1,0,0.03965,0,2023-01-01
Afghanistan,2023,3,0,0.518,0,2023-03-01
Afghanistan,2023,5,0,1.2,0,2023-05-01
Afghanistan,2023,6,0,0.40702,0,2023-06-01
Afghanistan,2023,8,0,73.83246,116.14568,2023-08-01
Afghanistan,2023,9,0,0.77629,0,2023-09-01
Afghanistan,2023,10,0,0.36034,0,2023-10-01
Afghanistan,2023,11,0,4.76465,0,2023-11-01
Afghanistan,2022,2,0,0,5.5,2022-02-01
Afghanistan,2022,4,111.8,0,0,2022-04-01
Afghanistan,2022,6,28.2225,0,0,2022-06-01
Afghanistan,2022,7,0,0,0.0225,2022-07-01
Afghanistan,2022,9,0,0.06966,11.5,2022-09-01
Afghanistan,2022,10,220.9,1.78025,0,2022-10-01
Afghanistan,2022,11,0,0.03095,0,2022-11-01
Afghanistan,2022,12,0,0.92678,0,2022-12-01
Afghanistan,2021,1,7.475,0,0,2021-01-01
Afghanistan,2021,2,8.15092,0,0,2021-02-01
Afghanistan,2021,3,0,0.52,0,2021-03-01
Afghanistan,2021,4,0,1.56112,0,2021-04-01
Afghanistan,2021,5,0,2.36702,0,2021-05-01
Afghanistan,2021,6,0,0.78,0,2021-06-01
Afghanistan,2021,7,106.125,0,0,2021-07-01
Afghanistan,2021,8,270.0385,0.52,0,2021-08-01
Afghanistan,2021,10,342.495,0,332.4,2021-10-01
Afghanistan,2021,11,115.5,0.8,0,2021-11-01
Afghanistan,2021,12,96,8.20001,0,2021-12-01
Afghanistan,2020,3,0,0.22644,0.2124,2020-03-01
Afghanistan,2020,4,333.42,0,0,2020-04-01
Afghanistan,2020,5,0,0.06821,0,2020-05-01
Afghanistan,2020,7,573.425,0,0,2020-07-01
Afghanistan,2020,8,210.6,0,0,2020-08-01
Afghanistan,2020,9,196.5631,0,0,2020-09-01
Afghanistan,2020,10,1081.773,0,0,2020-10-01
