period,commodity_code,commodity,mWh,trade_value_us
2017-01-01,2716,Electrical energy,111740.43,5440226
2017-02-01,2716,Electrical energy,89196.41,4423918
2017-03-01,2716,Electrical energy,115692.9,5770044
2017-04-01,2716,Electrical energy,114023.25,5682942
2017-05-01,2716,Electrical energy,146654.58,7293578
2017-06-01,2716,Electrical energy,134175,6659541
2017-07-01,2716,Electrical energy,154384.9,7578463
2017-08-01,2716,Electrical energy,103029,5072366
2017-09-01,2716,Electrical energy,109950.6,5445784
2017-10-01,2716,Electrical energy,68585.35,3374688
2017-11-01,2716,Electrical energy,96181.43,4668154
2017-12-01,2716,Electrical energy,196024.76,9637513.45
2018-01-01,2716,Electrical energy,235934.83,11565413
2018-02-01,2716,Electrical energy,163106.17,7987691
2018-03-01,2716,Electrical energy,102399.37,5079471
2018-04-01,2716,Electrical energy,138842.362,6953713
2018-05-01,2716,Electrical energy,149048.996,7451697
2018-06-01,2716,Electrical energy,158621.44,7803567
2018-07-01,2716,Electrical energy,110095.61,5402271
2018-08-01,2716,Electrical energy,91628.4,4442181
2018-09-01,2716,Electrical energy,97389.13,4779110
2018-10-01,2716,Electrical energy,150134.69,7288206
2018-11-01,2716,Electrical energy,146218.26,7145565.408
2018-12-01,2716,Electrical energy,83845.40000000001,4137769
2019-01-01,2716,Electrical energy,46773.6,2270634
2019-02-01,2716,Electrical energy,58839.799999999996,2871254
2019-03-01,2716,Electrical energy,78290.77,3862809
2019-04-01,2716,Electrical energy,129744.58,7859905
2019-05-01,2716,Electrical energy,158997.616,6654115.76
2019-06-01,2716,Electrical energy,168925.917,9212345.5
2019-07-01,2716,Electrical energy,102781.03,5533281
2019-08-01,2716,Electrical energy,107537.75,5769655
2019-09-01,2716,Electrical energy,131016.88,7091774
2019-10-01,2716,Electrical energy,99884.1,5468844
2019-11-01,2716,Electrical energy,46308.35,2457823
2019-12-01,2716,Electrical energy,121991.68,6516322
2020-01-01,2716,Electrical energy,96547.7,5178034
2020-02-01,2716,Electrical energy,127008.96,6874202
2020-03-01,2716,Electrical energy,95557.04,5046687
2020-04-01,2716,Electrical energy,135654.18,7440212
2020-05-01,2716,Electrical energy,154714.05,5881578
2020-06-01,2716,Electrical energy,99686.129,5472916
2020-07-01,2716,Electrical energy,120501.23,6449156
2020-08-01,2716,Electrical energy,114149.93,6140774.5
2020-09-01,2716,Electrical energy,108384.013,5822131.5
2020-10-01,2716,Electrical energy,133176.648,7107777
2020-11-01,2716,Electrical energy,84053.609,4614948
2020-12-01,2716,Electrical energy,63710.6,3340150
2021-01-01,2716,Electrical energy,67160.4,3410826
2021-02-01,2716,Electrical energy,66323.09999999999,3439176
2021-03-01,2716,Electrical energy,130287.9,6936398
2021-04-01,2716,Electrical energy,141606.09,5426101
2021-05-01,2716,Electrical energy,92917.44,5082983
2021-06-01,2716,Electrical energy,36819.13,2001910
2021-07-01,2716,Electrical energy,58039.07,3161449
2021-08-01,2716,Electrical energy,40328.7,2168524
2021-09-01,2716,Electrical energy,76594.2,4129881
2021-10-01,2716,Electrical energy,68211.5,3598531
2021-11-01,2716,Electrical energy,88577,4698553
2021-12-01,2716,Electrical energy,128356.4,6833815
2022-01-01,2716,Electrical energy,172458.8,10004851
2022-02-01,2716,Electrical energy,164965.8,10311659
2022-03-01,2716,Electrical energy,117470.8,6893395
2022-04-01,2716,Electrical energy,143957,8546635
2022-05-01,2716,Electrical energy,128328,7114506
2022-06-01,2716,Electrical energy,150568,8383599
2022-07-01,2716,Electrical energy,106042,5911863
2022-08-01,2716,Electrical energy,90988.2,5056212.496
2022-09-01,2716,Electrical energy,81856.9,4549606.947
2022-10-01,2716,Electrical energy,95332.7,5301452
2022-11-01,2716,Electrical energy,166891.5,11414431.167
2022-12-01,2716,Electrical energy,81354.7,5312644.475
2023-01-01,2716,Electrical energy,153270.1,9375243
2023-02-01,2716,Electrical energy,152180.4,9720414
2023-03-01,2716,Electrical energy,162521.1,10493893
2023-04-01,2716,Electrical energy,84368.866,4688803
2023-05-01,2716,Electrical energy,84369.4,4687561.64
2023-06-01,2716,Electrical energy,123885,6905353.91
2023-07-01,2716,Electrical energy,68409.5,3805621.3
2023-08-01,2716,Electrical energy,88774.5,4920769.7
2023-09-01,2716,Electrical energy,62678.4,3462379.3
2023-10-01,2716,Electrical energy,43641.8,241644.5
2023-11-01,2716,Electrical energy,98640.2,5479461.3
2023-12-01,2716,Electrical energy,75927,4215473.5
2024-01-01,2716,Electrical energy,96499.8,5371181.5
2024-02-01,2716,Electrical energy,121696,6750451.937
