bank_loans,sphere,month_name,year,month,date,dram,pct_dram
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հունվար,2000,1,2000-01-31,3688,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Փետրվար,2000,2,2000-02-29,4211,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Մարտ,2000,3,2000-03-31,4198,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Ապրիլ,2000,4,2000-04-30,4162,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Մայիս,2000,5,2000-05-31,4557,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հունիս,2000,6,2000-06-30,4778,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հուլիս,2000,7,2000-07-31,4926,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Օգոստոս,2000,8,2000-08-31,4883,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Սեպտեմբեր,2000,9,2000-09-30,4725,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հոկտեմբեր,2000,10,2000-10-31,4913,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Նոյեմբեր,2000,11,2000-11-30,5852,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Դեկտեմբեր,2000,12,2000-12-31,5814,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հունվար,2001,1,2001-01-31,6477,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Փետրվար,2001,2,2001-02-28,6437,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Մարտ,2001,3,2001-03-31,6923,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Ապրիլ,2001,4,2001-04-30,6498,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Մայիս,2001,5,2001-05-31,6490,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հունիս,2001,6,2001-06-30,6668,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հուլիս,2001,7,2001-07-31,5941,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Օգոստոս,2001,8,2001-08-31,6061,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Սեպտեմբեր,2001,9,2001-09-30,6559,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հոկտեմբեր,2001,10,2001-10-31,6402,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Նոյեմբեր,2001,11,2001-11-30,6039,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Դեկտեմբեր,2001,12,2001-12-31,5134,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հունվար,2002,1,2002-01-31,5119,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Փետրվար,2002,2,2002-02-28,5117,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Մարտ,2002,3,2002-03-31,5129,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Ապրիլ,2002,4,2002-04-30,5037,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Մայիս,2002,5,2002-05-31,5253,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հունիս,2002,6,2002-06-30,4943,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հուլիս,2002,7,2002-07-31,6213,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Օգոստոս,2002,8,2002-08-31,6232,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Սեպտեմբեր,2002,9,2002-09-30,9109,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հոկտեմբեր,2002,10,2002-10-31,9221.299,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Նոյեմբեր,2002,11,2002-11-30,9437.932,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Դեկտեմբեր,2002,12,2002-12-31,8266,NA
ՀՀ դրամով վարկեր,Արդյունաբերություն,Հունվար,2003,1,2003-01-31,8103,NA
