month,year,date,FX,indicator,value
7,2011,2011-07-01,Դրամ,"Ռեզիդենտներին տրված վարկեր, ավանդներ, ֆակտորինգ, լիզինգ, ռեպո համաձայնագրեր ըստ ճյուղերի, այդ թվում`",471067176.2519999
7,2011,2011-07-01,Դրամ,"A. Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն,այդ թվում`",15979112.304000001
7,2011,2011-07-01,Դրամ,(01.1/3) բուսաբուծություն,5672083.920000001
7,2011,2011-07-01,Դրամ,(01.4)    անասնապահություն,9451740.726999998
7,2011,2011-07-01,Դրամ,(02)        անտառային տնտեսություն և փայտամթերումներ,15914
7,2011,2011-07-01,Դրամ,(03)        ձկնորսություն և ձկնաբուծություն,750661
7,2011,2011-07-01,Դրամ,"B. Հանքագործական արդյունաբերություն և բացահանքերի շահագործում,այդ թվում`",4898903.068
7,2011,2011-07-01,Դրամ,(07)           մետաղական հանքաքարի արդյունահանում,960297.1879999998
7,2011,2011-07-01,Դրամ,(08.1-12)  շինանյութի արդյունահանում,1598852.8800000001
7,2011,2011-07-01,Դրամ,"C. Մշակող արդյունաբերություն,այդ թվում`",36851605.048
7,2011,2011-07-01,Դրամ,(10)          սննդի արդյունաբերություն,16639175.526
7,2011,2011-07-01,Դրամ,(10.1)     մսի մշակում և պահածոյացում,2231415.801
7,2011,2011-07-01,Դրամ,(10.3 )     մրգերի և բանջարեղենի մշակում և պահածոյացում,2922551.983
7,2011,2011-07-01,Դրամ,(10.5)     կաթնամթերքի արտադրություն,1608049.5420000001
7,2011,2011-07-01,Դրամ,(10.7)    հացի և ալյուրե հրուշակեղենի արտադրություն,2753453.1359999995
7,2011,2011-07-01,Դրամ,(11)          խմիչքների արդյունաբերություն,5742955.691000001
7,2011,2011-07-01,Դրամ,(12)          ծխախոտի արդյունաբերություն,18752
7,2011,2011-07-01,Դրամ,(13+14)    մանածագործական արտադրատեսակների և հագուստի արտադրություն,433211.6879999999
7,2011,2011-07-01,Դրամ,(15)           կաշվե արտադրատեսակների արտադրություն,278529.134
7,2011,2011-07-01,Դրամ,"(16+17)   փայտանյութի, թղթի, փայտե և թղթե արտադրատեսակների արտադրություն (բացի կահույքից)",707726.371
7,2011,2011-07-01,Դրամ,(18)         պոլիգրաֆիական գործունեություն,1087100.996
7,2011,2011-07-01,Դրամ,(20)         քիմիական նյութերի արտադրություն,169873.155
7,2011,2011-07-01,Դրամ,(21)         դեղագործական արտադրատեսակների արտադրություն,64293.48200000001
7,2011,2011-07-01,Դրամ,(22)         ռետինե և պլաստմասսայե արտադրատեսակների արտադրություն,1205115
7,2011,2011-07-01,Դրամ,(23)         ոչ մետաղական արտադրատեսակների արտադրություն,3179705.006
7,2011,2011-07-01,Դրամ,(24)         հիմնային մետաղների արտադրություն,185
7,2011,2011-07-01,Դրամ,"(25)    մետաղե պատրաստի արտադրատեսակների արտադրություն,բացի մեքենաներից և սարքավորումներից",2234677.244
7,2011,2011-07-01,Դրամ,"(26+27)   համակարգիչների, էլեկտրոնային, օպտիկական և էլեկտրական սարքավորումների արտադրություն",296643.7629999999
7,2011,2011-07-01,Դրամ,(31)        կահույքի արտադրություն,943137.71
7,2011,2011-07-01,Դրամ,(33)       մեքենաների և սարքավորումների նորոգում և տեղակայում,248847
7,2011,2011-07-01,Դրամ,"D. Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում,այդ թվում",13770806.355000002
