"date","year","month","indicator","value","indicator_arm"
"2003-01-31",2003,1,"NET INTERNATIONAL RESERVES 1",132878.88027922335,"Զուտ միջազգային պահուստներ"
"2003-02-28",2003,2,"NET INTERNATIONAL RESERVES 1",125198.66069359788,"Զուտ միջազգային պահուստներ"
"2003-03-31",2003,3,"NET INTERNATIONAL RESERVES 1",117276.14319695288,"Զուտ միջազգային պահուստներ"
"2003-04-30",2003,4,"NET INTERNATIONAL RESERVES 1",132051.13667001133,"Զուտ միջազգային պահուստներ"
"2003-05-31",2003,5,"NET INTERNATIONAL RESERVES 1",136217.90968502298,"Զուտ միջազգային պահուստներ"
"2003-06-30",2003,6,"NET INTERNATIONAL RESERVES 1",130611.544000164,"Զուտ միջազգային պահուստներ"
"2003-07-31",2003,7,"NET INTERNATIONAL RESERVES 1",135197.793951699,"Զուտ միջազգային պահուստներ"
"2003-08-31",2003,8,"NET INTERNATIONAL RESERVES 1",141432.5887552723,"Զուտ միջազգային պահուստներ"
"2003-09-30",2003,9,"NET INTERNATIONAL RESERVES 1",139928.4837585899,"Զուտ միջազգային պահուստներ"
"2003-10-31",2003,10,"NET INTERNATIONAL RESERVES 1",134008,"Զուտ միջազգային պահուստներ"
"2003-11-30",2003,11,"NET INTERNATIONAL RESERVES 1",137251.78451334758,"Զուտ միջազգային պահուստներ"
"2003-12-31",2003,12,"NET INTERNATIONAL RESERVES 1",154103.033977532,"Զուտ միջազգային պահուստներ"
"2004-01-31",2004,1,"NET INTERNATIONAL RESERVES 1",152732.55743276002,"Զուտ միջազգային պահուստներ"
"2004-02-29",2004,2,"NET INTERNATIONAL RESERVES 1",149441.1614822586,"Զուտ միջազգային պահուստներ"
"2004-03-31",2004,3,"NET INTERNATIONAL RESERVES 1",144763.562711492,"Զուտ միջազգային պահուստներ"
"2004-04-30",2004,4,"NET INTERNATIONAL RESERVES 1",136371.5022980698,"Զուտ միջազգային պահուստներ"
"2004-05-31",2004,5,"NET INTERNATIONAL RESERVES 1",131099.891812946,"Զուտ միջազգային պահուստներ"
"2004-06-30",2004,6,"NET INTERNATIONAL RESERVES 1",132825.83152351022,"Զուտ միջազգային պահուստներ"
"2004-07-31",2004,7,"NET INTERNATIONAL RESERVES 1",134038.7201211436,"Զուտ միջազգային պահուստներ"
"2004-08-31",2004,8,"NET INTERNATIONAL RESERVES 1",132117.573970234,"Զուտ միջազգային պահուստներ"
"2004-09-30",2004,9,"NET INTERNATIONAL RESERVES 1",131375.4035697476,"Զուտ միջազգային պահուստներ"
"2004-10-31",2004,10,"NET INTERNATIONAL RESERVES 1",133014.9487929336,"Զուտ միջազգային պահուստներ"
"2004-11-30",2004,11,"NET INTERNATIONAL RESERVES 1",137844.475953214,"Զուտ միջազգային պահուստներ"
"2004-12-31",2004,12,"NET INTERNATIONAL RESERVES 1",148897.9748255912,"Զուտ միջազգային պահուստներ"
"2005-01-31",2005,1,"NET INTERNATIONAL RESERVES 1",156435.34295560938,"Զուտ միջազգային պահուստներ"
"2005-02-28",2005,2,"NET INTERNATIONAL RESERVES 1",159634.54830415262,"Զուտ միջազգային պահուստներ"
"2005-03-31",2005,3,"NET INTERNATIONAL RESERVES 1",160630.49252867638,"Զուտ միջազգային պահուստներ"
"2005-04-30",2005,4,"NET INTERNATIONAL RESERVES 1",162407.195630961,"Զուտ միջազգային պահուստներ"
"2005-05-31",2005,5,"NET INTERNATIONAL RESERVES 1",165377.8802190554,"Զուտ միջազգային պահուստներ"
"2005-06-30",2005,6,"NET INTERNATIONAL RESERVES 1",180524.9919425162,"Զուտ միջազգային պահուստներ"
"2005-07-31",2005,7,"NET INTERNATIONAL RESERVES 1",195474.60803068383,"Զուտ միջազգային պահուստներ"
"2005-08-31",2005,8,"NET INTERNATIONAL RESERVES 1",219329.4958095912,"Զուտ միջազգային պահուստներ"
"2005-09-30",2005,9,"NET INTERNATIONAL RESERVES 1",202569.714426848,"Զուտ միջազգային պահուստներ"
"2005-10-31",2005,10,"NET INTERNATIONAL RESERVES 1",204998.73801711842,"Զուտ միջազգային պահուստներ"
"2005-11-30",2005,11,"NET INTERNATIONAL RESERVES 1",200101.844854324,"Զուտ միջազգային պահուստներ"
"2005-12-31",2005,12,"NET INTERNATIONAL RESERVES 1",212564.4620470882,"Զուտ միջազգային պահուստներ"
"2006-01-31",2006,1,"NET INTERNATIONAL RESERVES 1",216652.8571453832,"Զուտ միջազգային պահուստներ"
"2006-02-28",2006,2,"NET INTERNATIONAL RESERVES 1",213365.8393952234,"Զուտ միջազգային պահուստներ"
"2006-03-31",2006,3,"NET INTERNATIONAL RESERVES 1",215570.66169329057,"Զուտ միջազգային պահուստներ"
"2006-04-30",2006,4,"NET INTERNATIONAL RESERVES 1",217446.01150983322,"Զուտ միջազգային պահուստներ"
"2006-05-31",2006,5,"NET INTERNATIONAL RESERVES 1",232528.0833814948,"Զուտ միջազգային պահուստներ"
"2006-06-30",2006,6,"NET INTERNATIONAL RESERVES 1",237931.8669223472,"Զուտ միջազգային պահուստներ"
"2006-07-31",2006,7,"NET INTERNATIONAL RESERVES 1",221237.6209991866,"Զուտ միջազգային պահուստներ"
"2006-08-31",2006,8,"NET INTERNATIONAL RESERVES 1",223600.5145354462,"Զուտ միջազգային պահուստներ"
"2006-09-30",2006,9,"NET INTERNATIONAL RESERVES 1",238489.20671230802,"Զուտ միջազգային պահուստներ"
"2006-10-31",2006,10,"NET INTERNATIONAL RESERVES 1",262721.17936956696,"Զուտ միջազգային պահուստներ"
"2006-11-30",2006,11,"NET INTERNATIONAL RESERVES 1",271790.54089349706,"Զուտ միջազգային պահուստներ"
"2006-12-31",2006,12,"NET INTERNATIONAL RESERVES 1",321862.63707049,"Զուտ միջազգային պահուստներ"
"2007-01-31",2007,1,"NET INTERNATIONAL RESERVES 1",315680.5788452872,"Զուտ միջազգային պահուստներ"
"2007-02-28",2007,2,"NET INTERNATIONAL RESERVES 1",318814.036792432,"Զուտ միջազգային պահուստներ"
"2007-03-31",2007,3,"NET INTERNATIONAL RESERVES 1",317816.176413312,"Զուտ միջազգային պահուստներ"
"2007-04-30",2007,4,"NET INTERNATIONAL RESERVES 1",334208.0520727279,"Զուտ միջազգային պահուստներ"
"2007-05-31",2007,5,"NET INTERNATIONAL RESERVES 1",332533.409920056,"Զուտ միջազգային պահուստներ"
"2007-06-30",2007,6,"NET INTERNATIONAL RESERVES 1",352794.63615367305,"Զուտ միջազգային պահուստներ"
"2007-07-31",2007,7,"NET INTERNATIONAL RESERVES 1",366390.2,"Զուտ միջազգային պահուստներ"
"2007-08-31",2007,8,"NET INTERNATIONAL RESERVES 1",374521.56239025894,"Զուտ միջազգային պահուստներ"
"2007-09-30",2007,9,"NET INTERNATIONAL RESERVES 1",384516.561910664,"Զուտ միջազգային պահուստներ"
"2007-10-31",2007,10,"NET INTERNATIONAL RESERVES 1",385752.026761583,"Զուտ միջազգային պահուստներ"
"2007-11-30",2007,11,"NET INTERNATIONAL RESERVES 1",422867.07,"Զուտ միջազգային պահուստներ"
"2007-12-31",2007,12,"NET INTERNATIONAL RESERVES 1",445948.661533896,"Զուտ միջազգային պահուստներ"
"2008-01-31",2008,1,"NET INTERNATIONAL RESERVES 1",439441.105385319,"Զուտ միջազգային պահուստներ"
"2008-02-29",2008,2,"NET INTERNATIONAL RESERVES 1",438956.888896384,"Զուտ միջազգային պահուստներ"
"2008-03-31",2008,3,"NET INTERNATIONAL RESERVES 1",431828.404490789,"Զուտ միջազգային պահուստներ"
"2008-04-30",2008,4,"NET INTERNATIONAL RESERVES 1",430471.87091681996,"Զուտ միջազգային պահուստներ"
