date,year,FX_ISO,AMD
2000-01-01,2000,USD,553.13
2000-01-02,2000,USD,552.04
2000-01-03,2000,USD,523.7700000000001
2000-01-04,2000,USD,523.7700000000001
2000-01-05,2000,USD,528.13
2000-01-06,2000,USD,555.93
2000-01-07,2000,USD,528.13
2000-01-08,2000,USD,555.48
2000-01-09,2000,USD,560.53
2000-01-10,2000,USD,528.13
2000-01-11,2000,USD,525.48
2000-01-12,2000,USD,525.48
2000-01-13,2000,USD,525.48
2000-01-14,2000,USD,525.7
2000-01-15,2000,USD,555.62
2000-01-16,2000,USD,555.69
2000-01-17,2000,USD,525.7
2000-01-18,2000,USD,524.55
2000-01-19,2000,USD,524.55
2000-01-20,2000,USD,524.55
2000-01-21,2000,USD,524.55
2000-01-22,2000,USD,555.08
2000-01-23,2000,USD,555.37
2000-01-24,2000,USD,528.93
2000-01-25,2000,USD,528.93
2000-01-26,2000,USD,528.93
2000-01-27,2000,USD,530.92
2000-01-28,2000,USD,529.02
2000-01-29,2000,USD,550.52
2000-01-30,2000,USD,552.1800000000001
2000-01-31,2000,USD,529.02
2000-02-01,2000,USD,528.4499999999999
2000-02-02,2000,USD,528.4499999999999
2000-02-03,2000,USD,528.4499999999999
2000-02-04,2000,USD,528.4499999999999
2000-02-05,2000,USD,528.4499999999999
2000-02-06,2000,USD,528.4499999999999
2000-02-07,2000,USD,528.19
2000-02-08,2000,USD,527.4399999999999
2000-02-09,2000,USD,527.16
2000-02-10,2000,USD,526.6700000000001
2000-02-11,2000,USD,527.14
2000-02-12,2000,USD,527.14
2000-02-13,2000,USD,527.14
2000-02-14,2000,USD,527.14
2000-02-15,2000,USD,527.14
2000-02-16,2000,USD,527.14
2000-02-17,2000,USD,527.7800000000001
2000-02-18,2000,USD,527.7800000000001
2000-02-19,2000,USD,527.7800000000001
2000-02-20,2000,USD,527.7800000000001
2000-02-21,2000,USD,527.7800000000001
2000-02-22,2000,USD,528.09
2000-02-23,2000,USD,528.09
2000-02-24,2000,USD,528.38
2000-02-25,2000,USD,528.7800000000001
2000-02-26,2000,USD,528.7800000000001
2000-02-27,2000,USD,528.7800000000001
2000-02-28,2000,USD,528.7800000000001
2000-02-29,2000,USD,527.8399999999999
2000-03-01,2000,USD,527.56
2000-03-02,2000,USD,527.13
2000-03-03,2000,USD,526.73
2000-03-04,2000,USD,526.73
2000-03-05,2000,USD,526.73
2000-03-06,2000,USD,525.52
2000-03-07,2000,USD,525.52
2000-03-08,2000,USD,525.52
2000-03-09,2000,USD,526.09
2000-03-10,2000,USD,527.53
2000-03-11,2000,USD,527.53
2000-03-12,2000,USD,527.53
2000-03-13,2000,USD,527.53
2000-03-14,2000,USD,527.93
2000-03-15,2000,USD,527.93
2000-03-16,2000,USD,528.63
2000-03-17,2000,USD,528.63
2000-03-18,2000,USD,528.63
2000-03-19,2000,USD,528.63
2000-03-20,2000,USD,528.63
2000-03-21,2000,USD,528.11
2000-03-22,2000,USD,528.11
2000-03-23,2000,USD,528.11
2000-03-24,2000,USD,527.88
2000-03-25,2000,USD,527.88
2000-03-26,2000,USD,527.88
2000-03-27,2000,USD,527.88
2000-03-28,2000,USD,527.97
2000-03-29,2000,USD,527.61
2000-03-30,2000,USD,527.61
2000-03-31,2000,USD,527.61
2000-04-01,2000,USD,527.61
2000-04-02,2000,USD,527.61
2000-04-03,2000,USD,527.61
2000-04-04,2000,USD,528.3399999999999
2000-04-05,2000,USD,529.4499999999999
2000-04-06,2000,USD,529.4499999999999
2000-04-07,2000,USD,529.4499999999999
2000-04-08,2000,USD,529.4499999999999
2000-04-09,2000,USD,529.4499999999999
2000-04-10,2000,USD,529.4499999999999
2000-04-11,2000,USD,530.47
2000-04-12,2000,USD,531.3599999999999
2000-04-13,2000,USD,531.3599999999999
2000-04-14,2000,USD,532.5
2000-04-15,2000,USD,532.5
2000-04-16,2000,USD,532.5
2000-04-17,2000,USD,532.5
2000-04-18,2000,USD,532.4
2000-04-19,2000,USD,532.4
2000-04-20,2000,USD,532.3499999999999
2000-04-21,2000,USD,532.15
2000-04-22,2000,USD,532.15
2000-04-23,2000,USD,532.15
2000-04-24,2000,USD,532.15
2000-04-25,2000,USD,531.8499999999999
2000-04-26,2000,USD,531.04
2000-04-27,2000,USD,530.72
2000-04-28,2000,USD,530.72
2000-04-29,2000,USD,530.72
2000-04-30,2000,USD,530.72
2000-05-01,2000,USD,530.72
2000-05-02,2000,USD,530.53
2000-05-03,2000,USD,530.53
2000-05-04,2000,USD,531.1
2000-05-05,2000,USD,531.1
2000-05-06,2000,USD,531.3299999999999
2000-05-07,2000,USD,531.3299999999999
2000-05-08,2000,USD,531.3299999999999
2000-05-09,2000,USD,531.3299999999999
2000-05-10,2000,USD,532.25
2000-05-11,2000,USD,533.74
2000-05-12,2000,USD,534.61
2000-05-13,2000,USD,534.61
2000-05-14,2000,USD,534.61
2000-05-15,2000,USD,534.53
2000-05-16,2000,USD,534.69
2000-05-17,2000,USD,534.59
2000-05-18,2000,USD,535.98
2000-05-19,2000,USD,536.11
2000-05-20,2000,USD,536.11
2000-05-21,2000,USD,536.11
2000-05-22,2000,USD,536.3299999999999
2000-05-23,2000,USD,536.3299999999999
2000-05-24,2000,USD,535.91
2000-05-25,2000,USD,535.75
2000-05-26,2000,USD,535.75
2000-05-27,2000,USD,535.75
2000-05-28,2000,USD,535.75
2000-05-29,2000,USD,536.05
2000-05-30,2000,USD,536.55
2000-05-31,2000,USD,536.55
2000-06-01,2000,USD,536.62
2000-06-02,2000,USD,537.4399999999999
2000-06-03,2000,USD,537.4399999999999
2000-06-04,2000,USD,537.4399999999999
2000-06-05,2000,USD,537.7900000000001
2000-06-06,2000,USD,538.74
2000-06-07,2000,USD,540.22
2000-06-08,2000,USD,540.47
2000-06-09,2000,USD,541.39
2000-06-10,2000,USD,541.39
2000-06-11,2000,USD,541.39
2000-06-12,2000,USD,541.39
2000-06-13,2000,USD,542.4399999999999
2000-06-14,2000,USD,543.9399999999999
2000-06-15,2000,USD,545.1
2000-06-16,2000,USD,545.6
2000-06-17,2000,USD,545.6
2000-06-18,2000,USD,545.6
2000-06-19,2000,USD,545.6
2000-06-20,2000,USD,546.1
2000-06-21,2000,USD,547.15
2000-06-22,2000,USD,547.15
2000-06-23,2000,USD,547.15
2000-06-24,2000,USD,547.15
2000-06-25,2000,USD,547.15
2000-06-26,2000,USD,546.98
2000-06-27,2000,USD,546.98
2000-06-28,2000,USD,547.12
2000-06-29,2000,USD,547.12
2000-06-30,2000,USD,547.89
2000-07-01,2000,USD,547.89
2000-07-02,2000,USD,547.89
2000-07-03,2000,USD,547.93
2000-07-04,2000,USD,548.53
2000-07-05,2000,USD,548.53
2000-07-06,2000,USD,548.53
2000-07-07,2000,USD,548.53
2000-07-08,2000,USD,548.53
2000-07-09,2000,USD,548.53
2000-07-10,2000,USD,548.03
2000-07-11,2000,USD,548.03
2000-07-12,2000,USD,548.23
2000-07-13,2000,USD,548.23
2000-07-14,2000,USD,548.39
2000-07-15,2000,USD,548.39
2000-07-16,2000,USD,548.39
2000-07-17,2000,USD,548.6
2000-07-18,2000,USD,548.25
2000-07-19,2000,USD,548.02
2000-07-20,2000,USD,548.53
2000-07-21,2000,USD,548.53
2000-07-22,2000,USD,548.53
2000-07-23,2000,USD,548.53
2000-07-24,2000,USD,548.53
2000-07-25,2000,USD,548.25
2000-07-26,2000,USD,548.25
2000-07-27,2000,USD,547.55
2000-07-28,2000,USD,547.55
2000-07-29,2000,USD,547.55
2000-07-30,2000,USD,547.55
2000-07-31,2000,USD,545.75
2000-08-01,2000,USD,545
2000-08-02,2000,USD,543.8499999999999
2000-08-03,2000,USD,543.8499999999999
2000-08-04,2000,USD,542.53
2000-08-05,2000,USD,542.53
