"date","year","month","unit_FX","indicator","code","value"
"2016-12-31",2016,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2875.6173311957778
"2017-01-31",2017,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2903.1285838390368
"2017-02-28",2017,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2901.325879830127
"2017-03-31",2017,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2902.0015481851715
"2017-04-30",2017,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2926.823247714142
"2017-05-31",2017,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2935.9672641795764
"2017-06-30",2017,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2951.8666086346293
"2017-07-31",2017,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2968.43708701922
"2017-08-31",2017,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2994.321774686642
"2017-09-30",2017,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3017.8041037594226
"2017-10-31",2017,10,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3037.257646853851
"2017-11-30",2017,11,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3114.5359309349296
"2017-12-31",2017,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3279.5846443747378
"2018-01-31",2018,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3315.445106981195
"2018-02-28",2018,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3295.3635202567625
"2018-03-31",2018,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3306.2411592635517
"2018-04-30",2018,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3319.181583680126
"2018-05-31",2018,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3261.125602429805
"2018-06-30",2018,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3232.9112874584835
"2018-07-31",2018,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3249.7378307319623
"2018-08-31",2018,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3264.5261943499845
"2018-09-30",2018,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3253.7454801863946
"2018-10-31",2018,10,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3267.6981912609267
"2018-11-30",2018,11,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3281.733956287
"2018-12-31",2018,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3348.596690667799
"2019-01-31",2019,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3380.9650071863316
"2019-02-28",2019,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3397.6791927888594
"2019-03-31",2019,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3372.675102166727
"2019-04-30",2019,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3320.045079980022
"2019-05-31",2019,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3325.2844433482387
"2019-06-30",2019,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3303.637400953732
"2019-07-31",2019,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3318.8729750952525
"2019-08-31",2019,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3319.8312286531536
"2019-09-30",2019,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3355.8469146147595
