country,indicator,date,value,periodicity
united-states,inflation-cpi,2010-05-01,3.6,monthly
united-states,inflation-cpi,2010-06-01,3.6,monthly
united-states,inflation-cpi,2010-07-01,3.6,monthly
united-states,inflation-cpi,2010-08-01,3.8,monthly
united-states,inflation-cpi,2010-09-01,3.9,monthly
united-states,inflation-cpi,2010-10-01,3.5,monthly
united-states,inflation-cpi,2010-11-01,3.4,monthly
united-states,inflation-cpi,2010-12-01,3,monthly
united-states,inflation-cpi,2011-01-01,2.9,monthly
united-states,inflation-cpi,2011-02-01,2.9,monthly
united-states,inflation-cpi,2011-03-01,2.7,monthly
united-states,inflation-cpi,2011-05-01,2.1,monthly
united-states,inflation-cpi,2011-06-01,2.1,monthly
united-states,inflation-cpi,2011-07-01,2,monthly
united-states,inflation-cpi,2011-08-01,1.7,monthly
united-states,inflation-cpi,2011-09-01,1.7,monthly
united-states,inflation-cpi,2011-10-01,1.7,monthly
united-states,inflation-cpi,2011-11-01,1.3,monthly
united-states,inflation-cpi,2011-12-01,0.8,monthly
united-states,inflation-cpi,2012-01-01,-0.1,monthly
united-states,inflation-cpi,2012-02-01,0,monthly
united-states,inflation-cpi,2012-03-01,-0.1,monthly
united-states,inflation-cpi,2012-04-01,-0.2,monthly
united-states,inflation-cpi,2012-05-01,2.1,monthly
united-states,inflation-cpi,2012-06-01,2.1,monthly
united-states,inflation-cpi,2012-07-01,2,monthly
united-states,inflation-cpi,2012-08-01,1.7,monthly
united-states,inflation-cpi,2012-09-01,1.7,monthly
united-states,inflation-cpi,2012-10-01,1.7,monthly
united-states,inflation-cpi,2012-11-01,1.3,monthly
united-states,inflation-cpi,2012-12-01,0.8,monthly
united-states,inflation-cpi,2013-01-01,-0.1,monthly
united-states,inflation-cpi,2013-02-01,0,monthly
united-states,inflation-cpi,2013-03-01,-0.1,monthly
united-states,inflation-cpi,2013-04-01,-0.2,monthly
united-states,inflation-cpi,2013-05-01,2.1,monthly
united-states,inflation-cpi,2013-06-01,2.1,monthly
united-states,inflation-cpi,2013-07-01,2,monthly
united-states,inflation-cpi,2013-08-01,1.7,monthly
united-states,inflation-cpi,2013-09-01,1.7,monthly
united-states,inflation-cpi,2013-10-01,1.7,monthly
united-states,inflation-cpi,2013-11-01,1.3,monthly
united-states,inflation-cpi,2013-12-01,0.8,monthly
united-states,inflation-cpi,2014-01-01,-0.1,monthly
united-states,inflation-cpi,2014-02-01,0,monthly
united-states,inflation-cpi,2014-03-01,-0.1,monthly
united-states,inflation-cpi,2014-04-01,-0.2,monthly
united-states,inflation-cpi,2014-05-01,0,monthly
united-states,inflation-cpi,2014-06-01,0.1,monthly
united-states,inflation-cpi,2014-07-01,0.2,monthly
united-states,inflation-cpi,2014-08-01,0.2,monthly
united-states,inflation-cpi,2014-09-01,0,monthly
united-states,inflation-cpi,2014-10-01,0.2,monthly
united-states,inflation-cpi,2014-11-01,0.5,monthly
united-states,inflation-cpi,2014-12-01,0.7,monthly
united-states,inflation-cpi,2015-01-01,1.4,monthly
united-states,inflation-cpi,2015-02-01,1,monthly
united-states,inflation-cpi,2015-03-01,0.9,monthly
united-states,inflation-cpi,2015-04-01,1.1,monthly
united-states,inflation-cpi,2015-05-01,0,monthly
united-states,inflation-cpi,2015-06-01,0.1,monthly
united-states,inflation-cpi,2015-07-01,0.2,monthly
united-states,inflation-cpi,2015-08-01,0.2,monthly
united-states,inflation-cpi,2015-09-01,0,monthly
united-states,inflation-cpi,2015-10-01,0.2,monthly
united-states,inflation-cpi,2015-11-01,0.5,monthly
united-states,inflation-cpi,2015-12-01,0.7,monthly
united-states,inflation-cpi,2016-01-01,1.4,monthly
united-states,inflation-cpi,2016-02-01,1,monthly
united-states,inflation-cpi,2016-03-01,0.9,monthly
united-states,inflation-cpi,2016-04-01,1.1,monthly
united-states,inflation-cpi,2016-05-01,2.8,monthly
united-states,inflation-cpi,2016-06-01,2.9,monthly
united-states,inflation-cpi,2016-07-01,2.9,monthly
united-states,inflation-cpi,2016-08-01,2.7,monthly
united-states,inflation-cpi,2016-09-01,2.3,monthly
united-states,inflation-cpi,2016-10-01,2.5,monthly
united-states,inflation-cpi,2016-11-01,2.2,monthly
united-states,inflation-cpi,2016-12-01,1.9,monthly
united-states,inflation-cpi,2017-01-01,1.6,monthly
united-states,inflation-cpi,2017-02-01,1.5,monthly
united-states,inflation-cpi,2017-03-01,1.9,monthly
united-states,inflation-cpi,2017-04-01,2,monthly
united-states,inflation-cpi,2017-05-01,2.8,monthly
united-states,inflation-cpi,2017-06-01,2.9,monthly
united-states,inflation-cpi,2017-07-01,2.9,monthly
united-states,inflation-cpi,2017-08-01,2.7,monthly
united-states,inflation-cpi,2017-09-01,2.3,monthly
united-states,inflation-cpi,2017-10-01,2.5,monthly
united-states,inflation-cpi,2017-11-01,2.2,monthly
united-states,inflation-cpi,2017-12-01,1.9,monthly
united-states,inflation-cpi,2018-01-01,1.6,monthly
united-states,inflation-cpi,2018-02-01,1.5,monthly
united-states,inflation-cpi,2018-03-01,1.9,monthly
united-states,inflation-cpi,2018-04-01,2,monthly
united-states,inflation-cpi,2018-05-01,0.1,monthly
united-states,inflation-cpi,2018-06-01,0.6,monthly
united-states,inflation-cpi,2018-07-01,1,monthly
united-states,inflation-cpi,2018-08-01,1.3,monthly
united-states,inflation-cpi,2018-09-01,1.4,monthly
united-states,inflation-cpi,2018-10-01,1.2,monthly
united-states,inflation-cpi,2018-11-01,1.2,monthly
united-states,inflation-cpi,2018-12-01,1.4,monthly
united-states,inflation-cpi,2019-01-01,1.4,monthly
united-states,inflation-cpi,2019-02-01,1.7,monthly
united-states,inflation-cpi,2019-03-01,2.6,monthly
united-states,inflation-cpi,2019-04-01,4.2,monthly
united-states,inflation-cpi,2019-05-01,0.1,monthly
united-states,inflation-cpi,2019-06-01,0.6,monthly
united-states,inflation-cpi,2019-07-01,1,monthly
united-states,inflation-cpi,2019-08-01,1.3,monthly
united-states,inflation-cpi,2019-09-01,1.4,monthly
united-states,inflation-cpi,2019-10-01,1.2,monthly
united-states,inflation-cpi,2019-11-01,1.2,monthly
united-states,inflation-cpi,2019-12-01,1.4,monthly
united-states,inflation-cpi,2020-01-01,1.4,monthly
united-states,inflation-cpi,2020-02-01,1.7,monthly
united-states,inflation-cpi,2020-03-01,2.6,monthly
united-states,inflation-cpi,2020-04-01,4.2,monthly
united-states,inflation-cpi,2020-05-01,5,monthly
united-states,inflation-cpi,2020-06-01,5.4,monthly
united-states,inflation-cpi,2020-07-01,5.4,monthly
united-states,inflation-cpi,2020-08-01,5.3,monthly
united-states,inflation-cpi,2020-09-01,5.4,monthly
united-states,inflation-cpi,2020-10-01,6.2,monthly
united-states,inflation-cpi,2020-11-01,6.8,monthly
united-states,inflation-cpi,2020-12-01,7,monthly
united-states,inflation-cpi,2021-01-01,7.5,monthly
united-states,inflation-cpi,2021-02-01,7.9,monthly
united-states,inflation-cpi,2021-03-01,8.5,monthly
united-states,inflation-cpi,2021-04-01,8.3,monthly
united-states,inflation-cpi,2021-05-01,5,monthly
united-states,inflation-cpi,2021-06-01,5.4,monthly
united-states,inflation-cpi,2021-07-01,5.4,monthly
united-states,inflation-cpi,2021-08-01,5.3,monthly
united-states,inflation-cpi,2021-09-01,5.4,monthly
united-states,inflation-cpi,2021-10-01,6.2,monthly
united-states,inflation-cpi,2021-11-01,6.8,monthly
united-states,inflation-cpi,2021-12-01,7,monthly
united-states,inflation-cpi,2022-01-01,7.5,monthly
united-states,inflation-cpi,2022-02-01,7.9,monthly
united-states,inflation-cpi,2022-03-01,8.5,monthly
united-states,inflation-cpi,2022-04-01,8.3,monthly
united-states,inflation-cpi,2022-05-01,4.9,monthly
united-states,inflation-cpi,2022-06-01,4.1,monthly
united-states,inflation-cpi,2022-07-01,3,monthly
united-states,inflation-cpi,2022-08-01,3.2,monthly
united-states,inflation-cpi,2022-09-01,3.7,monthly
united-states,inflation-cpi,2022-10-01,3.7,monthly
united-states,inflation-cpi,2022-11-01,3.2,monthly
united-states,inflation-cpi,2022-12-01,3.1,monthly
united-states,inflation-cpi,2023-01-01,3.4,monthly
united-states,inflation-cpi,2023-02-01,3.1,monthly
united-states,inflation-cpi,2023-03-01,3.2,monthly
united-states,inflation-cpi,2023-04-01,3.5,monthly
united-states,inflation-cpi,2023-05-01,4.9,monthly
united-states,inflation-cpi,2023-06-01,4.1,monthly
united-states,inflation-cpi,2023-07-01,3,monthly
united-states,inflation-cpi,2023-08-01,3.2,monthly
united-states,inflation-cpi,2023-09-01,3.7,monthly
united-states,inflation-cpi,2023-10-01,3.7,monthly
united-states,inflation-cpi,2023-11-01,3.2,monthly
united-states,inflation-cpi,2023-12-01,3.1,monthly
united-states,inflation-cpi,2024-01-01,3.4,monthly
united-states,inflation-cpi,2024-02-01,3.1,monthly
united-states,inflation-cpi,2024-03-01,3.2,monthly
united-states,inflation-cpi,2024-04-01,3.5,monthly
china,inflation-cpi,2010-05-01,3.1,monthly
china,inflation-cpi,2010-06-01,2.9,monthly
china,inflation-cpi,2010-07-01,3.3,monthly
china,inflation-cpi,2010-08-01,3.5,monthly
china,inflation-cpi,2010-09-01,3.6,monthly
china,inflation-cpi,2010-10-01,4.4,monthly
china,inflation-cpi,2010-11-01,5.1,monthly
china,inflation-cpi,2010-12-01,4.6,monthly
china,inflation-cpi,2011-01-01,4.9,monthly
china,inflation-cpi,2011-02-01,4.9,monthly
china,inflation-cpi,2011-03-01,5.4,monthly
china,inflation-cpi,2011-04-01,5.3,monthly
china,inflation-cpi,2011-05-01,5.5,monthly
china,inflation-cpi,2011-06-01,6.4,monthly
china,inflation-cpi,2011-07-01,6.5,monthly
china,inflation-cpi,2011-08-01,6.2,monthly
china,inflation-cpi,2011-09-01,6.1,monthly
