"date","year","months","hh","indicator","value","info"
"2011-01-01",2011,"jan","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",52968.826,NA
"2011-01-01",2011,"jan","1.1","Հարկային եկամուտներ",43013.121,NA
"2011-01-01",2011,"jan","1.1.1","ԱԱՀ",21452.604000000003,NA
"2011-01-01",2011,"jan","1.1.2","Շահութահարկ",5353.912,NA
"2011-01-01",2011,"jan","1.1.3","Եկամտահարկ",5171.622,NA
"2011-01-01",2011,"jan","1.1.4","Ակցիզային հարկ",2039.432,NA
"2011-01-01",2011,"jan","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",3079.9,NA
"2011-01-01",2011,"jan","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1515.7219999999998,NA
"2011-01-01",2011,"jan","1.1.7","Մաքսատուրք",1532.1,NA
"2011-01-01",2011,"jan","1.1.8","Այլ հարկային եկամուտներ",2867.829,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-01-01",2011,"jan","1.2","Սոցիալական վճար",8540.1,NA
"2011-01-01",2011,"jan","1.3","Պետական տուրք",1415.605,NA
"2011-02-01",2011,"feb","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",55101.62900000001,NA
"2011-02-01",2011,"feb","1.1","Հարկային եկամուտներ",43305.15200000001,NA
"2011-02-01",2011,"feb","1.1.1","ԱԱՀ",21483.438,NA
"2011-02-01",2011,"feb","1.1.2","Շահութահարկ",5891.461,NA
"2011-02-01",2011,"feb","1.1.3","Եկամտահարկ",6307.338,NA
"2011-02-01",2011,"feb","1.1.4","Ակցիզային հարկ",1782.4,NA
"2011-02-01",2011,"feb","1.1.5","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1161.3,NA
"2011-02-01",2011,"feb","1.1.6","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1770.214,NA
"2011-02-01",2011,"feb","1.1.7","Մաքսատուրք",2145.3,NA
"2011-02-01",2011,"feb","1.1.8","Այլ հարկային եկամուտներ",2763.7009999999996,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող), արտոնագրային վճարները, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2011-02-01",2011,"feb","1.2","Սոցիալական վճար",10525.1,NA
"2011-02-01",2011,"feb","1.3","Պետական տուրք",1271.377,NA
"2011-03-01",2011,"mar","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",61550.560000000005,NA
"2011-03-01",2011,"mar","1.1","Հարկային եկամուտներ",48950.008,NA
"2011-03-01",2011,"mar","1.1.1","ԱԱՀ",24803.243,NA
"2011-03-01",2011,"mar","1.1.2","Շահութահարկ",9545.048,NA
"2011-03-01",2011,"mar","1.1.3","Եկամտահարկ",6148.776,NA
