country,indicator_group,indicator,mean_price,min_range,max_range,info_entries,info_contributers,last_update
Afghanistan,Salaries And Financing,Average Monthly Net Salary (After Tax),203.76999999999998,NA,NA,283,23,2024-07-01
Afghanistan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.979999999999997,10,25,283,23,2024-07-01
Aland Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),2459.65,NA,NA,76,3,2024-07-01
Aland Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.9,3,4.5,76,3,2024-07-01
Albania,Salaries And Financing,Average Monthly Net Salary (After Tax),607.9,NA,NA,3082,253,2024-08-01
Albania,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.6899999999999995,3.5,8,3082,253,2024-08-01
Algeria,Salaries And Financing,Average Monthly Net Salary (After Tax),292.08,NA,NA,3551,269,2024-08-01
Algeria,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.26,5,7,3551,269,2024-08-01
Andorra,Salaries And Financing,Average Monthly Net Salary (After Tax),2581.74,NA,NA,213,23,2024-07-01
Andorra,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3,2,4.42,213,23,2024-07-01
Angola,Salaries And Financing,Average Monthly Net Salary (After Tax),3959.61,NA,NA,222,13,2024-04-01
Angola,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",25,22,25,222,13,2024-04-01
Anguilla,Salaries And Financing,Average Monthly Net Salary (After Tax),2066.67,NA,NA,10,2,2023-10-01
Anguilla,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.7800000000000002,NA,NA,10,2,2023-10-01
Antigua And Barbuda,Salaries And Financing,Average Monthly Net Salary (After Tax),1397.86,NA,NA,21,9,2024-03-01
Antigua And Barbuda,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6,NA,NA,21,9,2024-03-01
Argentina,Salaries And Financing,Average Monthly Net Salary (After Tax),449.19,NA,NA,3904,362,2024-08-01
Argentina,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",59.91,30.69,95,3904,362,2024-08-01
