country,family_costs_usd,family_costs_lcu,single_costs_usd,single_costs_lcu,lcu_unit,cost_of_living_to_armenia,rent_to_armenia,date_of_scrape
Afghanistan,1220.5,86471.1,411.4,29148.1,AFN,-49.4,-87.2,2024-08-09
Aland Islands,3394.4,3105.1,968.6,886,€,37.1,-22,2024-08-09
Albania,2463,225724.7,685.4,62817.3,Lek,0,-39.8,2024-08-09
Algeria,1687,1543.2,472.1,431.9,€,-34.4,-80.2,2024-08-09
Andorra,2949.7,2698.3,824.3,754,€,21.7,51.3,2024-08-09
Angola,2820.9,1094220.8,805.4,312422.7,AMD,7.4,32.9,2024-08-09
Argentina,1755.5,680976.7,490,190056.3,AMD,-30.2,-60.2,2024-08-09
Armenia,2606.1,1010894.2,732.2,284005.6,AMD,0,0,2024-08-09
Aruba,4815.8,1868035.9,1337.8,518934.4,AMD,88.6,0.8,2024-08-09
Australia,3828.8,5840.6,1083,1652.1,A$,62.2,73.8,2024-08-09
Austria,3916.1,3582.4,1156.2,1057.6,€,57.2,23.3,2024-08-09
Azerbaijan,1958.4,3329.4,545,926.5,man,-25.8,-53.8,2024-08-09
Bahamas,4961.4,1924540.3,1398.3,542399.5,AMD,90.8,86.8,2024-08-09
Bahrain,3106,1170.8,871.5,328.5,BHD,20.6,6.5,2024-08-09
Bangladesh,1223,143571.8,354.1,41565.5,$,-48.6,-87.4,2024-08-09
Barbados,4396.5,8792.9,1194.9,2389.8,Bds$,76,6.4,2024-08-09
Belarus,1628,5322.9,458.2,1498.3,BYN,-38.3,-55.8,2024-08-09
Belgium,3564.8,3261,1014.3,927.8,€,45.3,7.9,2024-08-09
Bermuda,7677,2977904.9,2097.2,813509.2,AMD,202.7,401,2024-08-09
Bhutan,1497.6,125634.7,419.4,35182.9,Nu,-37.6,-82.6,2024-08-09
Bolivia,1687.9,11652,477.4,3295.5,Bs,-37.1,-60.2,2024-08-09
Bosnia And Herzegovina,2085,3731.5,616.6,1103.4,KM,-17.8,-66.3,2024-08-09
Botswana,1794.7,24296.5,513.1,6946.2,P,-4.3,-70.1,2024-08-09
Brazil,1809.2,10199.1,511.5,2883.6,R$,-31,-58.7,2024-08-09
Brunei,3013.2,3991.9,828.2,1097.2,S$,18.9,3.6,2024-08-09
Bulgaria,2264.9,4050.5,641.4,1147,$,-10,-44.7,2024-08-09
Cambodia,2099.4,814361.5,593,230027.1,AMD,-14.6,-49.2,2024-08-09
Cameroon,2689.9,1614051.7,782.9,469801.7,CFA,-4.1,-3.7,2024-08-09
Canada,3789,5204.4,1054.1,1447.9,C$,53.4,72.9,2024-08-09
Cape Verde,2418.8,244059.8,679.7,68582.1,Esc,-4.5,-61.4,2024-08-09
Cayman Islands,6597.7,5493.4,1884.8,1569.3,KY$,169.9,296.6,2024-08-09
Chad,3612.6,2167745.4,1043.9,626399.9,CFA,13.5,-44.6,2024-08-09
Chile,2430.9,2296225.4,689,650831.7,CL$,-7.1,-41.4,2024-08-09
China,2008.9,14391.8,554.7,3974.1,$,-20,-34.3,2024-08-09
Colombia,1746,7222138.5,501.9,2076061.8,Col$,-33.2,-53.8,2024-08-09
Costa Rica,3116.4,1644800.8,857.4,452552.8,$,19.9,-8.3,2024-08-09
Croatia,2753.5,2518.8,785.5,718.6,€,9.1,-22.7,2024-08-09
Cuba,2422.8,939805.4,708.6,274866.9,AMD,6.1,-35.9,2024-08-09
Cyprus,3322.4,3039.2,943.1,862.7,€,29.3,37.1,2024-08-09
Czech Republic,2773.1,64089.7,834.9,19294.5,K,12.3,4.4,2024-08-09
Democratic Republic of the Congo,3162.5,1226739.3,1038.2,402699.7,AMD,27.3,28.4,2024-08-09
Denmark,4283.6,29241.1,1194.8,8155.9,kr,75.1,47.9,2024-08-09
Dominican Republic,2188.3,130094,611.6,36358.8,RD$,-13.7,-44.3,2024-08-09
Ecuador,1923.7,746211.5,538.4,208831.8,AMD,-25,-55.6,2024-08-09
Egypt,1155.2,56835.8,326.3,16056.5,EG£,-53.3,-79.9,2024-08-09
El Salvador,2295.8,890557.1,646.9,250922.9,AMD,-9.9,-21.4,2024-08-09
Estonia,3099.2,2835,918.2,839.9,€,24.6,-20.4,2024-08-09
Ethiopia,2865.2,1111398.8,849.7,329612.5,AMD,9.3,-16.6,2024-08-09
Fiji,2089,4692.5,580,1302.9,FJ$,-18.6,-18.6,2024-08-09
Finland,3739.1,3420.4,1028.6,940.9,€,54.1,6.7,2024-08-09
France,3704.5,3388.7,1040.8,952.1,€,52.7,8.5,2024-08-09
Georgia,2086.8,5644.7,581.7,1573.4,GEL,-20.2,-29.4,2024-08-09
Germany,3642.9,3332.4,1071.3,980,€,50.5,26.8,2024-08-09
Ghana,2034.6,789212.5,567.1,219988.5,AMD,-10,-47.6,2024-08-09
Gibraltar,3469.1,2732.5,953.4,750.9,£,46.2,149.7,2024-08-09
Greece,3033,2774.5,884.1,808.7,€,22.8,-32.2,2024-08-09
Greenland,5540.3,37820,1563.3,10671.7,kr,113.5,17.2,2024-08-09
Grenada,3235.4,8743.7,940.2,2540.9,EC$,81.1,-7.8,2024-08-09
Guadeloupe,3371.2,3083.9,920.7,842.2,€,41.2,36.5,2024-08-09
Guam,5421.4,2102966.2,1551.9,601982.7,AMD,99.4,112,2024-08-09
Guatemala,2430.5,18820.7,673.1,5211.9,Q,-9.7,-35.5,2024-08-09
Guernsey,3838.9,3023.8,1073.1,845.2,£,55.5,135.6,2024-08-09
Guyana,2903.9,606979.4,805.8,168433.1,GY$,8.9,-14.5,2024-08-09
Haiti,3350.5,1299679.2,928.3,360077.3,AMD,28.1,-9.4,2024-08-09
Honduras,2279.4,56383.8,659.3,16308.1,L,-14.7,-45.5,2024-08-09
Hong Kong (China),4162.7,32416.1,1182.9,9211.5,HK$,93.1,224.7,2024-08-09
Hungary,2421,880119.6,692.2,251621.9,Ft,-1.2,-38.3,2024-08-09
Iceland,4910.1,677795.3,1322.1,182496.4,kr,100.2,118.3,2024-08-09
India,1182.3,99267.2,344.4,28914.1,$,-50.6,-71.3,2024-08-09
Indonesia,1567.3,24996508.7,456.7,7283949.8,Rp,-37.4,-54.9,2024-08-09
Iran,1251.3,485371,348.1,135034.1,AMD,-39.6,-55.2,2024-08-09
Iraq,1788.5,2340776.6,522.6,683998.9,IQD,-33.7,-61.6,2024-08-09
Ireland,3788.7,3465.7,1081.9,989.7,€,55.3,123.1,2024-08-09
Isle Of Man,3275,2579.6,933.2,735.1,£,39.1,37.5,2024-08-09
Israel,3592,13612.1,1019.9,3864.8,$,52.3,39.7,2024-08-09
Italy,3259,2981.2,933.1,853.6,€,32.3,1.3,2024-08-09
Ivory Coast,2675.6,1605495.6,775,465064.3,CFA,-1,-8.5,2024-08-09
Jamaica,3163,494565.1,885.8,138503.8,J$,22.7,-20.3,2024-08-09
Japan,3155.1,461090.9,893.1,130526.6,$,18.6,-27.2,2024-08-09
