date,direction,model_name,value,period,ribbon_low,ribbon_high,info
2019-12-31,export,Actual Data,2647028.8473024997,YoY,NA,NA,+ 71. gold
2020-01-31,export,Actual Data,2678738.3448858,YoY,NA,NA,+ 71. gold
2020-02-29,export,Actual Data,2685500.9141965,YoY,NA,NA,+ 71. gold
2020-03-31,export,Actual Data,2659083.7278708,YoY,NA,NA,+ 71. gold
2020-04-30,export,Actual Data,2597364.6946708,YoY,NA,NA,+ 71. gold
2020-05-31,export,Actual Data,2579506.0039431998,YoY,NA,NA,+ 71. gold
2020-06-30,export,Actual Data,2579850.6647696,YoY,NA,NA,+ 71. gold
2020-07-31,export,Actual Data,2555360.3263748,YoY,NA,NA,+ 71. gold
2020-08-31,export,Actual Data,2549866.4225474005,YoY,NA,NA,+ 71. gold
2020-09-30,export,Actual Data,2563581.5643343003,YoY,NA,NA,+ 71. gold
2020-10-31,export,Actual Data,2559478.580798,YoY,NA,NA,+ 71. gold
2020-11-30,export,Actual Data,2509312.1761071,YoY,NA,NA,+ 71. gold
2020-12-31,export,Actual Data,2536946.2527844002,YoY,NA,NA,+ 71. gold
2021-01-31,export,Actual Data,2525096.6857235003,YoY,NA,NA,+ 71. gold
2021-02-28,export,Actual Data,2523079.5970061,YoY,NA,NA,+ 71. gold
2021-03-31,export,Actual Data,2559295.7589705,YoY,NA,NA,+ 71. gold
2021-04-30,export,Actual Data,2654459.2389629,YoY,NA,NA,+ 71. gold
2021-05-31,export,Actual Data,2727321.0703414,YoY,NA,NA,+ 71. gold
2021-06-30,export,Actual Data,2798487.0764988004,YoY,NA,NA,+ 71. gold
2021-07-31,export,Actual Data,2843581.3907675003,YoY,NA,NA,+ 71. gold
2021-08-31,export,Actual Data,2878831.1166562997,YoY,NA,NA,+ 71. gold
2021-09-30,export,Actual Data,2850478.6591441003,YoY,NA,NA,+ 71. gold
2021-10-31,export,Actual Data,2886908.5237005996,YoY,NA,NA,+ 71. gold
2021-11-30,export,Actual Data,2976626.6066930997,YoY,NA,NA,+ 71. gold
2021-12-31,export,Actual Data,3015852.2000216004,YoY,NA,NA,+ 71. gold
2022-01-31,export,Actual Data,3101162.9135433002,YoY,NA,NA,+ 71. gold
2022-02-28,export,Actual Data,3160386.2833515,YoY,NA,NA,+ 71. gold
2022-03-31,export,Actual Data,3172088.6116183004,YoY,NA,NA,+ 71. gold
2022-04-30,export,Actual Data,3226314.0678005,YoY,NA,NA,+ 71. gold
2022-05-31,export,Actual Data,3317916.2949900003,YoY,NA,NA,+ 71. gold
2022-06-30,export,Actual Data,3523681.0330994,YoY,NA,NA,+ 71. gold
2022-07-31,export,Actual Data,3745033.8090403,YoY,NA,NA,+ 71. gold
2022-08-31,export,Actual Data,4039117.6041797996,YoY,NA,NA,+ 71. gold
2022-09-30,export,Actual Data,4406554.4722162,YoY,NA,NA,+ 71. gold
2022-10-31,export,Actual Data,4784306.2438975,YoY,NA,NA,+ 71. gold
2022-11-30,export,Actual Data,5101990.061685501,YoY,NA,NA,+ 71. gold
2022-12-31,export,Actual Data,5416180.0115138,YoY,NA,NA,+ 71. gold
2023-01-31,export,Actual Data,5627480.099802501,YoY,NA,NA,+ 71. gold
2023-02-28,export,Actual Data,5935802.7505381005,YoY,NA,NA,+ 71. gold
2023-03-31,export,Actual Data,6366993.3291772995,YoY,NA,NA,+ 71. gold
2023-04-30,export,Actual Data,6622287.8793443,YoY,NA,NA,+ 71. gold
2023-05-31,export,Actual Data,6873518.6747788,YoY,NA,NA,+ 71. gold
2023-06-30,export,Actual Data,6909816.441233801,YoY,NA,NA,+ 71. gold
2023-07-31,export,Actual Data,6997186.4434972,YoY,NA,NA,+ 71. gold
2023-08-31,export,Actual Data,7028535.438744299,YoY,NA,NA,+ 71. gold
2023-09-30,export,Actual Data,7048311.880822999,YoY,NA,NA,+ 71. gold
2023-10-31,export,Actual Data,7157940.421089599,YoY,NA,NA,+ 71. gold
2023-11-30,export,Actual Data,7697334.5104701,YoY,NA,NA,+ 71. gold
2023-12-31,export,Actual Data,8551916.1918929,YoY,NA,NA,+ 71. gold
2024-01-31,export,Actual Data,9038434.645182502,YoY,NA,NA,+ 71. gold
2024-02-29,export,Actual Data,10107710.4764653,YoY,NA,NA,+ 71. gold
2024-03-31,export,Actual Data,11307246.736617401,YoY,NA,NA,+ 71. gold
2024-04-30,export,Actual Data,12424329.449770302,YoY,NA,NA,+ 71. gold
2024-05-31,export,Actual Data,12777252.2711206,YoY,NA,NA,+ 71. gold
