"code","arm","eng","rus","year","production","vol_YoY_pct"
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2012,4266460.5,NA
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2013,4555638.2,103.3
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2014,4828626.3,103.6
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2015,5043633.199999999,103.2
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2016,5067293.5,100.2
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2017,5564493.3,107.5
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2018,6017035.200000001,105.2
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2019,6543321.8,107.6
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2020,6181902.600000001,92.8
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2021,6991777.799999999,105.8
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2022,8501449.399999999,112.6
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)",2023,9505221.599999998,108.7
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2012,458234.3,NA
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2013,506428.1,103.6
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2014,546334.9,101.8
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2015,535801.1,94.9
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2016,508803.6,96.3
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2017,572075,109.7
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2018,639224.8,108
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2019,745309,107.1
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2020,673951.6,90.1
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2021,767286.3,107.4
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)",2022,882891.6,108.1
