.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi,eng,date,volume,volume_lag4,volume_lag6,volume_lag4_roll_2,volume_lag4_roll_4,volume_lag4_roll_6
NA,ACTUAL,actual,2014-07-01,1443501.1,NA,NA,"Domestic product (gross, market prices)",2014-07-01,1443501.1,1363072.3,784166.2,1949458642869.58,15540633957798728e8,12559258412768972e20
NA,ACTUAL,actual,2014-10-01,1539593.9,NA,NA,"Domestic product (gross, market prices)",2014-10-01,1539593.9,1430194.6,978205.1,1165520499012.6401,16372913020394464e8,2311921035874317e21
NA,ACTUAL,actual,2015-01-01,879565.7,NA,NA,"Domestic product (gross, market prices)",2015-01-01,879565.7,814938.4,1363072.3,839869728977.36,17339005388887833e8,3638725175439976e21
NA,ACTUAL,actual,2015-04-01,1105248,NA,NA,"Domestic product (gross, market prices)",2015-04-01,1105248,1030592.9,1430194.6,1487661984802.1902,18665310950550947e8,23480030047147795e20
NA,ACTUAL,actual,2015-07-01,1523902.7000000002,NA,NA,"Domestic product (gross, market prices)",2015-07-01,1523902.7000000002,1443501.1,814938.4,2222405488203.29,20145531603295423e8,18145262364681006e20
NA,ACTUAL,actual,2015-10-01,1534916.7999999998,NA,NA,"Domestic product (gross, market prices)",2015-10-01,1534916.7999999998,1539593.9,1030592.9,1354173986369.2297,21604853394079332e8,3393092571137373e21
NA,ACTUAL,actual,2016-01-01,893634.2,NA,NA,"Domestic product (gross, market prices)",2016-01-01,893634.2,879565.7,1443501.1,972138230793.6,22808222605678416e8,50535131683848673e20
NA,ACTUAL,actual,2016-04-01,1132260.6,NA,NA,"Domestic product (gross, market prices)",2016-04-01,1132260.6,1105248,1539593.9,1684290411369.6,22738933984861576e8,31284993114442903e20
NA,ACTUAL,actual,2016-07-01,1525628.4,NA,NA,"Domestic product (gross, market prices)",2016-07-01,1525628.4,1523902.7000000002,879565.7,2339063855795.36,23102639268919406e8,23007862706363667e20
NA,ACTUAL,actual,2016-10-01,1515770.3,NA,NA,"Domestic product (gross, market prices)",2016-10-01,1515770.3,1534916.7999999998,1105248,1371654146634.5598,2366727485615016e9,3990770532335364e21
NA,ACTUAL,actual,2017-01-01,971041,NA,NA,"Domestic product (gross, market prices)",2017-01-01,971041,893634.2,1523902.7000000002,1011826795472.52,23694076184226584e8,5473062558836691e21
NA,ACTUAL,actual,2017-04-01,1212700.7999999998,NA,NA,"Domestic product (gross, market prices)",2017-04-01,1212700.7999999998,1132260.6,1534916.7999999998,1727408927561.04,233985170831331e10,3487472093982994e21
NA,ACTUAL,actual,2017-07-01,1587405.3999999997,NA,NA,"Domestic product (gross, market prices)",2017-07-01,1587405.3999999997,1525628.4,893634.2,2312502217556.52,2542530201610754e9,27553677165764634e20
NA,ACTUAL,actual,2017-10-01,1793346.1000000006,NA,NA,"Domestic product (gross, market prices)",2017-10-01,1793346.1000000006,1515770.3,1132260.6,1471875107882.3,27231614431496795e8,4894492167241525e21
NA,ACTUAL,actual,2018-01-01,1115563.9,NA,NA,"Domestic product (gross, market prices)",2018-01-01,1115563.9,971041,1525628.4,1177582197532.7998,2833429936102129e9,775220690325455e22
NA,ACTUAL,actual,2018-04-01,1362703.9,NA,NA,"Domestic product (gross, market prices)",2018-04-01,1362703.9,1212700.7999999998,1515770.3,1925047798504.3193,3352302473225662e9,5668537742612531e21
NA,ACTUAL,actual,2018-07-01,1687018.4000000004,NA,NA,"Domestic product (gross, market prices)",2018-07-01,1687018.4000000004,1587405.3999999997,971041,2846767283208.9404,3851235551342595e9,5096114160011772e21
NA,ACTUAL,actual,2018-10-01,1851749.0000000005,NA,NA,"Domestic product (gross, market prices)",2018-10-01,1851749.0000000005,1793346.1000000006,1212700.7999999998,2000592169365.7905,4327608018097461e9,8853630646327402e21
NA,ACTUAL,actual,2019-01-01,1242121.8,NA,NA,"Domestic product (gross, market prices)",2019-01-01,1242121.8,1115563.9,1587405.3999999997,1520183277229.2097,4599174448139053e9,13519164575224264e21
NA,ACTUAL,actual,2019-04-01,1484958.1,NA,NA,"Domestic product (gross, market prices)",2019-04-01,1484958.1,1362703.9,1793346.1000000006,2298906553051.7603,4748953191560203e9,10578551034709724e21
