date,code,name_clean,month_value
2015-11-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20237.299999999996
2015-12-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",22322.299999999996
2016-01-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20857.5
2016-02-29,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18499
2016-03-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18563.718333333334
2016-04-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18632.9
2016-05-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16237.4
2016-06-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",15377.6
2016-07-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16793.5
2016-08-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17415.799999999996
2016-09-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17572.585869565213
2016-10-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17724.314130434777
2016-11-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17881.099999999995
2016-12-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20040.608196721307
2017-01-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",22272.099999999995
2017-02-28,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18588.7
2017-03-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17304.5
2017-04-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",15318.299999999997
2017-05-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",15930.200000000003
2017-06-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",14765.6
2017-07-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",19291.7
2017-08-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18794.649999999998
2017-09-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18297.599999999995
2017-10-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",15653.5
2017-11-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17235.4
2017-12-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",21973.099999999995
2018-01-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",22279
2018-02-28,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17777.099999999995
2018-03-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16709.9
2018-04-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",15155
2018-05-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",15813.4
2018-06-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17138.4
2018-07-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",19453.599999999995
2018-08-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17888.2
2018-09-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16060.6
2018-10-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17616.9
2018-11-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18707
2018-12-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18277.2
2019-01-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18116.5
2019-02-28,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16277.4
2019-03-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16822.68813559322
2019-04-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17426.4
2019-05-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",15184.1
2019-06-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18834.299999999996
2019-07-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18399.099999999995
2019-08-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",19912.799999999996
2019-09-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17841.4
2019-10-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16840.799999999996
2019-11-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17482
2019-12-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20656.299999999996
2020-01-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20400.4
2020-02-29,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20506.7
2020-03-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17386.099999999995
2020-04-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16275.5
2020-05-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",14919
2020-06-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",15700.799999999997
2020-07-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18274.299999999996
2020-08-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18684.799999999996
2020-09-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17516.9
2020-10-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17080.799999999996
2020-11-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17809.4
2020-12-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",19410.799999999996
2021-01-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20521.099999999995
2021-02-28,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18786
2021-03-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",21698.5
2021-04-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17533.4
2021-05-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17186.4
2021-06-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16547.4
2021-07-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",19326.099999999995
2021-08-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17853.9
2021-09-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",16662.2
2021-10-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",17350.9
2021-11-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",19925.2
2021-12-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",23837.099999999995
2022-01-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",25332.2
2022-02-28,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",25392.2
2022-03-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",24474.599999999995
2022-04-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",21003.7
2022-05-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18897.599999999995
2022-06-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20645.4
2022-07-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",22992.5
2022-08-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",23833.799999999996
2022-09-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20653.599999999995
2022-10-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20753.099999999995
2022-11-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",21047
2022-12-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",23783.4
2023-01-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",24468.7
2023-02-28,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",21897.2
2023-03-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20789.4
2023-04-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18320.7
2023-05-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18195.599999999995
2023-06-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",18922.5
2023-07-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",21335.299999999996
2023-08-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",25703.9
2023-09-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20173
2023-10-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",19247.799999999996
2023-11-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",23126.5
2023-12-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",24686.9
2024-01-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",25490.5
2024-02-29,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",25474.299999999996
2024-03-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",25342.4
2024-04-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",21231.9
2024-05-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",20536.299999999996
2024-06-30,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",21039.7
2024-07-31,35.1,"էլեկտրաէներգիայի արտադրություն, 
հաղորդում և բաշխում",23426.5
