"period","trade_code","reporter","partner_iso","partner","commodity_code","netweight_kg","trade_value_us"
"2010-06-01","M","Armenia","RUS","Russian Federation",271012,840,1175.06
"2010-11-01","M","Armenia","ROU","Romania",271012,9173150,6670276.98
"2010-06-01","M","Armenia","BGR","Bulgaria",271012,7794890,6643853.76
"2010-05-01","M","Armenia","IRN","Iran",271012,1750,1960.4
"2010-08-01","M","Armenia","GRC","Greece",271012,856956,754121.28
"2010-10-01","M","Armenia","RUS","Russian Federation",271012,37960,61685.71
"2010-08-01","M","Armenia","TKM","Turkmenistan",271012,458630,319454.7
"2010-10-01","M","Armenia","BGR","Bulgaria",271012,8706869,7292967.59
"2010-06-01","M","Armenia","ROU","Romania",271012,5718394,4292006.79
"2010-07-01","M","Armenia","ITA","Italy",271012,249669,209472.29
"2010-08-01","M","Armenia","ISR","Israel",271012,4652079,3827080.34
"2010-02-01","M","Armenia","BGR","Bulgaria",271012,8778639,7325578.95
"2010-03-01","M","Armenia","BGR","Bulgaria",271012,5500922,4950903.23
"2010-04-01","M","Armenia","ROU","Romania",271012,10594143,9184282.44
"2010-05-01","M","Armenia","ROU","Romania",271012,10323118,8480569.04
"2010-01-01","M","Armenia","ROU","Romania",271012,9223453,7023307.39
"2010-11-01","M","Armenia","BGR","Bulgaria",271012,6597394,6817893.34
"2010-11-01","M","Armenia","RUS","Russian Federation",271012,16802,26184.2
"2010-07-01","M","Armenia","BGR","Bulgaria",271012,5189964,4300091.73
"2010-10-01","M","Armenia","ROU","Romania",271012,5177218,3565061.38
"2010-08-01","M","Armenia","ROU","Romania",271012,10981710,7757793.41
"2010-04-01","M","Armenia","BGR","Bulgaria",271012,6298718,5863571.3
"2010-05-01","M","Armenia","BGR","Bulgaria",271012,7203638,6537484.74
"2010-08-01","M","Armenia","RUS","Russian Federation",271012,4900,8823.33
"2010-08-01","M","Armenia","BGR","Bulgaria",271012,8295805,7030674.02
"2010-07-01","M","Armenia","ROU","Romania",271012,7341676,4757729.89
"2010-01-01","M","Armenia","BGR","Bulgaria",271012,3494247,2883755.6
"2010-06-01","M","Armenia","DEU","Germany",271012,159,636.63
