"date","type_arm","type_eng","arm_marz","eng_marz","rus_marz","wages","employees"
"2018-03-31","Ընդամենը","Total","Ընդամենը","Total","Всего",166927,522103
"2018-06-30","Ընդամենը","Total","Ընդամենը","Total","Всего",167974,547308
"2018-09-30","Ընդամենը","Total","Ընդամենը","Total","Всего",171155,572852
"2018-12-31","Ընդամենը","Total","Ընդամենը","Total","Всего",183900,584447
"2019-03-31","Ընդամենը","Total","Ընդամենը","Total","Всего",174064,566453
"2019-06-30","Ընդամենը","Total","Ընդամենը","Total","Всего",179354,595495
"2019-09-30","Ընդամենը","Total","Ընդամենը","Total","Всего",182189,606619
"2019-12-31","Ընդամենը","Total","Ընդամենը","Total","Всего",194117,624382
"2020-03-31","Ընդամենը","Total","Ընդամենը","Total","Всего",190109,611402
"2020-06-30","Ընդամենը","Total","Ընդամենը","Total","Всего",182615,608797
"2020-09-30","Ընդամենը","Total","Ընդամենը","Total","Всего",187983,639131
"2020-12-31","Ընդամենը","Total","Ընդամենը","Total","Всего",197871,636560
"2021-03-31","Ընդամենը","Total","Ընդամենը","Total","Всего",194085,622839
"2021-06-30","Ընդամենը","Total","Ընդամենը","Total","Всего",198706,647448
"2021-09-30","Ընդամենը","Total","Ընդամենը","Total","Всего",203230,657869
"2021-12-31","Ընդամենը","Total","Ընդամենը","Total","Всего",219268,670246
"2022-03-31","Ընդամենը","Total","Ընդամենը","Total","Всего",212767,658804
"2022-06-30","Ընդամենը","Total","Ընդամենը","Total","Всего",224291,685006
"2022-09-30","Ընդամենը","Total","Ընդամենը","Total","Всего",238690,688877
"2022-12-31","Ընդամենը","Total","Ընդամենը","Total","Всего",264751,706445
"2023-03-31","Ընդամենը","Total","Ընդամենը","Total","Всего",261495,699239
"2023-06-30","Ընդամենը","Total","Ընդամենը","Total","Всего",261261,721451
"2023-09-30","Ընդամենը","Total","Ընդամենը","Total","Всего",265544,728431
"2023-12-31","Ընդամենը","Total","Ընդամենը","Total","Всего",290877,741572
"2024-03-31","Ընդամենը","Total","Ընդամենը","Total","Всего",282879,735921
"2024-06-30","Ընդամենը","Total","Ընդամենը","Total","Всего",275269,756035
"2018-03-31","Ընդամենը","Total","Երևան","Yerevan city","г. Ереван",188884,335792
"2018-06-30","Ընդամենը","Total","Երևան","Yerevan city","г. Ереван",188593,353506
"2018-09-30","Ընդամենը","Total","Երևան","Yerevan city","г. Ереван",193130,371164
"2018-12-31","Ընդամենը","Total","Երևան","Yerevan city","г. Ереван",207216,381322
"2019-03-31","Ընդամենը","Total","Երևան","Yerevan city","г. Ереван",193207,370617
"2019-06-30","Ընդամենը","Total","Երևան","Yerevan city","г. Ереван",197943,391494
