"date","nace_2_code","type_arm","type_eng","name_arm","name_eng","wages","wages_corrected","wages_cumulative","employees"
"2018-01-31","58.2, 62, 63.1","Ոչ Պետական","Non-public","որից՝  տեղեկատվական  տեխնոլոգիաներ","including: information technologies",554449,554449,554449,8857
"2018-01-31","72","Ոչ Պետական","Non-public","որից՝  գիտական հետազոտություններ և մշակումներ","including: scientific reserch and development",198090,198090,198090,1314
"2018-01-31","90-91","Ոչ Պետական","Non-public","որից՝  մշակույթ և արվեստ","including: culture and art",288364,288364,288364,NA
"2018-01-31","90-91","Ոչ Պետական","Non-public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-01-31","90-91","Ոչ Պետական","Non-public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-01-31","A","Ոչ Պետական","Non-public","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing",118724,118724,118724,3256
"2018-01-31","A-S","Ոչ Պետական","Non-public","Ընդամենը","Total",181407,181407,181407,311228
"2018-01-31","B","Ոչ Պետական","Non-public","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying",428503,428503,428503,9069
"2018-01-31","C","Ոչ Պետական","Non-public","Մշակող արդյունաբերություն","Manufacturing",153254,153254,153254,54814
"2018-01-31","D","Ոչ Պետական","Non-public","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Electricity, gas, steam and air conditioning supply",221344,221344,221344,18898
"2018-01-31","E","Ոչ Պետական","Non-public","Ջրամատակարարում, կոյուղի, թափոնների կառավարում
և վերամշակում","Water supply; sewerage, waste management and remediation activities",181384,181384,181384,4582
"2018-01-31","F","Ոչ Պետական","Non-public","Շինարարություն","Construction",177015,177015,177015,14780
"2018-01-31","G","Ոչ Պետական","Non-public","Մեծածախ և մանրածախ առևտուր, ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles and motorcycles",124928,124928,124928,71995
"2018-01-31","H","Ոչ Պետական","Non-public","Փոխադրումներ և պահեստային տնտեսություն","Transportation and storage",159982,159982,159982,11307
"2018-01-31","I","Ոչ Պետական","Non-public","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities",107012,107012,107012,16305
"2018-01-31","J","Ոչ Պետական","Non-public","Տեղեկատվություն և կապ","Information and communication",398359,398359,398359,18281
"2018-01-31","K","Ոչ Պետական","Non-public","Ֆինանսական և ապահովագրական գործունեություն","Financial and insurance activities",331547,331547,331547,18009
"2018-01-31","L","Ոչ Պետական","Non-public","Անշարժ գույքի հետ կապված գործունեություն","Real estate activities",125143,125143,125143,6420
"2018-01-31","M","Ոչ Պետական","Non-public","Մասնագիտական, գիտական և տեխնիկական գործունեություն","Professional, scientific and technical activities",194163,194163,194163,11720
"2018-01-31","N","Ոչ Պետական","Non-public","Վարչարարական և օժանդակ գործունեություն","Administrative and support service activities",130092,130092,130092,9450
"2018-01-31","O","Ոչ Պետական","Non-public","Պետական կառավարում և պաշտպանություն, պարտադիր սոցիալական ապահովություն","Public administration and defence; compulsory social security",0,0,0,0
"2018-01-31","P","Ոչ Պետական","Non-public","Կրթություն","Education",171278,171278,171278,6757
"2018-01-31","Q","Ոչ Պետական","Non-public","Առողջապահություն և բնակչության սոցիալական սպասարկում","Human health and social work activities",147609,147609,147609,17617
"2018-01-31","R","Ոչ Պետական","Non-public","Մշակույթ, զվարճություններ և հանգիստ","Arts, entertainment and recreation",135455,135455,135455,5951
"2018-01-31","S","Ոչ Պետական","Non-public","Սպասարկման այլ ծառայություններ","Other service activities",123329,123329,123329,12017
"2018-01-31","58.2, 62, 63.1","Պետական","Public","որից՝  տեղեկատվական  տեխնոլոգիաներ","including: information technologies",360858,360858,360858,109
"2018-01-31","72","Պետական","Public","որից՝  գիտական հետազոտություններ և մշակումներ","including: scientific reserch and development",121410,121410,121410,5087
