"date","year","month","org_type_clean","org_type_short","count","count_yoy","data_estimated"
"2015-10-01",2015,10,"Անհատ ձեռնարկատեր","Ա/Ձ",643,NA,FALSE
"2015-11-01",2015,11,"Անհատ ձեռնարկատեր","Ա/Ձ",948,NA,FALSE
"2015-12-01",2015,12,"Անհատ ձեռնարկատեր","Ա/Ձ",813,NA,TRUE
"2016-01-01",2016,1,"Անհատ ձեռնարկատեր","Ա/Ձ",678,NA,FALSE
"2016-02-01",2016,2,"Անհատ ձեռնարկատեր","Ա/Ձ",831,NA,TRUE
"2016-03-01",2016,3,"Անհատ ձեռնարկատեր","Ա/Ձ",984,NA,TRUE
"2016-04-01",2016,4,"Անհատ ձեռնարկատեր","Ա/Ձ",1137,NA,FALSE
"2016-05-01",2016,5,"Անհատ ձեռնարկատեր","Ա/Ձ",1044,NA,FALSE
"2016-06-01",2016,6,"Անհատ ձեռնարկատեր","Ա/Ձ",1122,NA,FALSE
"2016-07-01",2016,7,"Անհատ ձեռնարկատեր","Ա/Ձ",854,NA,FALSE
"2016-08-01",2016,8,"Անհատ ձեռնարկատեր","Ա/Ձ",934,NA,FALSE
"2016-09-01",2016,9,"Անհատ ձեռնարկատեր","Ա/Ձ",968,10956,TRUE
"2016-10-01",2016,10,"Անհատ ձեռնարկատեր","Ա/Ձ",1003,11316,FALSE
"2016-11-01",2016,11,"Անհատ ձեռնարկատեր","Ա/Ձ",961,11329,FALSE
"2016-12-01",2016,12,"Անհատ ձեռնարկատեր","Ա/Ձ",872,11388,TRUE
"2017-01-01",2017,1,"Անհատ ձեռնարկատեր","Ա/Ձ",782,11492,FALSE
"2017-02-01",2017,2,"Անհատ ձեռնարկատեր","Ա/Ձ",1058,11719,FALSE
"2017-03-01",2017,3,"Անհատ ձեռնարկատեր","Ա/Ձ",1166,11901,FALSE
"2017-04-01",2017,4,"Անհատ ձեռնարկատեր","Ա/Ձ",1166,11930,FALSE
"2017-05-01",2017,5,"Անհատ ձեռնարկատեր","Ա/Ձ",1203,12089,FALSE
"2017-06-01",2017,6,"Անհատ ձեռնարկատեր","Ա/Ձ",1233,12200,FALSE
"2017-07-01",2017,7,"Անհատ ձեռնարկատեր","Ա/Ձ",1040,12386,FALSE
"2017-08-01",2017,8,"Անհատ ձեռնարկատեր","Ա/Ձ",1039,12491,TRUE
"2017-09-01",2017,9,"Անհատ ձեռնարկատեր","Ա/Ձ",1038,12561,FALSE
"2017-10-01",2017,10,"Անհատ ձեռնարկատեր","Ա/Ձ",1115,12673,FALSE
"2017-11-01",2017,11,"Անհատ ձեռնարկատեր","Ա/Ձ",1318,13030,FALSE
"2017-12-01",2017,12,"Անհատ ձեռնարկատեր","Ա/Ձ",808,12966,FALSE
"2018-01-01",2018,1,"Անհատ ձեռնարկատեր","Ա/Ձ",1042,13226,FALSE
"2018-02-01",2018,2,"Անհատ ձեռնարկատեր","Ա/Ձ",1315,13483,FALSE
"2018-03-01",2018,3,"Անհատ ձեռնարկատեր","Ա/Ձ",1424,13741,FALSE
"2018-04-01",2018,4,"Անհատ ձեռնարկատեր","Ա/Ձ",1231,13806,FALSE
"2018-05-01",2018,5,"Անհատ ձեռնարկատեր","Ա/Ձ",1343,13946,FALSE
"2018-06-01",2018,6,"Անհատ ձեռնարկատեր","Ա/Ձ",2031,14744,FALSE
"2018-07-01",2018,7,"Անհատ ձեռնարկատեր","Ա/Ձ",1720,15424,FALSE
"2018-08-01",2018,8,"Անհատ ձեռնարկատեր","Ա/Ձ",1599,15984,FALSE
"2018-09-01",2018,9,"Անհատ ձեռնարկատեր","Ա/Ձ",1394,16340,FALSE
"2018-10-01",2018,10,"Անհատ ձեռնարկատեր","Ա/Ձ",1482,16707,FALSE
"2018-11-01",2018,11,"Անհատ ձեռնարկատեր","Ա/Ձ",1445,16834,FALSE
"2018-12-01",2018,12,"Անհատ ձեռնարկատեր","Ա/Ձ",990,17016,FALSE
"2019-01-01",2019,1,"Անհատ ձեռնարկատեր","Ա/Ձ",1448,17422,FALSE
"2019-02-01",2019,2,"Անհատ ձեռնարկատեր","Ա/Ձ",1806,17913,FALSE
"2019-03-01",2019,3,"Անհատ ձեռնարկատեր","Ա/Ձ",1908,18397,FALSE
"2019-04-01",2019,4,"Անհատ ձեռնարկատեր","Ա/Ձ",2038,19204,FALSE
"2019-05-01",2019,5,"Անհատ ձեռնարկատեր","Ա/Ձ",1827,19688,TRUE
"2019-06-01",2019,6,"Անհատ ձեռնարկատեր","Ա/Ձ",1616,19273,FALSE
"2019-07-01",2019,7,"Անհատ ձեռնարկատեր","Ա/Ձ",1545,19098,FALSE
"2019-08-01",2019,8,"Անհատ ձեռնարկատեր","Ա/Ձ",1440,18939,FALSE
"2019-09-01",2019,9,"Անհատ ձեռնարկատեր","Ա/Ձ",1441,18986,FALSE
"2019-10-01",2019,10,"Անհատ ձեռնարկատեր","Ա/Ձ",1736,19240,FALSE
"2019-11-01",2019,11,"Անհատ ձեռնարկատեր","Ա/Ձ",1562,19357,FALSE
"2019-12-01",2019,12,"Անհատ ձեռնարկատեր","Ա/Ձ",1236,19603,FALSE
"2020-01-01",2020,1,"Անհատ ձեռնարկատեր","Ա/Ձ",2178,20333,FALSE
"2020-02-01",2020,2,"Անհատ ձեռնարկատեր","Ա/Ձ",1858,20385,TRUE
"2020-03-01",2020,3,"Անհատ ձեռնարկատեր","Ա/Ձ",1538,20015,FALSE
"2020-04-01",2020,4,"Անհատ ձեռնարկատեր","Ա/Ձ",396,18373,FALSE
"2020-05-01",2020,5,"Անհատ ձեռնարկատեր","Ա/Ձ",2247,18793,FALSE
"2020-06-01",2020,6,"Անհատ ձեռնարկատեր","Ա/Ձ",2483,19660,FALSE
"2020-07-01",2020,7,"Անհատ ձեռնարկատեր","Ա/Ձ",2163,20278,FALSE
"2020-08-01",2020,8,"Անհատ ձեռնարկատեր","Ա/Ձ",2044,20882,FALSE
"2020-09-01",2020,9,"Անհատ ձեռնարկատեր","Ա/Ձ",1911,21352,FALSE
"2020-10-01",2020,10,"Անհատ ձեռնարկատեր","Ա/Ձ",712,20328,FALSE
"2020-11-01",2020,11,"Անհատ ձեռնարկատեր","Ա/Ձ",860,19626,FALSE
"2020-12-01",2020,12,"Անհատ ձեռնարկատեր","Ա/Ձ",993,19383,FALSE
"2021-01-01",2021,1,"Անհատ ձեռնարկատեր","Ա/Ձ",1337,18542,FALSE
"2021-02-01",2021,2,"Անհատ ձեռնարկատեր","Ա/Ձ",1838,18522,FALSE
"2021-03-01",2021,3,"Անհատ ձեռնարկատեր","Ա/Ձ",2040,19024,FALSE
"2021-04-01",2021,4,"Անհատ ձեռնարկատեր","Ա/Ձ",2055,20683,FALSE
"2021-05-01",2021,5,"Անհատ ձեռնարկատեր","Ա/Ձ",1713,20149,FALSE
"2021-06-01",2021,6,"Անհատ ձեռնարկատեր","Ա/Ձ",1502,19168,FALSE
"2021-07-01",2021,7,"Անհատ ձեռնարկատեր","Ա/Ձ",1501,18506,FALSE
"2021-08-01",2021,8,"Անհատ ձեռնարկատեր","Ա/Ձ",1667,18129,FALSE
"2021-09-01",2021,9,"Անհատ ձեռնարկատեր","Ա/Ձ",1639,17857,FALSE
"2021-10-01",2021,10,"Անհատ ձեռնարկատեր","Ա/Ձ",1545,18690,FALSE
"2021-11-01",2021,11,"Անհատ ձեռնարկատեր","Ա/Ձ",1628,19458,FALSE
"2021-12-01",2021,12,"Անհատ ձեռնարկատեր","Ա/Ձ",1203,19668,FALSE
"2022-01-01",2022,1,"Անհատ ձեռնարկատեր","Ա/Ձ",1791,20122,FALSE
"2022-02-01",2022,2,"Անհատ ձեռնարկատեր","Ա/Ձ",1878,20162,FALSE
"2022-03-01",2022,3,"Անհատ ձեռնարկատեր","Ա/Ձ",3210,21332,FALSE
"2022-04-01",2022,4,"Անհատ ձեռնարկատեր","Ա/Ձ",2865,22142,FALSE
"2022-05-01",2022,5,"Անհատ ձեռնարկատեր","Ա/Ձ",2586,23015,FALSE
"2022-06-01",2022,6,"Անհատ ձեռնարկատեր","Ա/Ձ",2317,23830,FALSE
"2022-07-01",2022,7,"Անհատ ձեռնարկատեր","Ա/Ձ",2202,24531,FALSE
"2022-08-01",2022,8,"Անհատ ձեռնարկատեր","Ա/Ձ",2406,25270,FALSE
"2022-09-01",2022,9,"Անհատ ձեռնարկատեր","Ա/Ձ",2113,25744,FALSE
"2022-10-01",2022,10,"Անհատ ձեռնարկատեր","Ա/Ձ",2502,26701,FALSE
"2022-11-01",2022,11,"Անհատ ձեռնարկատեր","Ա/Ձ",2494,27567,FALSE
"2022-12-01",2022,12,"Անհատ ձեռնարկատեր","Ա/Ձ",1600,27964,FALSE
"2023-01-01",2023,1,"Անհատ ձեռնարկատեր","Ա/Ձ",2348,28521,FALSE
"2023-02-01",2023,2,"Անհատ ձեռնարկատեր","Ա/Ձ",2203,28846,FALSE
"2023-03-01",2023,3,"Անհատ ձեռնարկատեր","Ա/Ձ",3051,28687,FALSE
"2023-04-01",2023,4,"Անհատ ձեռնարկատեր","Ա/Ձ",2225,28047,FALSE
"2023-05-01",2023,5,"Անհատ ձեռնարկատեր","Ա/Ձ",2419,27880,FALSE
"2023-06-01",2023,6,"Անհատ ձեռնարկատեր","Ա/Ձ",2476,28039,FALSE
"2023-07-01",2023,7,"Անհատ ձեռնարկատեր","Ա/Ձ",2307,28144,FALSE
"2023-08-01",2023,8,"Անհատ ձեռնարկատեր","Ա/Ձ",2333,28071,FALSE
"2023-09-01",2023,9,"Անհատ ձեռնարկատեր","Ա/Ձ",2021,27979,FALSE
"2023-10-01",2023,10,"Անհատ ձեռնարկատեր","Ա/Ձ",2178,27655,FALSE
"2023-11-01",2023,11,"Անհատ ձեռնարկատեր","Ա/Ձ",2343,27504,FALSE
"2023-12-01",2023,12,"Անհատ ձեռնարկատեր","Ա/Ձ",1615,27519,FALSE
"2024-01-01",2024,1,"Անհատ ձեռնարկատեր","Ա/Ձ",2423,27594,FALSE
"2024-02-01",2024,2,"Անհատ ձեռնարկատեր","Ա/Ձ",2496,27887,FALSE
"2024-03-01",2024,3,"Անհատ ձեռնարկատեր","Ա/Ձ",2401,27237,FALSE
"2024-04-01",2024,4,"Անհատ ձեռնարկատեր","Ա/Ձ",2465,27477,FALSE
"2024-05-01",2024,5,"Անհատ ձեռնարկատեր","Ա/Ձ",2154,27212,FALSE
"2024-06-01",2024,6,"Անհատ ձեռնարկատեր","Ա/Ձ",2002,26738,FALSE
"2024-07-01",2024,7,"Անհատ ձեռնարկատեր","Ա/Ձ",2127,26558,FALSE
"2024-08-01",2024,8,"Անհատ ձեռնարկատեր","Ա/Ձ",2160,26385,FALSE
"2015-10-01",2015,10,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2015-11-01",2015,11,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2015-12-01",2015,12,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2016-01-01",2016,1,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2016-02-01",2016,2,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2016-03-01",2016,3,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2016-04-01",2016,4,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2016-05-01",2016,5,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2016-06-01",2016,6,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2016-07-01",2016,7,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2016-08-01",2016,8,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,NA,FALSE
"2016-09-01",2016,9,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,0,FALSE
"2016-10-01",2016,10,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,0,FALSE
"2016-11-01",2016,11,"Առևտրաարդյունաբերական պալատ","ԱԱՊ",0,0,FALSE
