"date","year","quarter","sheet_type","budget_type","indicator","annual_plan","annual_ajd_plan","period_actual","pct_done_annual"
"2019-12-31",2019,4,"Համախմբված","Համախմբված բյուջե","Եկամուտներ",1539.5,1661.5655095910001,1614.9245998064998,0.9719295390309458
"2019-12-31",2019,4,"Համախմբված","Համախմբված բյուջե","Ծախսեր",1691.1,1833.7911110743,1667.2901779988,0.9092039807205968
"2019-12-31",2019,4,"Համախմբված","Համախմբված բյուջե","Դեֆիցիտ",151.5999999999999,172.22560154329997,52.36557817730001,0.3040522297965935
"2019-12-31",2019,4,"Համախմբված","Պետական բյուջե","Եկամուտներ",1496.4631222999997,1609.0976754200003,1565.488916775,0.9728986255395481
"2019-12-31",2019,4,"Համախմբված","Պետական բյուջե","Ծախսեր",1648.0631223199998,1762.9201306599998,1629.4368624300002,0.9242828611980132
"2019-12-31",2019,4,"Համախմբված","Պետական բյուջե","Դեֆիցիտ",151.60000001999998,153.82245530000003,63.94794564,0.41572568527320874
"2019-12-31",2019,4,"Համախմբված","Համայնքային բյուջե","Եկամուտներ",139.6,156.64966066539995,144.46337091930002,0.9222067274557993
"2019-12-31",2019,4,"Համախմբված","Համայնքային բյուջե","Ծախսեր",139.6,175.05280691430005,132.89590453280002,0.7591760844935288
"2019-12-31",2019,4,"Համախմբված","Համայնքային բյուջե","Դեֆիցիտ",0,18.403146248899983,-11.567466386500003,-0.6285591729833384
"2020-12-31",2020,4,"Համախմբված","Համախմբված բյուջե","Եկամուտներ",1740.8,1622.5366830966004,1608.7280736595,0.9914894932232
"2020-12-31",2020,4,"Համախմբված","Համախմբված բյուջե","Ծախսեր",1901.5,2078.1972296275994,1924.8999437694,0.926235448843482
"2020-12-31",2020,4,"Համախմբված","Համախմբված բյուջե","Դեֆիցիտ",160.70000000000005,455.6605465309998,316.17187010990034,0.6938758962498639
"2020-12-31",2020,4,"Համախմբված","Պետական բյուջե","Եկամուտներ",1695.0098521000002,1563.07541676,1560.6553408229997,0.9984517215797454
"2020-12-31",2020,4,"Համախմբված","Պետական բյուջե","Ծախսեր",1855.6971194999999,1989.0327271999997,1894.64709339,0.9525469679210012
"2020-12-31",2020,4,"Համախմբված","Պետական բյուջե","Դեֆիցիտ",160.68726740000014,425.9573104399998,333.99175256700005,0.7840967730357714
"2020-12-31",2020,4,"Համախմբված","Համայնքային բյուջե","Եկամուտներ",143.4,171.1126511366,156.13664593649997,0.9124786793926498
"2020-12-31",2020,4,"Համախմբված","Համայնքային բյուջե","Ծախսեր",143.4,200.8158872076,138.3526588294,0.6889527554479461
"2020-12-31",2020,4,"Համախմբված","Համայնքային բյուջե","Դեֆիցիտ",0,29.703236070999957,-17.783987107099993,-0.5987222087381567
"2021-12-31",2021,4,"Համախմբված","Համախմբված բյուջե","Եկամուտներ",1659.2,1760.317958043,1743.8664154323,0.9906542209971033
"2021-12-31",2021,4,"Համախմբված","Համախմբված բյուջե","Ծախսեր",2000.6,2161.2701313908,2061.9413239023006,0.9540414656891681
"2021-12-31",2021,4,"Համախմբված","Համախմբված բյուջե","Դեֆիցիտ",341.3999999999998,400.9521733477998,318.07490845999985,0.7932988760335031
"2021-12-31",2021,4,"Համախմբված","Պետական բյուջե","Եկամուտներ",1509.5,1690.18835341,1683.83146315,0.9962389456493562
"2021-12-31",2021,4,"Համախմբված","Պետական բյուջե","Ծախսեր",1850.9,2049.333518280001,2004.30099037,0.9780257691057549
"2021-12-31",2021,4,"Համախմբված","Պետական բյուջե","Դեֆիցիտ",341.4000000000001,359.14516486999986,320.46952720999985,0.892311963397866
"2021-12-31",2021,4,"Համախմբված","Համայնքային բյուջե","Եկամուտներ",149.7,188.6327184928,175.4471835823,0.9300994280533401
"2021-12-31",2021,4,"Համախմբված","Համայնքային բյուջե","Ծախսեր",149.7,230.4397269708,173.08122197230003,0.7510910737810059
"2021-12-31",2021,4,"Համախմբված","Համայնքային բյուջե","Դեֆիցիտ",0,41.80700847799999,-2.365961609999971,-0.0565924637072515
"2022-12-31",2022,4,"Համախմբված","Համախմբված բյուջե","Եկամուտներ",2007.9,2135.5830402692004,2132.8643937155002,0.9987269768946292
"2022-12-31",2022,4,"Համախմբված","Համախմբված բյուջե","Ծախսեր",2244.2,2409.6643301142,2322.3608766093002,0.9637694543535189
"2022-12-31",2022,4,"Համախմբված","Համախմբված բյուջե","Դեֆիցիտ",236.29999999999973,274.0812898449995,189.49648289380042,0.6913878835033426
"2022-12-31",2022,4,"Համախմբված","Պետական բյուջե","Եկամուտներ",1947.78,2058.1903623000007,2063.0953426250003,1.002383151925519
"2022-12-31",2022,4,"Համախմբված","Պետական բյուջե","Ծախսեր",2184.04,2287.96316907,2242.62545361,0.9801842459385267
"2022-12-31",2022,4,"Համախմբված","Պետական բյուջե","Դեֆիցիտ",236.26,229.7728067699995,179.5301109850004,0.7813375025039773
"2022-12-31",2022,4,"Համախմբված","Համայնքային բյուջե","Եկամուտներ",180.5,198.31415191219997,189.86129566230002,0.9573764344682657
"2022-12-31",2022,4,"Համախմբված","Համայնքային բյուջե","Ծախսեր",180.5,242.6226349872001,199.9191115637,0.8239920054212877
"2022-12-31",2022,4,"Համախմբված","Համայնքային բյուջե","Դեֆիցիտ",0,44.30848307500007,10.057815901400033,0.22699526599399422
"2023-12-31",2023,4,"Համախմբված","Համախմբված բյուջե","Եկամուտներ",2364.8,2460.444752642801,2455.1394781951,0.9978437742030166
"2023-12-31",2023,4,"Համախմբված","Համախմբված բյուջե","Ծախսեր",2653.7,2759.3884098779,2638.3534428204007,0.9561370314435528
"2023-12-31",2023,4,"Համախմբված","Համախմբված բյուջե","Դեֆիցիտ",288.89999999999964,298.94365723509947,183.21396462530006,0.6128712223561728
"2023-12-31",2023,4,"Համախմբված","Պետական բյուջե","Եկամուտներ",2302.0256144,2356.8984319000006,2358.783606442,1.0007998539591196
"2023-12-31",2023,4,"Համախմբված","Պետական բյուջե","Ծախսեր",2590.9731511000005,2624.7387479,2547.6498919399996,0.9706298937287847
"2023-12-31",2023,4,"Համախմբված","Պետական բյուջե","Դեֆիցիտ",288.94753669999994,267.84031599999946,188.86628549800014,0.705145096595542
"2023-12-31",2023,4,"Համախմբված","Համայնքային բյուջե","Եկամուտներ",195.8,259.27190186609994,248.237872512,0.9574422477920553
"2023-12-31",2023,4,"Համախմբված","Համայնքային բյուջե","Ծախսեր",195.8,290.3752431012,242.6545075064,0.8356583877979962
"2023-12-31",2023,4,"Համախմբված","Համայնքային բյուջե","Դեֆիցիտ",0,31.1033412351,-5.583365005600002,-0.17951013569240581
