"date","year","quarter","sheet_type","indicator","annual_plan","annual_ajd_plan","period_plan","period_adj_plan","period_actual","pct_done_annual","pct_done_period"
"2007-03-31",2007,1,"Եկամուտ","ՊԵՏԱԿԱՆ ԲՅՈՒՋԵԻ ԵԿԱՄՈՒՏՆԵՐ ԵՎ ՊԱՇՏՈՆԱԿԱՆ ՏՐԱՆՍՖԵՐՏՆԵՐ",490206830.6,516799808.41,101436241.40000002,106786829.7,114377707.44000001,0.221319175391913,1.0710844002141997
"2007-03-31",2007,1,"Եկամուտ","I.ԸՆԴԱՄԵՆԸ ԵԿԱՄՈՒՏՆԵՐ",475080650.8999999,499359058.41,99705147.8,102742176.90000002,110477318.88,0.22123823933778003,1.07528691929049
"2007-03-31",2007,1,"Եկամուտ","Ա. ԸՆԹԱՑԻԿ ԵԿԱՄՈՒՏՆԵՐ",471009598.8999999,479832393.5899999,97204302.8,99353265.8,105940863.43000002,0.220787226634229,1.0663047920665298
"2007-03-31",2007,1,"Եկամուտ","1.Հարկային եկամուտներ",439742935.3999999,440822047.5,89942655.1,90258555.1,90124728.54,0.20444696233121104,0.9985172977802298
"2007-03-31",2007,1,"Եկամուտ","2. Պետական տուրք",19086635,19147707.26,3452622,3513694.3,4240701.08,0.221473047525587,1.2069066680046696
"2007-03-31",2007,1,"Եկամուտ","3. Ոչ հարկային եկամուտներ",12180028.5,19862638.83,3809025.7,5581016.4,11575433.810000002,0.582774217920973,2.07407271012499
"2007-03-31",2007,1,"Եկամուտ","Բ. ԿԱՊԻՏԱԼԻ  ԳՈՐԾԱՌՆՈՒԹՅՈՒՆՆԵՐԻՑ ԵԿԱՄՈՒՏՆԵՐ",4071052,19526664.82,2500845,3388911.1,4536455.45,0.23232105901431696,1.3386174249303904
"2007-03-31",2007,1,"Եկամուտ","Երևան քաղաքում տեղաբաշխված պետական սեփականություն հանդիսացող հողերի օտարումից",4000000,19451759.7,2490110,3374323,4126036.03,0.21211633773164504,1.2227744735758799
"2007-03-31",2007,1,"Եկամուտ","Գ.ՊԱՇՏՈՆԱԿԱՆ ՏՐԱՆՍՖԵՐՏՆԵՐ",15126179.699999997,17440750,1731093.6,4044652.8,3900388.56,0.223636515631495,0.9643321078140498
"2010-12-31",2010,4,"Դեֆիցիտ","ԸՆԴԱՄԵՆԸ",193386538.20000002,203335308.60000002,NA,NA,173877101.2859,0.8551249779641076,NA
"2010-12-31",2010,4,"Դեֆիցիտ","Ա. Ներքին աղբյուրներ",99554058.80000001,133427676.90000002,NA,NA,107402605.12709998,0.8049499745663338,NA
"2010-12-31",2010,4,"Դեֆիցիտ","Բ. Արտաքին աղբյուրներ",93832479.4,69907631.7,NA,NA,66474496.1588,0.950890404127365,NA
"2010-12-31",2010,4,"Եկամուտ","ՊԵՏԱԿԱՆ ԲՅՈՒՋԵԻ ԵԿԱՄՈՒՏՆԵՐ",742138045.8,772961595.5000001,NA,NA,780439427.0569398,1.0096742601449717,NA
"2010-12-31",2010,4,"Եկամուտ","Հարկային եկամուտներ և պետական տուրքեր",570000000,580552581.7000003,NA,NA,594098996.5999398,1.02333365715173,NA
"2010-12-31",2010,4,"Եկամուտ","Պարտադիր սոցիալական ապահովության վճարներ",105234500,105234500,NA,NA,105335919.3,1.0009637457297746,NA
"2010-12-31",2010,4,"Եկամուտ","Պաշտոնական դրամաշնորհներ",42503285.80000001,47582256.400000006,NA,NA,30588819.459999997,0.642861893787786,NA
"2010-12-31",2010,4,"Եկամուտ","Այլ եկամուտներ",24400260,39592257.400000006,NA,NA,50415691.697000004,1.273372497750027,NA
