date,year,FX_ISO,USD_FX
2024-04-05,2024,TRY,32.0247
2024-04-04,2024,TRY,31.9648
2024-04-03,2024,TRY,31.951
2024-04-02,2024,TRY,32.0567
2024-04-01,2024,TRY,32.2613
2024-03-29,2024,TRY,32.4379
2024-03-28,2024,TRY,32.4016
2024-03-27,2024,TRY,32.304
2024-03-26,2024,TRY,32.2145
2024-03-25,2024,TRY,32.1725
2024-03-22,2024,TRY,32.0591
2024-03-21,2024,TRY,32.1534
2024-03-20,2024,TRY,32.4103
2024-03-19,2024,TRY,32.3999
2024-03-18,2024,TRY,32.341
2024-03-15,2024,TRY,32.1309
2024-03-14,2024,TRY,32.202
2024-03-13,2024,TRY,32.1258
2024-03-12,2024,TRY,32.1858
2024-03-11,2024,TRY,32.0435
2024-03-08,2024,TRY,31.8369
2024-03-07,2024,TRY,31.9382
2024-03-06,2024,TRY,31.8036
2024-03-05,2024,TRY,31.7054
2024-03-04,2024,TRY,31.5764
2024-03-01,2024,TRY,31.3514
2024-02-29,2024,TRY,31.2955
2024-02-28,2024,TRY,31.2159
2024-02-27,2024,TRY,31.1516
2024-02-26,2024,TRY,31.1352
2024-02-23,2024,TRY,31.0401
2024-02-22,2024,TRY,31.0631
2024-02-21,2024,TRY,31.0215
2024-02-20,2024,TRY,30.9151
2024-02-19,2024,TRY,30.8731
2024-02-16,2024,TRY,30.8428
2024-02-15,2024,TRY,30.8102
2024-02-14,2024,TRY,30.7542
2024-02-13,2024,TRY,30.7278
2024-02-12,2024,TRY,30.7175
2024-02-09,2024,TRY,30.7008
2024-02-08,2024,TRY,30.6717
2024-02-07,2024,TRY,30.5962
2024-02-06,2024,TRY,30.5767
2024-02-05,2024,TRY,30.5428
2024-02-02,2024,TRY,30.4885
2024-02-01,2024,TRY,30.4482
2024-01-31,2024,TRY,30.3648
2024-01-30,2024,TRY,30.3644
2024-01-29,2024,TRY,30.3541
2024-01-26,2024,TRY,30.2596
2024-01-25,2024,TRY,30.302
2024-01-24,2024,TRY,30.253
2024-01-23,2024,TRY,30.284300000000002
2024-01-22,2024,TRY,30.2656
2024-01-19,2024,TRY,30.2069
2024-01-18,2024,TRY,30.1582
