"indicator_arm","ind1_arm","ind2_arm","indicator_eng","ind1_eng","ind2_eng","year","wages","wages_corrected","cpi_yoy","adj_price","wages_real"
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2008,25000,25000,1.0519259498843334,1.74660496904509,43665.12422612725
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2009,30000,30000,1.0650141146986458,1.6399829306856706,49199.487920570115
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2010,30000,30000,1.0942618224536644,1.498711640152387,44961.34920457161
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2011,32500,32500,1.0467781008092338,1.4317376710439165,46531.47430892729
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2012,32500,32500,1.0321982068785194,1.3870763013371707,45079.97979345805
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2013,45000,45000,1.055556132712271,1.3140715669692073,59133.22051361433
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2014,50000,50000,1.04579786714902,1.25652538434749,62826.269217374494
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2015,55000,55000,0.9987078446073119,1.2581511110905024,69198.31110997763
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2016,55000,55000,0.9892189082336652,1.2718631848000548,69952.47516400302
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2017,55000,55000,1.02611484039391,1.239493996901756,68172.16982959658
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2018,55000,55000,1.0179122090263264,1.2176826114379562,66972.5436290876
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2019,55000,55000,1.0072816647657017,1.2088799528791134,66488.39740835124
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2020,68000,68000,1.0366382465663597,1.1661541110250053,79298.47954970037
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2021,68000,68000,1.0767545346275733,1.0830268863723462,73645.82827331954
"Օրենքով սահմանված նվազագույն աշխատավարձ ՀՀ ընդհանուր",NA,NA,"Amount of minimum wages definedby law, AMD",NA,NA,2022,68000,68000,1.0830268863723458,1,68000
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2008,108,108,1.0519259498843334,1.74660496904509,188.63333665686972
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2009,106.2,106.2,1.0650141146986458,1.6399829306856706,174.16618723881822
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2010,98.8,98.8,1.0942618224536644,1.498711640152387,148.07271004705584
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2011,97.8,97.8,1.0467781008092338,1.4317376710439165,140.02394422809502
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2012,102,102,1.0321982068785194,1.3870763013371707,141.4817827363914
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2013,98.4,98.4,1.055556132712271,1.3140715669692073,129.30464218977002
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2014,105.1,105.1,1.04579786714902,1.25652538434749,132.0608178949212
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2015,104.4,104.4,0.9987078446073119,1.2581511110905024,131.35097599784845
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2016,103.1,103.1,0.9892189082336652,1.2718631848000548,131.12909435288563
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2017,100.9,100.9,1.02611484039391,1.239493996901756,125.06494428738719
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2018,101.5,101.5,1.0179122090263264,1.2176826114379562,123.59478506095256
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2019,104.3,104.3,1.0072816647657017,1.2088799528791134,126.08617908529153
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2020,102.6,102.6,1.0366382465663597,1.1661541110250053,119.64741179116554
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2021,100.3,100.3,1.0767545346275733,1.0830268863723462,108.62759670314632
"Իրական աշխատավարձի ինդեքս, %",NA,NA,"Real wage index, %",NA,NA,2022,106.3,106.3,1.0830268863723458,1,106.3
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2008,87406,101483.75506794149,1.0519259498843334,1.74660496904509,177252.03087902142
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2009,96019,111483.97910748316,1.0650141146986458,1.6399829306856706,182831.8227811903
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2010,102652,119185.30106896927,1.0942618224536644,1.498711640152387,178624.398047131
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2011,108092,125501.47647534414,1.0467781008092338,1.4317376710439165,179685.1916413821
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2012,113163,131389.22013080865,1.0321982068785194,1.3870763013371707,182246.8734946174
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2013,146524,136789.90251775703,1.055556132712271,1.3140715669692073,179751.7215470741
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2014,158580,148044.98062614936,1.04579786714902,1.25652538434749,186022.27618198903
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2015,171615,160214.02036925603,0.9987078446073119,1.2581511110905024,201573.44773985585
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2016,174445,162856.0136544875,0.9892189082336652,1.2718631848000548,207130.56819043768
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2017,177817,166004,1.02611484039391,1.239493996901756,205760.9614616791
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2018,172727,172727,1.0179122090263264,1.2176826114379562,210326.66442584386
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2019,182672.5,182672.5,1.0072816647657017,1.2088799528791134,220829.12319230984
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2020,189716,189716,1.0366382465663597,1.1661541110250053,221238.09332721992
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2021,204048,204048,1.0767545346275733,1.0830268863723462,220989.4701105045
"ՀՀ ընդհանուր",NA,NA,"Average Monthly Nominal Wages, AMD",NA,NA,2022,235576,235576,1.0830268863723458,1,235576
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2008,117.8,117.8,1.0519259498843334,1.74660496904509,205.7500653535116
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2009,109.9,109.9,1.0650141146986458,1.6399829306856706,180.2341240823552
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2010,106.9,106.9,1.0942618224536644,1.498711640152387,160.21227433229018
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2011,105.3,105.3,1.0467781008092338,1.4317376710439165,150.7619767609244
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2012,104.7,104.7,1.0321982068785194,1.3870763013371707,145.2268887500018
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2013,104.1,104.1,1.055556132712271,1.3140715669692073,136.79485012149448
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2014,108.2,108.2,1.04579786714902,1.25652538434749,135.95604658639843
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2015,108.2,108.2,0.9987078446073119,1.2581511110905024,136.13195021999235
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2016,101.6,101.6,0.9892189082336652,1.2718631848000548,129.22129957568555
"% - ով նախորդ տարվա նկատմամբ",NA,NA,"to the previous year, %",NA,NA,2017,101.9,101.9,1.02611484039391,1.239493996901756,126.30443828428895
