"date","year","month","name","industry","agriculture","construction","trade","services"
"2024-01-01",2024,1,"mln dram",205500.3,NA,17581.3,340782.5,243189.5
"2024-01-01",2024,1,"yoy_growth",119.3,NA,109.5,119.3,107.3
"2024-01-01",2024,1,"month_growth",55.6,NA,13.9,48.3,85
"2024-02-01",2024,2,"mln dram",255700.9,NA,23975.9,408294.1,241349.7
"2024-02-01",2024,2,"yoy_growth",137.3,NA,111.7,128.3,108.5
"2024-02-01",2024,2,"month_growth",119.2,NA,135.5,121,99.3
"2024-03-01",2024,3,"mln dram",262483.8,NA,30638.2,489092.6,274742.5
"2024-03-01",2024,3,"yoy_growth",130.9,NA,113.1,130.4,105.8
"2024-03-01",2024,3,"month_growth",101.4,NA,129.4,120.1,113.6
"2024-04-01",2024,4,"mln dram",229590.7,NA,35574.7,499475.8,286429.8
"2024-04-01",2024,4,"yoy_growth",116.6,NA,117.8,127.2,108.6
"2024-04-01",2024,4,"month_growth",86.9,NA,115.8,101.4,103.7
"2024-05-01",2024,5,"mln dram",229707,NA,42905.7,501540.5,278057.8
"2024-05-01",2024,5,"yoy_growth",106.9,NA,118.1,117.6,107.1
"2024-05-01",2024,5,"month_growth",99.8,NA,120.1,101.4,97
"2024-06-01",2024,6,"mln dram",224885.5,NA,51339.7,515033.8,289003.5
"2024-06-01",2024,6,"yoy_growth",101.3,NA,118,116.2,110.2
"2024-06-01",2024,6,"month_growth",97.5,NA,119.9,104.3,103.7
"2024-07-01",2024,7,"mln dram",228288.1,NA,57358,547931.7,288276.3
"2024-07-01",2024,7,"yoy_growth",102.2,NA,117.7,114,108.5
"2024-07-01",2024,7,"month_growth",102,NA,111.6,107.3,99.5
"2024-08-01",2024,8,"mln dram",241763.7,NA,71361.9,560144.7,315093.4
"2024-08-01",2024,8,"yoy_growth",102.1,NA,116.5,114.9,113.4
"2024-08-01",2024,8,"month_growth",107.5,NA,124.8,102.5,108.6
"2024-09-01",2024,9,"mln dram",245600.8,NA,75636.3,556166.1,307197.3
"2024-09-01",2024,9,"yoy_growth",104.6,NA,114.7,113.4,115
"2024-09-01",2024,9,"month_growth",101.6,NA,105.7,99.5,97.1
"2024-10-01",2024,10,"mln dram",275461.9,NA,78174.2,571561.5,299947
"2024-10-01",2024,10,"yoy_growth",105.3,NA,113.5,113.7,108.7
"2024-10-01",2024,10,"month_growth",110.9,NA,103.3,102.1,97.8
"2024-11-01",2024,11,"mln dram",274166.6,NA,82476.6,613899,296805.2
"2024-11-01",2024,11,"yoy_growth",81,NA,111.6,111.5,112.3
"2024-11-01",2024,11,"month_growth",99.5,NA,106.4,105.4,98.9
"2024-12-01",2024,12,"mln dram",325220.9,NA,142442.8,774343,347424.3
"2024-12-01",2024,12,"yoy_growth",85.2,NA,112.9,110.3,119.4
