"date","year","month","month_name","country","direction","type","K_USD"
"2013-01-31","2013",1,"January","Australia","Inflow","total",182.7
"2013-01-31","2013",1,"January","Austria","Inflow","total",449
"2013-01-31","2013",1,"January","United Arab Emirates","Inflow","total",1522.88
"2013-01-31","2013",1,"January","USA","Inflow","total",8542.84
"2013-01-31","2013",1,"January","Belgium","Inflow","total",889.25
"2013-01-31","2013",1,"January","Belarus","Inflow","total",130.33
"2013-01-31","2013",1,"January","Bulgaria","Inflow","total",69.27
"2013-01-31","2013",1,"January","Germany","Inflow","total",2014.25
"2013-01-31","2013",1,"January","Denmark","Inflow","total",160.37
"2013-01-31","2013",1,"January","Egypt","Inflow","total",31.05
"2013-01-31","2013",1,"January","Turkey","Inflow","total",155.79
"2013-01-31","2013",1,"January","Israel","Inflow","total",123.11
"2013-01-31","2013",1,"January","Spain","Inflow","total",622.27
"2013-01-31","2013",1,"January","Ireland","Inflow","total",42.89
"2013-01-31","2013",1,"January","Italy","Inflow","total",442.08
"2013-01-31","2013",1,"January","Iran","Inflow","total",205.1
"2013-01-31","2013",1,"January","Poland","Inflow","total",180.32
"2013-01-31","2013",1,"January","Latvia","Inflow","total",255.16
"2013-01-31","2013",1,"January","Luxembourg","Inflow","total",212.06
"2013-01-31","2013",1,"January","Lebanon","Inflow","total",3084.66
"2013-01-31","2013",1,"January","Liechtenstein","Inflow","total",19.31
"2013-01-31","2013",1,"January","Lithuania","Inflow","total",78.13
"2013-01-31","2013",1,"January","Canada","Inflow","total",386.21
"2013-01-31","2013",1,"January","Korea","Inflow","total",24.43
"2013-01-31","2013",1,"January","Cyprus","Inflow","total",1174.45
"2013-01-31","2013",1,"January","Hong Kong","Inflow","total",1686.97
"2013-01-31","2013",1,"January","Jordan","Inflow","total",96.46
"2013-01-31","2013",1,"January","Greece","Inflow","total",503.65
"2013-01-31","2013",1,"January","India","Inflow","total",138.24
"2013-01-31","2013",1,"January","Kazakhstan","Inflow","total",1570.41
"2013-01-31","2013",1,"January","Kyrgyzstan","Inflow","total",9.17
"2013-01-31","2013",1,"January","Japan","Inflow","total",42.35
"2013-01-31","2013",1,"January","United Kingdom of Great Britain and Northern Ireland","Inflow","total",2940.68
"2013-01-31","2013",1,"January","Isle of Man","Inflow","total",0.15
"2013-01-31","2013",1,"January","Monaco","Inflow","total",9.3
"2013-01-31","2013",1,"January","Netherlands","Inflow","total",692.85
"2013-01-31","2013",1,"January","Sweden","Inflow","total",430.85
"2013-01-31","2013",1,"January","Switzerland","Inflow","total",2522.99
"2013-01-31","2013",1,"January","Czechia","Inflow","total",112.99
"2013-01-31","2013",1,"January","China","Inflow","total",775.73
"2013-01-31","2013",1,"January","Portugal","Inflow","total",67.55
"2013-01-31","2013",1,"January","Russian Federation","Inflow","total",69715.93
"2013-01-31","2013",1,"January","Saudi Arabia","Inflow","total",1315.47
"2013-01-31","2013",1,"January","Singapore","Inflow","total",11.29
"2013-01-31","2013",1,"January","Georgia","Inflow","total",726.51
"2013-01-31","2013",1,"January","Uzbekistan","Inflow","total",246.81
"2013-01-31","2013",1,"January","Ukraine","Inflow","total",1115.11
"2013-01-31","2013",1,"January","Qatar","Inflow","total",6.57
"2013-01-31","2013",1,"January","Kuwait","Inflow","total",199.21
"2013-01-31","2013",1,"January","France","Inflow","total",1157.25
"2013-01-31","2013",1,"January","Others","Inflow","total",5239.37000000001
"2013-01-31","2013",1,"January","Total","Inflow","total",112331.77
"2013-01-31","2013",1,"January","Australia","Outflow","total",69.79
"2013-01-31","2013",1,"January","Austria","Outflow","total",431.06
"2013-01-31","2013",1,"January","United Arab Emirates","Outflow","total",3281.61
"2013-01-31","2013",1,"January","USA","Outflow","total",7361.76
"2013-01-31","2013",1,"January","Belgium","Outflow","total",303.53
"2013-01-31","2013",1,"January","Belarus","Outflow","total",93.89
"2013-01-31","2013",1,"January","Bulgaria","Outflow","total",192.89
"2013-01-31","2013",1,"January","Germany","Outflow","total",2321.32
