unit_FX,indicator,code
մլրդ դրամ,ՀՀ պետական պարտք,AMD.
մլրդ դրամ,ՀՀ կառավարության պարտք,AMD.1.
մլրդ դրամ,արտաքին պարտք,AMD.1.1.
մլրդ դրամ,արտաքին վարկեր և փոխառություններ,AMD.1.1.1.
մլրդ դրամ,ոչ ռեզիդենտների կողմից ձեռքբերված պետական գանձապետական պարտատոմսեր,AMD.1.1.2.
մլրդ դրամ,ոչ ռեզիդենտների կողմից ձեռքբերված արտարժութային պետական պարտատոմսեր,AMD.1.1.3.
մլրդ դրամ,արտաքին երաշխիքներ,AMD.1.1.4.
մլրդ դրամ,ներքին պարտք,AMD.1.2.
մլրդ դրամ,ներքին վարկեր և փոխառություններ,AMD.1.2.1.
մլրդ դրամ,ռեզիդենտների կողմից ձեռքբերված պետական գանձապետական պարտատոմսեր,AMD.1.2.2.
մլրդ դրամ,ռեզիդենտների կողմից ձեռքբերված արտարժութային պետական պարտատոմսեր,AMD.1.2.3.
մլրդ դրամ,ներքին երաշխիքներ,AMD.1.2.4.
մլրդ դրամ,ՀՀ կենտրոնական բանկի արտաքին պարտք,AMD.2.
մլրդ դրամ,ՀՀ կառավարության երաշխիքով տրամադրված վարկեր,AMD.2.1.
մլն ԱՄՆ դոլար,ՀՀ պետական պարտք,USD.
մլն ԱՄՆ դոլար,ՀՀ կառավարության պարտք,USD.1.
մլն ԱՄՆ դոլար,արտաքին պարտք,USD.1.1.
մլն ԱՄՆ դոլար,արտաքին վարկեր և փոխառություններ,USD.1.1.1.
մլն ԱՄՆ դոլար,ոչ ռեզիդենտների կողմից ձեռքբերված պետական գանձապետական պարտատոմսեր,USD.1.1.2.
մլն ԱՄՆ դոլար,ոչ ռեզիդենտների կողմից ձեռքբերված արտարժութային պետական պարտատոմսեր,USD.1.1.3.
մլն ԱՄՆ դոլար,արտաքին երաշխիքներ,USD.1.1.4.
մլն ԱՄՆ դոլար,ներքին պարտք,USD.1.2.
մլն ԱՄՆ դոլար,ներքին վարկեր և փոխառություններ,USD.1.2.1.
մլն ԱՄՆ դոլար,ռեզիդենտների կողմից ձեռքբերված պետական գանձապետական պարտատոմսեր,USD.1.2.2.
մլն ԱՄՆ դոլար,ռեզիդենտների կողմից ձեռքբերված արտարժութային պետական պարտատոմսեր,USD.1.2.3.
մլն ԱՄՆ դոլար,ներքին երաշխիքներ,USD.1.2.4.
մլն ԱՄՆ դոլար,ՀՀ կենտրոնական բանկի արտաքին պարտք,USD.2.
մլն ԱՄՆ դոլար,ՀՀ կառավարության երաշխիքով տրամադրված վարկեր,USD.2.1.
ՀՀ պետական պարտք (մլրդ դրամ),ՀՀ պետական պարտք (մլրդ դրամ),AMD.Dept.
ՀՀ պետական պարտք (մլրդ դրամ),ՀՀ արտաքին պետական պարտք (մլրդ դրամ),AMD.Dept.1.
ՀՀ պետական պարտք (մլրդ դրամ),ՀՀ ներքին պետական պարտք (մլրդ դրամ),AMD.Dept.2.
ՀՀ պետական պարտք (մլրդ դրամ),ՀՀ պետական պարտք (մլն ԱՄՆ դոլար),USD.Dept.
ՀՀ պետական պարտք (մլրդ դրամ),ՀՀ արտաքին պետական պարտք (մլն ԱՄՆ դոլար),USD.Dept.1.
ՀՀ պետական պարտք (մլրդ դրամ),ՀՀ ներքին պետական պարտք (մլն ԱՄՆ դոլար),USD.Dept.2.
Փոխարկման համար կիրառված ԱՄՆ դոլար / ՀՀ դրամ փոխարժեքը,Փոխարկման համար կիրառված ԱՄՆ դոլար / ՀՀ դրամ փոխարժեքը,FX
