year,publications
1950,0
1951,2
1952,1
1953,0
1954,0
1955,2
1956,2
1957,0
1958,2
1959,2
1960,11
1961,1
1962,7
1963,4
1964,14
1965,7
1966,4
1967,8
1968,4
1969,12
1970,16
1971,4
1972,5
1973,9
1974,60
1975,11
1976,27
1977,7
1978,11
1979,15
1980,14
1981,12
1982,16
1983,31
1984,27
1985,37
1986,23
1987,56
1988,55
1989,44
1990,40
1991,45
1992,86
1993,82
1994,80
1995,64
1996,85
1997,118
1998,174
1999,160
2000,156
2001,173
2002,265
2003,357
2004,398
2005,457
2006,337
2007,616
2008,451
2009,719
2010,976
2011,987
2012,931
2013,1290
2014,1180
2015,1740
2016,1890
2017,2000
2018,1690
2019,1350
2020,1460
2021,1890
2022,1810
2023,1540
2024,1660
2025,1440
