"query","search interest","increase percent"
"հայոց ցեղասպանություն",100,"8%"
"հայոց",99,"7%"
"ցեղասպանության",31,"9%"
"ցեղասպանություն 1915",28,"7%"
"1915",28,"7%"
"1915 ցեղասպանություն",28,"7%"
"հայոց ցեղասպանության",15,"7%"
"եղեռն",14,"10%"
"եղեռն ցեղասպանություն",14,"10%"
"genocide",13,"9%"
"ցեղասպանության մասին",11,"10%"
"ցեղասպանություն շարադրություն",11,"7%"
"ցեղասպանություն բանաստեղծություններ",9,"10%"
"armenian genocide",8,"10%"
"հայոց ցեղասպանություն բանաստեղծություններ",6,"20%"
"ցեղասպանություն 1915 բանաստեղծություն",1,"-6%"
